disco_event_time,disco_order_time,DAYS_TO_ATTRIBUTION,EVENT_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,BILLABLE_AMOUNT,event_sec_dist,order_sec_dist,avg_sec_dist,cl_order_num_count,claim?,cl_order_num,northbeam_platform,cl_source,cl_order_time,cl_event_time,cl_attribution_days
2024-01-13 02:44:34.466000+00:00,2024-01-15 18:18:41+00:00,2,click,returning,consumer_hash,20,3,1,2,1,yes,2366568,Disco,utm medium - disco_paid,2024-01-15 18:18:40+00:00,2024-01-13 02:44:37.860000+00:00,2
2024-01-31 15:39:57.243000+00:00,2024-01-31 15:54:07+00:00,0,click,new,device_identifier_hash,32,3,22,13,1,yes,2400481,Disco,utm medium - disco_paid,2024-01-31 15:54:29+00:00,2024-01-31 15:40:00.359000+00:00,0
2024-01-25 23:00:09.459000+00:00,2024-01-26 04:01:26+00:00,1,click,returning,device_identifier_hash,20,1,25,13,1,yes,2388760,Disco,utm medium - disco_paid,2024-01-26 04:01:51+00:00,2024-01-25 23:00:10.904000+00:00,0
2024-01-22 22:32:25.263000+00:00,2024-01-27 17:09:10+00:00,5,click,new,direct_email_match,32,3,24,13,2,yes,2391830,Disco,utm medium - disco_paid,2024-01-27 17:09:34+00:00,2024-01-22 22:32:27.867000+00:00,4
2024-01-11 12:37:11.634000+00:00,2024-01-11 12:45:56+00:00,0,click,new,device_identifier_hash,32,2,25,13,1,yes,2357250,Disco,utm medium - disco_paid,2024-01-11 12:46:21+00:00,2024-01-11 12:37:13.422000+00:00,0
2024-01-23 01:10:20.143000+00:00,2024-01-23 01:34:48+00:00,0,click,returning,device_identifier_hash,20,1,26,13,1,yes,2382672,Disco,utm medium - disco_paid,2024-01-23 01:35:14+00:00,2024-01-23 01:10:21.110000+00:00,0
2024-01-20 11:27:23.473000+00:00,2024-01-20 11:49:32+00:00,0,click,new,direct_email_match,32,2,25,14,1,yes,2376042,Disco,utm medium - disco_paid,2024-01-20 11:49:57+00:00,2024-01-20 11:27:25.543000+00:00,0
2024-01-31 22:23:43.011000+00:00,2024-01-31 22:24:15+00:00,0,click,new,device_identifier_hash,32,3,24,14,1,yes,2401301,Disco,utm medium - disco_paid,2024-01-31 22:24:39+00:00,2024-01-31 22:23:46.235000+00:00,0
2024-01-25 18:01:13.904000+00:00,2024-01-29 13:35:48+00:00,4,click,new,direct_email_match,32,3,24,14,1,yes,2396113,Disco,utm medium - disco_paid,2024-01-29 13:36:12+00:00,2024-01-25 18:01:17.230000+00:00,3
2024-01-30 11:51:18.643000+00:00,2024-01-30 12:01:10+00:00,0,click,new,device_identifier_hash,32,2,25,14,1,yes,2398172,Disco,utm medium - disco_paid,2024-01-30 12:01:35+00:00,2024-01-30 11:51:21.101000+00:00,0
