ORDER_ID,ORDER_IDENTITY_ID,ORDER_PUBLISHER_UUID,ORDER_BRAND_ID,ORDER_BRAND_NAME,ORDER_CREATED_AT,ORDER_COST,REMOTE_ORDER_ID,ORDER_NAME,LAST_ORDER_CREATED_AT,EVENT_ID,EVENT_IDENTITY_ID,EVENT_PUBLISHER_UUID,EVENT_BRAND_ID,EVENT_BRAND_NAME,EVENT_CREATED_AT,EVENT_CLASSIFICATION,HASH_IDENTIFIER,ATTRIBUTION_METHOD,CONVERSION_TYPE,CUSTOMER_TYPE,DAYS_TO_ATTRIBUTION,TARGET_CPA,TARGET_CPO,CONVERSION_WINDOW,START_DATE,END_DATE,MAX_BUDGET,SCHEDULETRACKER_REMOTE_ID,CREATED_AT,UPDATED_AT,BILLABLE_AMOUNT
5158614990908,3398123,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-04T14:51:43Z,117.95,5158614990908,2343680,2023-09-25T15:32:57Z,b1daddad-29f4-4b44-98f5-e4158397b022,2968166,f3e95a7e-42e6-4f45-9d39-315c92ec3da5,3893,Buffbunny Collection,2024-01-02T00:23:41.318Z,display,b8ea4476f34d388e08c8d969d1298740,order_mapping_hash,cross-sell,returning,2,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5157108088892,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-03T11:24:19Z,137.75,5157108088892,2341089,,3bcebc7c-5387-4302-be67-cfbf9311d5d7,9303141,8da5b951-41b3-4928-b31c-4d56dde2e3fb,2508,Bobbie,2024-01-02T00:27:48.717Z,display,IjSeCl3rEmLXfTjNJP6//00cjyJ9lFuoxIEbAtZEPCY=,direct_email_match,cross-sell,new,1,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5159379402812,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-05T02:40:18Z,67.99,5159379402812,2345259,2023-12-14T02:16:25Z,6d530f34-5c0c-43f1-9c93-8d4ae7854418,7696106,d9c9247a-6d34-4e7b-a081-3a27a67ec973,3928,Liquid I.V.,2024-01-02T01:02:07.339Z,display,BC2hwKBNsitBp4cguBAoYABy+9suHIrt1bOVI1c9WGY=,direct_email_match,cross-sell,returning,3,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5162641555516,3180582,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-07T11:21:43Z,187.73,5162641555516,2349854,2023-12-23T09:19:17Z,0e48f2cf-afc6-4511-8ae8-3e513341efef,8127647,88a42684-2886-4d92-953b-0950522c58f0,2372,Hedley & Bennett,2024-01-02T01:02:27.793Z,display,4447881abae8a584367146b33b0397d3,order_mapping_hash,cross-sell,returning,5,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5156148871228,8814604,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-02T17:10:40Z,66.34,5156148871228,2339550,,a667dfc3-f7df-48ac-89c4-fe73f971b607,8814604,1547e23b-0d50-49dd-9d5f-44c45c30c1a5,4009,Otteroo,2024-01-02T01:09:15.511Z,display,0f33d02bb54da8486ee8af15370a1ba3,consumer_hash,cross-sell,new,0,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5156066426940,9306756,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-02T15:42:00Z,155.80,5156066426940,2339371,,fda6b5ea-f060-40b3-92cd-0fa06cc7f42f,9306756,745c7940-9775-487e-b7ad-19206a05a6c0,3880,Bodily,2024-01-02T01:10:54.363Z,display,80a284441a1ceee5a683d79f1a851341,consumer_hash,cross-sell,new,0,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5164414599228,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-08T19:13:37Z,89.95,5164414599228,2352630,2023-11-04T20:19:02Z,6c4fe263-68ae-4e14-bcb3-4c577635091d,1444790,c078f49e-d2d2-44af-af14-2ca1db5d3a92,3896,Consciously Baby,2024-01-02T01:44:51.8Z,display,oi6FtUdPIyKwcSBqtWDQ14FoFHVYGEA/B6IgDGHm8jA=,direct_email_match,cross-sell,returning,6,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5183018762300,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-25T21:04:25Z,97.43,5183018762300,2388016,2023-10-15T17:42:24Z,91b402ca-967f-439f-b294-9310581533ca,1897262,0313213b-02cc-4ae1-ad25-f415edf775e4,2395,Tula Skincare,2024-01-24T23:04:37.501Z,display,+KEL5ZAhr0N3bxq/T5qH3xWf6QsByFgW2x4CLRqibbI=,direct_email_match,cross-sell,returning,1,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5184657063996,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-27T14:45:32Z,49.36,5184657063996,2391495,2024-01-21T23:00:05Z,8811d003-ac25-48c0-a9aa-29d90ba0c13c,9142006,11631591-f491-4419-ac5f-d4740d697c9d,3016,Newton Baby,2024-01-24T23:15:01.349Z,display,yDbhz7e3eAQs2tPQls1kZ5EBsi8DgFTHWBBAvLtjRIw=,direct_email_match,cross-sell,returning,3,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5184187531324,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-26T23:35:09Z,45.39,5184187531324,2390563,,66fd2b5b-3799-4606-83e6-4fbe6d3e5964,9256171,e2297d1b-b6b8-4428-9986-86434d17071a,1960,Laura Geller,2024-01-24T23:38:20.306Z,display,FZUjgP8yigM9VH/pMZ/Cv1oWcYbDYo0PbSvZoOy9dYs=,direct_email_match,cross-sell,new,2,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
