order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2335768,Facebook Ads,fb,2024-01-01 00:16:56+00:00,2024-01-01 00:06:30.267000+00:00,0,2,1
2335768,Unattributed,unattributed,2024-01-01 00:16:56+00:00,2024-01-01 00:16:56+00:00,0,2,2
2335779,Klaviyo,utm medium - email,2024-01-01 00:21:22+00:00,2023-12-31 23:57:22.636000+00:00,0,3,1
2335779,Klaviyo,utm medium - email,2024-01-01 00:21:22+00:00,2024-01-01 00:05:37.216000+00:00,0,3,2
2335779,Unattributed,unattributed,2024-01-01 00:21:22+00:00,2024-01-01 00:21:22+00:00,0,3,3
2335821,Unattributed,unattributed,2024-01-01 00:45:44+00:00,2024-01-01 00:45:44+00:00,0,1,1
2335838,Facebook Ads,utm medium - paid,2024-01-01 00:52:25+00:00,2023-12-30 14:37:17.056000+00:00,1,2,1
2335838,Unattributed,unattributed,2024-01-01 00:52:25+00:00,2024-01-01 00:52:25+00:00,0,2,2
2335867,Unattributed,unattributed,2024-01-01 01:12:19+00:00,2024-01-01 01:12:19+00:00,0,1,1
2335873,Google Ads,adwords,2024-01-01 01:16:09+00:00,2023-12-29 15:13:18.460000+00:00,2,3,1
2335873,Google Ads,adwords,2024-01-01 01:16:09+00:00,2023-12-29 15:34:25.639000+00:00,2,3,2
2335873,Unattributed,unattributed,2024-01-01 01:16:09+00:00,2024-01-01 01:16:09+00:00,0,3,3
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-24 17:07:56.120000+00:00,7,7,1
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-24 18:44:24.388000+00:00,7,7,2
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-27 15:26:40.038000+00:00,4,7,3
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-27 15:26:45.507000+00:00,4,7,4
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-29 16:13:17.890000+00:00,2,7,5
2335883,Facebook Ads,fb,2024-01-01 01:19:09+00:00,2023-12-29 20:58:19.214000+00:00,2,7,6
2335883,Unattributed,unattributed,2024-01-01 01:19:09+00:00,2024-01-01 01:19:09+00:00,0,7,7
2335908,Unattributed,unattributed,2024-01-01 01:28:58+00:00,2024-01-01 01:28:58+00:00,0,1,1
