client_event_time,client_order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_distance,order_distance,avg_distance,cadenlane_order_number,cadenlane_northbeam_platform,cadenlane_source,cadenlane_order_time,cadenlane_event_time,cadenlane_attribution_days
2024-01-02 00:23:41.318000+00:00,2024-01-04 14:51:43+00:00,display,cross-sell,returning,order_mapping_hash,2,20.0,15919.848,602.0,8260.923999999999,2343703,Facebook Ads,fb,2024-01-04 15:01:45+00:00,2024-01-01 19:58:21.470000+00:00,2
2024-01-02 00:27:48.717000+00:00,2024-01-03 11:24:19+00:00,display,cross-sell,new,direct_email_match,1,32.0,2328.69,11888.0,7108.345,2341302,Facebook Ads,fb,2024-01-03 14:42:27+00:00,2024-01-01 23:49:00.027000+00:00,1
2024-01-02 01:02:07.339000+00:00,2024-01-05 02:40:18+00:00,display,cross-sell,returning,direct_email_match,3,20.0,3367.922,649.0,2008.461,2345229,Organic,direct,2024-01-05 02:29:29+00:00,2024-01-02 01:58:15.261000+00:00,3
2024-01-02 01:02:27.793000+00:00,2024-01-07 11:21:43+00:00,display,cross-sell,returning,order_mapping_hash,5,20.0,3571.326,15738.0,9654.663,2349800,Facebook Ads,fb,2024-01-07 06:59:25+00:00,2024-01-02 02:01:59.119000+00:00,5
2024-01-02 01:09:15.511000+00:00,2024-01-02 17:10:40+00:00,display,cross-sell,new,consumer_hash,0,32.0,4871.087,1657.0,3264.0435,2339617,Klaviyo,utm medium - email,2024-01-02 17:38:17+00:00,2024-01-02 02:30:26.598000+00:00,0
2024-01-02 01:10:54.363000+00:00,2024-01-02 15:42:00+00:00,display,cross-sell,new,consumer_hash,0,32.0,2220.812,804.0,1512.406,2339345,Organic,direct,2024-01-02 15:28:36+00:00,2024-01-02 00:33:53.551000+00:00,0
2024-01-02 01:44:51.800000+00:00,2024-01-08 19:13:37+00:00,display,cross-sell,returning,direct_email_match,6,20.0,6102.288,28129.0,17115.644,2353415,Organic,direct,2024-01-09 03:02:26+00:00,2024-01-02 00:03:09.512000+00:00,7
2024-01-24 23:04:37.501000+00:00,2024-01-25 21:04:25+00:00,display,cross-sell,returning,direct_email_match,1,20.0,130.736,25.0,77.868,2388016,Organic,direct,2024-01-25 21:04:50+00:00,2024-01-24 23:02:26.765000+00:00,0
2024-01-24 23:15:01.349000+00:00,2024-01-27 14:45:32+00:00,display,cross-sell,returning,direct_email_match,3,20.0,14308.711,3569.0,8938.8555,2391374,Organic,direct,2024-01-27 13:46:03+00:00,2024-01-25 03:13:30.060000+00:00,2
2024-01-24 23:38:20.306000+00:00,2024-01-26 23:35:09+00:00,display,cross-sell,new,direct_email_match,2,32.0,3631.699,6411.0,5021.3495,2390390,Organic,direct,2024-01-26 21:48:18+00:00,2024-01-24 22:37:48.607000+00:00,1
2024-01-11 21:57:43.611000+00:00,2024-01-12 05:29:03+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,285.063,3609.0,1947.0315,2358948,Organic,direct,2024-01-12 06:29:12+00:00,2024-01-11 22:02:28.674000+00:00,0
2024-01-11 22:36:30.837000+00:00,2024-01-15 17:38:20+00:00,display,cross-sell,new,direct_email_match,4,32.0,9025.965,1091.0,5058.4825,2366514,Facebook Ads,fb,2024-01-15 17:56:31+00:00,2024-01-11 20:06:04.872000+00:00,3
2024-01-02 22:55:23.754000+00:00,2024-01-05 21:57:03+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,5190.096,13094.0,9142.047999999999,2346341,Facebook Ads,fb,2024-01-05 18:18:49+00:00,2024-01-03 00:21:53.850000+00:00,2
2024-01-02 23:09:36.926000+00:00,2024-01-09 03:21:00+00:00,display,cross-sell,returning,direct_email_match,7,20.0,11933.077,7670.0,9801.538499999999,2353600,Organic,direct,2024-01-09 05:28:50+00:00,2024-01-03 02:28:30.003000+00:00,6
2024-01-02 23:36:14.849000+00:00,2024-01-06 17:24:11+00:00,display,cross-sell,returning,direct_email_match,4,20.0,13726.634,27.0,6876.817,2348233,MNTN,mntn,2024-01-06 17:24:38+00:00,2024-01-03 03:25:01.483000+00:00,3
2024-01-02 23:44:59.172000+00:00,2024-01-09 14:21:55+00:00,display,cross-sell,new,direct_email_match,7,32.0,16663.965,13658.0,15160.9825,2354245,MNTN,mntn,2024-01-09 18:09:33+00:00,2024-01-03 04:22:43.137000+00:00,6
2024-01-15 00:18:27.660000+00:00,2024-01-17 05:34:11+00:00,click,cross-sell,returning,direct_email_match,2,20.0,2054.038,1214.0,1634.019,2370153,Organic,direct,2024-01-17 05:54:25+00:00,2024-01-15 00:52:41.698000+00:00,2
2024-01-15 01:02:37.133000+00:00,2024-01-15 01:32:32+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,134.251,1326.0,730.1255,2365304,Organic,direct,2024-01-15 01:10:26+00:00,2024-01-15 01:04:51.384000+00:00,0
2024-01-15 16:57:11.763000+00:00,2024-01-16 21:43:27+00:00,display,cross-sell,returning,direct_email_match,1,20.0,3399.333,25.0,1712.1665,2369258,Rakuten,utm medium -,2024-01-16 21:43:52+00:00,2024-01-15 17:53:51.096000+00:00,1
2024-01-15 17:43:20.874000+00:00,2024-01-21 18:23:36+00:00,display,cross-sell,returning,direct_email_match,6,20.0,1184.119,9317.0,5250.5595,2379110,Organic,direct,2024-01-21 15:48:19+00:00,2024-01-15 17:23:36.755000+00:00,5
2023-12-25 15:01:24.032000+00:00,2024-01-01 04:15:55+00:00,display,cross-sell,lapsed,consumer_hash,7,32.0,26778.288,2587.0,14682.644,2336335,Organic,direct,2024-01-01 04:59:02+00:00,2023-12-25 22:27:42.320000+00:00,6
2024-01-16 08:59:17.096000+00:00,2024-01-22 18:15:17+00:00,display,cross-sell,lapsed,direct_email_match,6,32.0,6128.839,5002.0,5565.4195,2382061,Klaviyo,utm medium - email,2024-01-22 19:38:39+00:00,2024-01-16 10:41:25.935000+00:00,6
2024-01-16 11:28:02.729000+00:00,2024-01-21 02:15:25+00:00,display,cross-sell,returning,direct_email_match,5,20.0,7507.435,2066.0,4786.717500000001,2378366,MNTN,mntn,2024-01-21 02:49:51+00:00,2024-01-16 09:22:55.294000+00:00,4
2024-01-16 13:16:10.137000+00:00,2024-01-23 02:00:30+00:00,display,cross-sell,returning,direct_email_match,7,20.0,19675.565,4063.0,11869.2825,2382887,Organic,direct,2024-01-23 03:08:13+00:00,2024-01-16 18:44:05.702000+00:00,6
2024-01-16 15:05:37.524000+00:00,2024-01-22 18:44:30+00:00,click,cross-sell,new,direct_email_match,6,32.0,1244.394,709.0,976.697,2381978,MNTN,mntn,2024-01-22 18:56:19+00:00,2024-01-16 15:26:21.918000+00:00,6
2024-01-16 15:11:54.379000+00:00,2024-01-16 16:29:47+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2210.07,461.0,1335.535,2368668,Organic,direct,2024-01-16 16:37:28+00:00,2024-01-16 15:48:44.449000+00:00,0
2024-01-16 15:18:38.502000+00:00,2024-01-23 02:57:04+00:00,display,cross-sell,returning,direct_email_match,7,20.0,12327.2,669.0,6498.1,2382887,Organic,direct,2024-01-23 03:08:13+00:00,2024-01-16 18:44:05.702000+00:00,6
2024-01-16 15:20:19.155000+00:00,2024-01-17 12:51:47+00:00,display,cross-sell,returning,consumer_hash,1,20.0,5916.955,9120.0,7518.4775,2370492,Klaviyo,utm medium - email,2024-01-17 15:23:47+00:00,2024-01-16 13:41:42.200000+00:00,1
2024-01-16 15:22:03.837000+00:00,2024-01-16 17:53:54+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,3411.492,2549.0,2980.246,2368920,Google Ads,adwords,2024-01-16 18:36:23+00:00,2024-01-16 14:25:12.345000+00:00,0
2023-12-27 02:17:41.679000+00:00,2024-01-01 03:55:05+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,5509.525,3837.0,4673.2625,2336335,Organic,direct,2024-01-01 04:59:02+00:00,2023-12-27 03:49:31.204000+00:00,5
2024-01-17 20:47:19.179000+00:00,2024-01-17 20:52:35+00:00,display,cross-sell,returning,direct_email_match,0,20.0,315.821,0.0,157.9105,2371122,Unattributed,unattributed,2024-01-17 20:52:35+00:00,2024-01-17 20:52:35+00:00,0
2024-01-17 21:20:38.673000+00:00,2024-01-19 13:32:53+00:00,display,cross-sell,returning,order_mapping_hash,2,20.0,8986.301,5845.0,7415.6505,2374248,Disco,utm medium - disco_paid,2024-01-19 15:10:18+00:00,2024-01-17 18:50:52.372000+00:00,1
2024-01-17 21:44:51.222000+00:00,2024-01-20 18:20:14+00:00,display,cross-sell,new,direct_email_match,3,32.0,1569.383,2659.0,2114.1915,2377235,Organic,direct,2024-01-20 19:04:33+00:00,2024-01-17 21:18:41.839000+00:00,2
2023-12-28 08:51:54.365000+00:00,2024-01-01 03:34:47+00:00,display,cross-sell,returning,order_mapping_hash,4,20.0,5887.208,4248.0,5067.603999999999,2336310,Organic,direct,2024-01-01 04:45:35+00:00,2023-12-28 10:30:01.573000+00:00,3
2023-12-28 10:31:47.665000+00:00,2024-01-01 17:04:40+00:00,display,cross-sell,new,direct_email_match,4,32.0,4689.267,9233.0,6961.1335,2336704,Klaviyo,utm medium - email,2024-01-01 14:30:47+00:00,2023-12-28 11:49:56.932000+00:00,4
2023-12-28 10:56:30.725000+00:00,2024-01-02 03:02:34+00:00,display,cross-sell,returning,consumer_hash,5,20.0,8267.252,24140.0,16203.626,2337609,Klaviyo,utm medium - email,2024-01-01 20:20:14+00:00,2023-12-28 13:14:17.977000+00:00,4
2023-12-28 14:20:49.781000+00:00,2024-01-01 16:54:55+00:00,display,cross-sell,returning,consumer_hash,4,20.0,3118.567,6199.0,4658.7835,2336815,Organic Search,referral,2024-01-01 15:11:36+00:00,2023-12-28 15:12:48.348000+00:00,3
2023-12-28 14:44:52.442000+00:00,2024-01-04 13:40:34+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,11804.278,2630.0,7217.139,2343618,Organic,direct,2024-01-04 14:24:24+00:00,2023-12-28 18:01:36.720000+00:00,6
2023-12-28 14:56:17.612000+00:00,2024-01-03 15:16:28+00:00,display,cross-sell,returning,direct_email_match,6,20.0,7180.724,795.0,3987.862,2341333,MNTN,mntn,2024-01-03 15:03:13+00:00,2023-12-28 16:55:58.336000+00:00,5
2023-12-28 15:08:32.004000+00:00,2024-01-01 01:41:52+00:00,display,cross-sell,returning,consumer_hash,4,20.0,4566.502,1363.0,2964.751,2335883,Organic,direct,2024-01-01 01:19:09+00:00,2023-12-28 16:24:38.506000+00:00,3
2023-12-28 15:10:20.078000+00:00,2024-01-02 02:47:45+00:00,display,cross-sell,new,consumer_hash,5,32.0,6962.101,23251.0,15106.5505,2337609,Klaviyo,utm medium - email,2024-01-01 20:20:14+00:00,2023-12-28 13:14:17.977000+00:00,4
2024-01-03 08:07:48.760000+00:00,2024-01-06 01:00:30+00:00,display,cross-sell,returning,consumer_hash,3,20.0,3236.356,14869.0,9052.678,2346700,Organic Search,referral,2024-01-05 20:52:41+00:00,2024-01-03 09:01:45.116000+00:00,2
2024-01-03 11:13:47.997000+00:00,2024-01-04 18:11:37+00:00,display,cross-sell,new,order_mapping_hash,1,32.0,4567.42,533.0,2550.21,2344211,Organic Search,referral,2024-01-04 18:20:30+00:00,2024-01-03 12:29:55.417000+00:00,1
2024-01-03 11:26:28.779000+00:00,2024-01-04 13:56:59+00:00,display,cross-sell,new,consumer_hash,1,32.0,5910.763,424.0,3167.3815,2343547,Organic,direct,2024-01-04 13:49:55+00:00,2024-01-03 13:04:59.542000+00:00,1
2024-01-18 20:24:45.363000+00:00,2024-01-22 21:27:17+00:00,display,cross-sell,new,direct_email_match,4,32.0,8329.275,3411.0,5870.1375,2382167,Google Ads,adwords,2024-01-22 20:30:26+00:00,2024-01-18 22:43:34.638000+00:00,3
2024-01-18 20:27:14.206000+00:00,2024-01-21 16:40:08+00:00,display,cross-sell,new,direct_email_match,3,32.0,10981.684,12140.0,11560.842,2379728,Klaviyo,utm medium - email,2024-01-21 20:02:28+00:00,2024-01-18 17:24:12.522000+00:00,3
2024-01-18 20:40:46.192000+00:00,2024-01-21 20:02:02+00:00,display,cross-sell,returning,direct_email_match,3,20.0,11793.67,26.0,5909.835,2379728,Klaviyo,utm medium - email,2024-01-21 20:02:28+00:00,2024-01-18 17:24:12.522000+00:00,3
2023-12-28 23:59:53.830000+00:00,2024-01-03 07:01:35+00:00,display,cross-sell,new,order_mapping_hash,6,32.0,25357.442,8522.0,16939.720999999998,2340934,Klaviyo,utm medium - email,2024-01-03 04:39:33+00:00,2023-12-28 16:57:16.388000+00:00,5
