event_time,order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_date,order_date,event_hour,order_hour,event_minute,order_minute,event_second,order_second
2024-01-02 00:23:41.318000+00:00,2024-01-04 14:51:43+00:00,display,cross-sell,returning,order_mapping_hash,2,20.0,2024-01-02,2024-01-04,0,14,23,51,41,43
2024-01-02 00:27:48.717000+00:00,2024-01-03 11:24:19+00:00,display,cross-sell,new,direct_email_match,1,32.0,2024-01-02,2024-01-03,0,11,27,24,48,19
2024-01-02 01:02:07.339000+00:00,2024-01-05 02:40:18+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-02,2024-01-05,1,2,2,40,7,18
2024-01-02 01:02:27.793000+00:00,2024-01-07 11:21:43+00:00,display,cross-sell,returning,order_mapping_hash,5,20.0,2024-01-02,2024-01-07,1,11,2,21,27,43
2024-01-02 01:09:15.511000+00:00,2024-01-02 17:10:40+00:00,display,cross-sell,new,consumer_hash,0,32.0,2024-01-02,2024-01-02,1,17,9,10,15,40
2024-01-02 01:10:54.363000+00:00,2024-01-02 15:42:00+00:00,display,cross-sell,new,consumer_hash,0,32.0,2024-01-02,2024-01-02,1,15,10,42,54,0
2024-01-02 01:44:51.800000+00:00,2024-01-08 19:13:37+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-02,2024-01-08,1,19,44,13,51,37
2024-01-24 23:04:37.501000+00:00,2024-01-25 21:04:25+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-24,2024-01-25,23,21,4,4,37,25
2024-01-24 23:15:01.349000+00:00,2024-01-27 14:45:32+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-24,2024-01-27,23,14,15,45,1,32
2024-01-24 23:38:20.306000+00:00,2024-01-26 23:35:09+00:00,display,cross-sell,new,direct_email_match,2,32.0,2024-01-24,2024-01-26,23,23,38,35,20,9
2024-01-11 21:57:43.611000+00:00,2024-01-12 05:29:03+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,2024-01-11,2024-01-12,21,5,57,29,43,3
2024-01-11 22:36:30.837000+00:00,2024-01-15 17:38:20+00:00,display,cross-sell,new,direct_email_match,4,32.0,2024-01-11,2024-01-15,22,17,36,38,30,20
2024-01-02 22:55:23.754000+00:00,2024-01-05 21:57:03+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,2024-01-02,2024-01-05,22,21,55,57,23,3
2024-01-02 23:09:36.926000+00:00,2024-01-09 03:21:00+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-02,2024-01-09,23,3,9,21,36,0
2024-01-02 23:36:14.849000+00:00,2024-01-06 17:24:11+00:00,display,cross-sell,returning,direct_email_match,4,20.0,2024-01-02,2024-01-06,23,17,36,24,14,11
2024-01-02 23:44:59.172000+00:00,2024-01-09 14:21:55+00:00,display,cross-sell,new,direct_email_match,7,32.0,2024-01-02,2024-01-09,23,14,44,21,59,55
2024-01-15 00:18:27.660000+00:00,2024-01-17 05:34:11+00:00,click,cross-sell,returning,direct_email_match,2,20.0,2024-01-15,2024-01-17,0,5,18,34,27,11
2024-01-15 01:02:37.133000+00:00,2024-01-15 01:32:32+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-15,2024-01-15,1,1,2,32,37,32
2024-01-15 16:57:11.763000+00:00,2024-01-16 21:43:27+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-15,2024-01-16,16,21,57,43,11,27
2024-01-15 17:43:20.874000+00:00,2024-01-21 18:23:36+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-15,2024-01-21,17,18,43,23,20,36
2023-12-25 15:01:24.032000+00:00,2024-01-01 04:15:55+00:00,display,cross-sell,lapsed,consumer_hash,7,32.0,2023-12-25,2024-01-01,15,4,1,15,24,55
2024-01-16 08:59:17.096000+00:00,2024-01-22 18:15:17+00:00,display,cross-sell,lapsed,direct_email_match,6,32.0,2024-01-16,2024-01-22,8,18,59,15,17,17
2024-01-16 11:28:02.729000+00:00,2024-01-21 02:15:25+00:00,display,cross-sell,returning,direct_email_match,5,20.0,2024-01-16,2024-01-21,11,2,28,15,2,25
2024-01-16 13:16:10.137000+00:00,2024-01-23 02:00:30+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-16,2024-01-23,13,2,16,0,10,30
