event_diff_sec,formatted_time_diff
-1.9,1.9 sec before
-2.0,2 sec before
-1.8,1.8 sec before
-2.0,2 sec before
-2.4,2.4 sec before
-2.3,2.3 sec before
-1.9,1.9 sec before
-3.2,3.2 sec before
-3.4,3.4 sec before
-3.1,3.1 sec before
-3.2,3.2 sec before
-2.5,2.5 sec before
-2.7,2.7 sec before
-3.2,3.2 sec before
-2.6,2.6 sec before
-2.8,2.8 sec before
-3.7,3.7 sec before
-4.8,4.8 sec before
-4.9,4.9 sec before
-4.9,4.9 sec before
-6.1,6.1 sec before
-6.7,6.7 sec before
-7.3,7.3 sec before
-7.7,7.7 sec before
13.2,13.2 sec after
13.2,13.2 sec after
-20.1,20.1 sec before
32.2,32.2 sec after
-13.4,13.4 sec before
31.8,31.8 sec after
34.3,34.3 sec after
-64.7,1.1 min before
-14.6,14.6 sec before
391.8,6.5 min after
-18.5,18.5 sec before
-30.6,30.6 sec before
-435.0,7.2 min before
31.9,31.9 sec after
-691.5,11.5 min before
-35.9,35.9 sec before
-2438.0,40.6 min before
24480.9,6.8 hr after
37.7,37.7 sec after
-67.0,1.1 min before
-77.1,1.3 min before
-77.6,1.3 min before
109.1,1.8 min after
-2.0,2 sec before
-81107.4,22.5 hr before
-72308.5,20.1 hr before
-69682.9,19.4 hr before
-68353.4,19 hr before
-61798.0,17.2 hr before
-60853.1,16.9 hr before
-59949.8,16.7 hr before
-59896.7,16.6 hr before
-59094.9,16.4 hr before
-58947.3,16.4 hr before
-58941.9,16.4 hr before
-57247.0,15.9 hr before
-57088.5,15.9 hr before
-56015.1,15.6 hr before
-54038.8,15 hr before
-53097.2,14.7 hr before
-53032.2,14.7 hr before
-52534.5,14.6 hr before
-316.0,5.3 min before
328.9,5.5 min after
-52273.5,14.5 hr before
-52222.4,14.5 hr before
-52174.2,14.5 hr before
-51649.1,14.3 hr before
-51248.0,14.2 hr before
-50864.5,14.1 hr before
-49212.7,13.7 hr before
-49058.5,13.6 hr before
-48981.1,13.6 hr before
-47835.6,13.3 hr before
-47465.0,13.2 hr before
-47120.4,13.1 hr before
-46690.5,13 hr before
-46690.5,13 hr before
-562.0,9.4 min before
-46630.8,13 hr before
-46260.8,12.9 hr before
-45788.8,12.7 hr before
-45773.3,12.7 hr before
-45773.3,12.7 hr before
-44828.0,12.5 hr before
-44339.6,12.3 hr before
-1.2,1.2 sec before
-754.0,12.6 min before
-43605.1,12.1 hr before
-43452.5,12.1 hr before
-189048.2,2.2 day before
-43293.6,12 hr before
-42466.1,11.8 hr before
-42450.9,11.8 hr before
-41428.5,11.5 hr before
-41416.0,11.5 hr before
-41190.7,11.4 hr before
-40581.0,11.3 hr before
-39783.9,11.1 hr before
-39663.8,11 hr before
-39268.1,10.9 hr before
-38485.1,10.7 hr before
-38057.3,10.6 hr before
-37486.8,10.4 hr before
-37434.4,10.4 hr before
-37398.6,10.4 hr before
-37331.9,10.4 hr before
-37110.0,10.3 hr before
-257537.0,3 day before
-37022.0,10.3 hr before
-1378.0,23 min before
-36994.6,10.3 hr before
-36351.5,10.1 hr before
-36006.6,10 hr before
-35762.3,9.9 hr before
-35057.8,9.7 hr before
-33278.4,9.2 hr before
-1540.0,25.7 min before
-33270.7,9.2 hr before
-32407.8,9 hr before
-32407.8,9 hr before
-32357.9,9 hr before
-32100.0,8.9 hr before
-1736.0,28.9 min before
-31445.8,8.7 hr before
-1896.0,31.6 min before
-31099.0,8.6 hr before
-31038.8,8.6 hr before
-30852.7,8.6 hr before
-30473.0,8.5 hr before
-30450.2,8.5 hr before
-30173.3,8.4 hr before
-30102.9,8.4 hr before
-2368.0,39.5 min before
-29895.9,8.3 hr before
-29346.2,8.2 hr before
-28939.4,8 hr before
-28133.0,7.8 hr before
-27886.0,7.7 hr before
-27716.6,7.7 hr before
-27579.8,7.7 hr before
-27477.5,7.6 hr before
-27203.7,7.6 hr before
-26675.2,7.4 hr before
-2753.0,45.9 min before
-26076.9,7.2 hr before
-26056.0,7.2 hr before
-25897.0,7.2 hr before
-25378.1,7 hr before
-24982.0,6.9 hr before
-24252.5,6.7 hr before
-23850.0,6.6 hr before
-23707.7,6.6 hr before
-23475.5,6.5 hr before
-3105.0,51.8 min before
-23288.6,6.5 hr before
-23114.7,6.4 hr before
-23077.8,6.4 hr before
-22876.0,6.4 hr before
-22679.4,6.3 hr before
-22185.7,6.2 hr before
-22145.5,6.2 hr before
-22145.5,6.2 hr before
-21779.8,6 hr before
-21504.4,6 hr before
-3655.0,1 hr before
-21474.3,6 hr before
-21403.7,5.9 hr before
-21349.0,5.9 hr before
-20681.0,5.7 hr before
-20654.5,5.7 hr before
-20630.9,5.7 hr before
-20549.1,5.7 hr before
-4249.0,1.2 hr before
-20497.2,5.7 hr before
-20466.0,5.7 hr before
-20395.0,5.7 hr before
-20359.6,5.7 hr before
-20127.2,5.6 hr before
-19883.9,5.5 hr before
-4463.0,1.2 hr before
-19545.6,5.4 hr before
-19493.6,5.4 hr before
-4543.0,1.3 hr before
-19348.1,5.4 hr before
-19117.0,5.3 hr before
-19088.1,5.3 hr before
-19053.2,5.3 hr before
-19053.2,5.3 hr before
-18874.1,5.2 hr before
-18414.0,5.1 hr before
-18323.4,5.1 hr before
-4.2,4.2 sec before
-5206.0,1.4 hr before
-18297.2,5.1 hr before
-18271.8,5.1 hr before
-17867.3,5 hr before
-17829.6,5 hr before
-17495.2,4.9 hr before
-17274.7,4.8 hr before
-17182.2,4.8 hr before
-17154.0,4.8 hr before
-17000.3,4.7 hr before
-16800.8,4.7 hr before
-16800.8,4.7 hr before
-16800.8,4.7 hr before
-16779.6,4.7 hr before
-16556.2,4.6 hr before
-16420.2,4.6 hr before
-5729.0,1.6 hr before
-16311.9,4.5 hr before
-16298.6,4.5 hr before
-16298.6,4.5 hr before
-16276.8,4.5 hr before
-16245.6,4.5 hr before
-16204.0,4.5 hr before
-16078.6,4.5 hr before
-15995.0,4.4 hr before
-15993.9,4.4 hr before
-15789.4,4.4 hr before
-14597.5,4.1 hr before
-14579.9,4 hr before
-6118.0,1.7 hr before
-14491.7,4 hr before
-14366.6,4 hr before
-14041.5,3.9 hr before
-14024.3,3.9 hr before
-13992.5,3.9 hr before
-13971.6,3.9 hr before
-13884.4,3.9 hr before
-13624.9,3.8 hr before
-13442.6,3.7 hr before
-6856.0,1.9 hr before
-13426.6,3.7 hr before
-13186.6,3.7 hr before
-13094.7,3.6 hr before
-7266.0,2 hr before
-13058.4,3.6 hr before
-12994.5,3.6 hr before
-7833.0,2.2 hr before
-12921.8,3.6 hr before
-7965.0,2.2 hr before
-12734.7,3.5 hr before
-12675.2,3.5 hr before
-12579.4,3.5 hr before
-12517.7,3.5 hr before
-12474.1,3.5 hr before
-12224.7,3.4 hr before
-12144.2,3.4 hr before
-12002.0,3.3 hr before
-11846.4,3.3 hr before
-11844.4,3.3 hr before
-11631.0,3.2 hr before
-11349.3,3.2 hr before
-11099.6,3.1 hr before
-11005.7,3.1 hr before
-10995.4,3.1 hr before
-10915.9,3 hr before
-10847.0,3 hr before
-10843.8,3 hr before
-10674.0,3 hr before
-10660.6,3 hr before
-10635.7,3 hr before
-10615.9,2.9 hr before
-10595.3,2.9 hr before
-10318.6,2.9 hr before
-10124.0,2.8 hr before
-10689.0,3 hr before
-10050.2,2.8 hr before
-9714.5,2.7 hr before
-9693.0,2.7 hr before
-9676.0,2.7 hr before
-9626.2,2.7 hr before
-9582.6,2.7 hr before
-9324.1,2.6 hr before
-11315.0,3.1 hr before
-9161.9,2.5 hr before
-9161.9,2.5 hr before
-8870.2,2.5 hr before
-8851.9,2.5 hr before
-11958.0,3.3 hr before
-8670.1,2.4 hr before
-12069.0,3.4 hr before
-8616.9,2.4 hr before
-8396.0,2.3 hr before
-8362.2,2.3 hr before
-8325.6,2.3 hr before
-12251.0,3.4 hr before
-12447.0,3.5 hr before
-8012.3,2.2 hr before
-7846.0,2.2 hr before
-7792.6,2.2 hr before
-7520.5,2.1 hr before
-7226.2,2 hr before
-7212.6,2 hr before
-6754.1,1.9 hr before
-6310.3,1.8 hr before
-6199.2,1.7 hr before
-6160.2,1.7 hr before
-6142.8,1.7 hr before
-6088.9,1.7 hr before
-6060.3,1.7 hr before
-6057.2,1.7 hr before
-6028.9,1.7 hr before
-6028.8,1.7 hr before
-6010.4,1.7 hr before
-5971.8,1.7 hr before
-5896.3,1.6 hr before
-5873.0,1.6 hr before
-5843.1,1.6 hr before
-5825.0,1.6 hr before
-5763.4,1.6 hr before
-5713.2,1.6 hr before
-14640.0,4.1 hr before
-14646.0,4.1 hr before
