CL_ORDER_NUM,ORDER_DATE,DISPLAY_TIME,SOURCE_EVENT,TIME_DELTA_DAYS,SHOPIFY_ORDER_ID
2393245,2024-01-28T09:08:33Z,2024-01-18T21:18:49Z,CLICK,10,5185471152188
2355038,2024-01-10T01:27:19Z,2024-01-10T01:15:36Z,CLICK,0,5166266515516
2399303,2024-01-30T22:31:59Z,2024-01-22T05:12:58Z,CLICK,8,5188108320828
2364909,2024-01-14T22:13:31Z,2024-01-14T22:07:59Z,CLICK,0,5171911000124
2364918,2024-01-14T22:16:16Z,2024-01-14T22:07:59Z,CLICK,0,5171913326652
2355058,2024-01-10T01:36:48Z,2024-01-10T01:15:36Z,CLICK,0,5166275854396
2400046,2024-01-31T05:56:02Z,2024-01-31T05:48:25Z,CLICK,0,5188415815740
2345414,2024-01-05T03:59:51Z,2023-12-28T17:09:14Z,CLICK,7,5159469023292
2378970,2024-01-21T14:45:30Z,2024-01-20T21:05:03Z,CLICK,1,5178546028604
2388682,2024-01-26T03:15:31Z,2024-01-26T02:57:44Z,CLICK,0,5183299125308
2360642,2024-01-13T01:39:12Z,2024-01-09T06:52:55Z,CLICK,4,5170039455804
2387020,2024-01-25T12:02:47Z,2024-01-25T11:57:31Z,CLICK,0,5182597529660
2381948,2024-01-22T18:44:30Z,2024-01-16T15:05:37Z,CLICK,6,5179879489596
2341847,2024-01-03T18:23:59Z,2024-01-03T18:16:01Z,CLICK,0,5157481414716
2356046,2024-01-10T18:31:31Z,2024-01-10T18:24:29Z,CLICK,0,5167401631804
2398172,2024-01-30T12:01:10Z,2024-01-30T11:51:18Z,CLICK,0,5187612475452
2339663,2024-01-02T17:59:08Z,2024-01-02T16:17:41Z,CLICK,0,5156197597244
2341313,2024-01-03T14:52:50Z,2024-01-03T14:49:46Z,CLICK,0,5157244239932
2340969,2024-01-03T05:21:37Z,2024-01-03T05:15:21Z,CLICK,0,5156908990524
2376042,2024-01-20T11:49:32Z,2024-01-20T11:27:23Z,CLICK,0,5177472024636
2349486,2024-01-07T03:00:37Z,2024-01-07T02:34:05Z,CLICK,0,5162253844540
2352652,2024-01-08T19:26:34Z,2024-01-08T19:23:13Z,CLICK,0,5164428066876
