ORDER_CREATED_AT,EVENT_DATE,ORDER_ID,PUBLISHER_NAME,EVENT_CLASSIFICATION,WIDGET_TYPE,DAYS_TO_ATTRIBUTION,CUSTOMER_TYPE,BILLABLE_AMOUNT,DISCOUNT_CODES,ORDER_COST,ORDER_EVENT_IP_ADDRESS,ORDER_EVENT_USER_AGENT,SHIPPING_ADDRESS_ZIP_CODE,LINE_ITEMS,ORDER_TAGS,ORDER_SOURCE_NAME,LANDING_SITE
2024-03-22T22:41:29Z,2024-03-16,5252363485244,Twillory,display,LEAD_GEN,6,returning,10.00,SAVE20,153.91,104.28.85.113,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",92570,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 4726919430204,
    ""platform_variant_id"": 32725006221372,
    ""price"": ""2.75"",
    ""product_name"": ""Package Protection - $2.75"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7178215325756,
    ""platform_variant_id"": 40765550854204,
    ""price"": ""28.00"",
    ""product_name"": ""Printed Sun Hat | Sun's Out* - XS"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7278784643132,
    ""platform_variant_id"": 41106066702396,
    ""price"": ""44.00"",
    ""product_name"": ""Long Sleeve Rash Guard Swim Romper Shortie | All Prints* - 3-6 months / Sun's Out"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7093253308476,
    ""platform_variant_id"": 40547121889340,
    ""price"": ""28.00"",
    ""product_name"": ""Printed Sun Hat | Makin' Waves - S"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7093234466876,
    ""platform_variant_id"": 40547114745916,
    ""price"": ""32.00"",
    ""product_name"": ""Boy's Swim Trunks | Makin' Waves - 5/6"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7277793378364,
    ""platform_variant_id"": 41045420671036,
    ""price"": ""44.00"",
    ""product_name"": ""Long Sleeve Rash Guard With Ruffle Bottom | All Prints* - 6-12 months / Makin' Waves"",
    ""quantity"": 1
  }
]",,web,/collections/matching-family-swimsuits?utm_source=Purchased Swim 2023&utm_medium=email&utm_campaign=03.22.24 Spring Break UGC (01HSBMB035G0ZWGH2730ZZPGSM)&nb_klid=01HDRSXJSV756M32DX8S23E4S1&klaviyo_profile_id=01HDRSXJSV756M32DX8S23E4S1&_kx=Rt_fQPHGkzRMaOYYvaLdTbCDF3-jhSYQECBRvl-9JPI.LBVkF8
2024-03-22T21:40:49Z,2024-03-16,5252299423804,Twillory,display,LEAD_GEN,6,returning,10.00,SAVE20,146.61,76.176.35.171,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",43953,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6608958062652,
    ""platform_variant_id"": 39430169722940,
    ""price"": ""36.00"",
    ""product_name"": ""Wren's Wildflower Newborn Baby Knot Gown & Hat*"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 4588747259964,
    ""platform_variant_id"": 32311694164028,
    ""price"": ""40.00"",
    ""product_name"": ""Rosie's Rose Garden Crib Sheet"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6652534259772,
    ""platform_variant_id"": 39499440685116,
    ""price"": ""40.00"",
    ""product_name"": ""Wren's Wildflower Crib Sheet"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 3955370524695,
    ""platform_variant_id"": 29479999963159,
    ""price"": ""40.00"",
    ""product_name"": ""Millie's Dusty Rose Garden Crib Sheet"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""2.10"",
    ""platform_product_id"": 6632566227004,
    ""platform_variant_id"": 39467365498940,
    ""price"": ""14.00"",
    ""product_name"": ""Wren's Wildflower Large Bow Headwrap"",
    ""quantity"": 1
  }
]","channel_other, OCU Zipify Post-Purchase Upsell Bought",web,/collections/vintage-floral-trend?epik=dj0yJnU9Y3VvTlVNaEwyVkpvNGVjTFhvRkZGSVhFb0pkUHFTd2wmcD0wJm49UmJTUFpSNUVLSVlJcFlZY1k1SVFlUSZ0PUFBQUFBR1g5LU5R&utm_source=pinterest&utm_medium=social
2024-03-23T00:28:18Z,2024-03-16,5252456218684,Twillory,display,LEAD_GEN,7,new,20.00,SAVE15,125.95,170.63.193.198,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",01201,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7152716677180,
    ""platform_variant_id"": 40698011942972,
    ""price"": ""58.00"",
    ""product_name"": ""CuddleLane™ Luxe Blankets | Solids* - Toddler Blanket (48\"" x 42\"") / Light Rose"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6899491176508,
    ""platform_variant_id"": 40106578182204,
    ""price"": ""23.00"",
    ""product_name"": ""Personalized Half Moon Wood Announcement | Daisy"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7226036092988,
    ""platform_variant_id"": 40884282228796,
    ""price"": ""14.00"",
    ""product_name"": ""Large Ruffle Knit Bow - Snow"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7226029965372,
    ""platform_variant_id"": 40884246216764,
    ""price"": ""14.00"",
    ""product_name"": ""Large Soft Cable Knit Bow - Berry"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7218352980028,
    ""platform_variant_id"": 40866632040508,
    ""price"": ""36.00"",
    ""product_name"": ""Big Check Waffle Bamboo Zipper Ruffle Footie | Rosy - Newborn"",
    ""quantity"": 1
  }
]",,web,"/collections/zipper-footie-pajamas?filter.p.tag=girl,newborn"
2024-03-23T01:05:26Z,2024-03-17,5252490133564,Twillory,display,LEAD_GEN,6,returning,10.00,shop15,95.12,35.151.84.145,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1",89406,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7219934494780,
    ""platform_variant_id"": 40869573099580,
    ""price"": ""44.00"",
    ""product_name"": ""Long Sleeve Rash Guard With Ruffle Bottom | Disco Daisies - 3-6 months"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7219947700284,
    ""platform_variant_id"": 40869599510588,
    ""price"": ""60.00"",
    ""product_name"": ""Women's Bikini with High Waisted Bottom | Disco Daisies - L"",
    ""quantity"": 1
  }
]",,web,/collections/matching-family-swimsuits?nbt=nb:adwords:x:20958707974::&nb_adtype=&nb_kwd=&nb_ti=&nb_mi=&nb_pc=&nb_pi=&nb_ppi=&nb_placement=&nb_si={sourceid}&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&gad_source=1&gclid=Cj0KCQjw2PSvBhDjARIsAKc2cgO39gohUNbZD-0K2QecBsbLYPi_m9VVR0HrmZXG8fBaTxO7wf1QdDgaAndKEALw_wcB
2024-03-23T00:53:49Z,2024-03-17,5252480368700,Twillory,display,LEAD_GEN,6,new,20.00,,90.51,76.32.12.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",92260,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6961122050108,
    ""platform_variant_id"": 40247401054268,
    ""price"": ""36.00"",
    ""product_name"": ""Eucalyptus Waffle Bamboo Newborn Baby Knot Gown & Hat Set"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6961123262524,
    ""platform_variant_id"": 40247409836092,
    ""price"": ""48.00"",
    ""product_name"": ""Eucalyptus Waffle Bamboo Knit Maternity Robe"",
    ""quantity"": 1
  }
]",,web,/collections/mommy-and-me-hospital-outfits/products/eucalyptus-waffle-bamboo-knit-maternity-robe?utm_source=rakuten&utm_id=nb_platform&ranMID=48141&ranEAID=qsfL1JANoVU&ranSiteID=qsfL1JANoVU-.eTkUesxtt2isCnUVfztZQ
2024-03-23T02:07:59Z,2024-03-17,5252542595132,Twillory,display,DISCOFEED,6,new,20.00,SAVE15,85.72,173.189.142.160,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",30549-8915,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 4726919430204,
    ""platform_variant_id"": 32725005860924,
    ""price"": ""0.98"",
    ""product_name"": ""Package Protection - $0.98"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 1583792979991,
    ""platform_variant_id"": 40395585781820,
    ""price"": ""36.00"",
    ""product_name"": ""Solid Olive Bamboo Baby Knot Gown & Hat - Newborn / 7-14lbs+"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 1546591305751,
    ""platform_variant_id"": 13171600359447,
    ""price"": ""48.00"",
    ""product_name"": ""Solid Olive Bamboo Knit Maternity Robe"",
    ""quantity"": 1
  }
]",,web,/?nbt=nb:adwords:g:14249390527:126551892700:538760517811&nb_adtype=&nb_kwd=caden lane&nb_ti=kwd-336789752524&nb_mi=&nb_pc=&nb_pi=&nb_ppi=&nb_placement=&nb_si={sourceid}&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=e&gad_source=1&gclid=Cj0KCQjw2PSvBhDjARIsAKc2cgNc6x4bznVLG4GLuqFfse1oTz1MunPTnf2UJC_-KrvWNamY-cZegk0aAjk7EALw_wcB
2024-03-23T02:08:32Z,2024-03-17,5252543086652,Twillory,display,LEAD_GEN,6,new,20.00,HELLOWWJDK57B,93.02,71.73.97.224,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",44685,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 4726919430204,
    ""platform_variant_id"": 32725005959228,
    ""price"": ""1.55"",
    ""product_name"": ""Package Protection - $1.55"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7106319417404,
    ""platform_variant_id"": 40577193607228,
    ""price"": ""28.80"",
    ""product_name"": ""Blush Leopard Convertible Zip Romper - 0-3 months"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7122991153212,
    ""platform_variant_id"": 40617311666236,
    ""price"": ""36.00"",
    ""product_name"": ""Berry Happy Convertible Zip Romper - 0-3 months"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7146000744508,
    ""platform_variant_id"": 40681216540732,
    ""price"": ""36.00"",
    ""product_name"": ""Donut Shop Convertible Zip Romper | Pink* - 0-3 months"",
    ""quantity"": 1
  }
]",,web,/?nbt=nb:adwords:g:14249390527:126551892700:627761150156&nb_adtype=&nb_kwd=caden lane&nb_ti=kwd-336789752524&nb_mi=&nb_pc=&nb_pi=&nb_ppi=&nb_placement=&nb_si={sourceid}&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=e&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xeXeMsgUdwyoMFFuJPYvapI9jOn3Vi0V6LA4CWHHJZqso5CWUyTslxoCyQUQAvD_BwE
2024-03-23T13:57:33Z,2024-03-17,5253145690172,Twillory,display,LEAD_GEN,6,new,20.00,,63.55,71.26.44.241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",31324,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 4726919430204,
    ""platform_variant_id"": 32725005860924,
    ""price"": ""0.98"",
    ""product_name"": ""Package Protection - $0.98"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6961122869308,
    ""platform_variant_id"": 40247405543484,
    ""price"": ""14.00"",
    ""product_name"": ""Eucalyptus Waffle Bamboo Knit Large Bow Headwrap"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6961126965308,
    ""platform_variant_id"": 40247440310332,
    ""price"": ""36.00"",
    ""product_name"": ""Eucalyptus Waffle Bamboo Zipper Footie - 3-6 months"",
    ""quantity"": 1
  }
]",,web,/collections/zipper-footie-pajamas/products/eucalyptus-waffle-bamboo-zipper-footie?variant=40247440310332&utm_source=rakuten&utm_id=nb_platform&ranMID=48141&ranEAID=qsfL1JANoVU&ranSiteID=qsfL1JANoVU-0cGUiC36Hoiiuf8FmPwD2g
2024-03-23T13:50:37Z,2024-03-16,5253137760316,Bodily,display,DISCOFEED,7,new,20.00,SAVE20,184.88,71.226.162.191,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",29455,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7239492239420,
    ""platform_variant_id"": 40926761156668,
    ""price"": ""38.00"",
    ""product_name"": ""2pc Waffle Crossover Top & Bottom | Fawn* - Fawn / NB"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 1547052810263,
    ""platform_variant_id"": 13173251997719,
    ""price"": ""30.00"",
    ""product_name"": ""Solid Mauve Bamboo Knit Changing Pad Cover"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 6608974741564,
    ""platform_variant_id"": 39430223003708,
    ""price"": ""36.00"",
    ""product_name"": ""Soft Green Daisy Newborn Baby Knot Gown & Hat*"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7129653444668,
    ""platform_variant_id"": 40635780661308,
    ""price"": ""36.00"",
    ""product_name"": ""Buckaroo Cowgirl Convertible Zip Romper - 3-6 months"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7118439219260,
    ""platform_variant_id"": 40606019715132,
    ""price"": ""36.00"",
    ""product_name"": ""Sunshine Daisy Ruffle Zipper Footie* - Newborn"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7108658954300,
    ""platform_variant_id"": 40583522418748,
    ""price"": ""36.00"",
    ""product_name"": ""Vintage Rose Waffle Bamboo Zipper Ruffle Footie - Newborn"",
    ""quantity"": 1
  }
]",,web,/products/solid-dusty-blue-knit-maternity-robe?utm_source=rakuten&utm_id=nb_platform&ranMID=48141&ranEAID=QFGLnEolOWg&ranSiteID=QFGLnEolOWg-jvWIHHbOAwt6Ornra47Qtw
2024-03-23T13:54:37Z,2024-03-18,5253142315068,Twillory,display,LEAD_GEN,5,returning,10.00,J5CFR9BG,68.35,107.123.49.71,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 Instagram 323.0.3.23.54 (iPhone13,2; iOS 17_3_1; en_US; en; scale=3.00; 1170x2532; 577210397)",15102,"[
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7278667857980,
    ""platform_variant_id"": 41047908057148,
    ""price"": ""28.00"",
    ""product_name"": ""All UPF 50+ Sun Hats* - XS / Blue Seersucker"",
    ""quantity"": 1
  },
  {
    ""discount_amount"": ""0.00"",
    ""platform_product_id"": 7278784643132,
    ""platform_variant_id"": 41048123965500,
    ""price"": ""44.00"",
    ""product_name"": ""Long Sleeve Rash Guard Swim Romper Shortie | All Prints* - 3-6 months / Blue Seersucker"",
    ""quantity"": 1
  }
]",,web,/collections/matching-family-swimsuits?utm_source=ig&utm_medium=Instagram_Stories&utm_campaign=ASC_Swim_2024_VBO&utm_content=☀️Sun'sOut_Swim_onthebeach_20240215 - Copy&nbt=nb:fb:ig:6549426611085:6549426611285:6553604843685&nb_placement=Instagram_Stories&fbclid=PAAaYBQ4Y7NH2LbpvwleVhaevTPRjKJZmLYvZ_7xutGRFt0zjUVUCAWWObyGA_aem_AT_KSJW365rAPamY-Wm9lR_vSqNoHMK9IAqVCOAWyUHSgWlkwhtgaptUWt66sFS7Ry5hUdV6fzYhqvolHWWzIbEs&campaign_id=6549426611285&ad_id=6553605112685&page=1&section_id=template--15132104654908__7e17fa26-b9c2-48ce-88fe-5176e7bd19cc
