ORDER_DATE,WIDGET_TYPE,TARGET,PUBLISHER_NAME,BRAND_NAME,CONV,TOTAL_AD_SPEND
2024-03-07,DISCOFEED,non-target,Bala,12|12,2,20.00
2024-03-08,DISCOFEED,non-target,Gooselings,12|12,1,10.00
2024-03-08,DISCOFEED,non-target,Once Upon a Farm,12|12,1,10.00
2024-03-09,DISCOFEED,non-target,Once Upon a Farm,12|12,1,10.00
2024-03-18,DISCOFEED,non-target,Bodily,12|12,1,10.00
2024-03-30,DISCOFEED,non-target,Hismile,A Kids Co.,1,15.00
2024-03-01,DISCOFEED,non-target,good light,AVEC,1,15.00
2024-02-28,DISCOFEED,non-target,Caraway,Afloral,1,30.00
2024-02-29,DISCOFEED,non-target,Ursa Major,Afloral,1,20.00
2024-03-04,DISCOFEED,non-target,Girlfriend Collective,Afloral,1,30.00
2024-03-04,DISCOFEED,non-target,Bala,Afloral,1,20.00
2024-03-06,DISCOFEED,non-target,GoNanas,Afloral,1,30.00
2024-03-06,DISCOFEED,non-target,ILIA,Afloral,1,20.00
2024-03-07,DISCOFEED,non-target,SeaVees,Afloral,1,20.00
2024-03-09,DISCOFEED,non-target,Giften Market,Afloral,1,20.00
2024-03-10,DISCOFEED,non-target,Lunya,Afloral,1,20.00
2024-03-10,DISCOFEED,non-target,Bear Mattress,Afloral,1,20.00
2024-03-10,DISCOFEED,non-target,Dagne Dover,Afloral,1,20.00
2024-03-10,DISCOFEED,non-target,Electric Picks Jewelry,Afloral,1,20.00
2024-03-11,DISCOFEED,non-target,ILIA,Afloral,1,20.00
2024-03-12,DISCOFEED,non-target,Carve Designs,Afloral,1,20.00
2024-03-13,DISCOFEED,non-target,Bala,Afloral,1,20.00
2024-03-13,DISCOFEED,non-target,Divi,Afloral,1,20.00
2024-03-20,DISCOFEED,non-target,jane iredale,Afloral,1,20.00
2024-03-20,DISCOFEED,non-target,Viori Beauty,Afloral,1,20.00
2024-03-21,DISCOFEED,non-target,Fable Home,Afloral,1,20.00
2024-03-21,DISCOFEED,non-target,Create,Afloral,1,30.00
2024-03-22,DISCOFEED,non-target,Branch,Afloral,1,20.00
