SESSION_ID,EVENT_ID,EVENT_TIMESTAMP,PAGE_URL,PUBLISHER_ORDER_ID,ML_MODEL,WIDGET_TYPE,CONV_ORDER_ID,EVENT_CREATED_AT,CUSTOMER_TYPE,EVENT_CLASSIFICATION,DAYS_TO_ATTRIBUTION,DISCOUNT_CODES,EVENT_ORDER_ID_MATCH,IP_MATCH,USER_AGENT_MATCH
6b17c28f-81ab-4868-8bb4-f37f074cea9f,d2da81dc-5e31-4e0a-ba24-3486d56dccaa,2024-03-17T20:51:43.376Z,https://twillory.com/10424718/orders/eb4c22f3f338f1d09cd5c40ccb7b0a94,,contextual,LEAD_GEN,5252358111292,2024-03-17T20:51:43.376Z,new,display,5,SAVE15,FALSE,FALSE,FALSE
f6c47159-f3eb-4a65-aa95-f8ab5ac67929,c7d9272f-be40-44b9-b97a-c8613cf7afd5,2024-03-16T13:03:05.216Z,https://twillory.com/checkouts/cn/6cde9f288d7c43be2502ff034959c432/thank_you,,contextual,LEAD_GEN,5252299423804,2024-03-16T13:03:05.216Z,new,display,6,SAVE20,FALSE,FALSE,FALSE
f8d00255-359d-41bc-851d-1c65d057f796,ecf96c5c-54a3-4c14-a85e-ccf6b17f4d98,2024-03-17T15:15:25.942Z,https://twillory.com/10424718/orders/2bacf67d2f024d94657b191fbf2dd1ad,,bert4recs1,DISCOFEED,5252537679932,2024-03-17T15:15:25.942Z,new,display,6,,FALSE,FALSE,FALSE
71aec06f-58c1-477c-ae18-0bdc2f530900,27aa8e11-470e-493a-812d-7bc2b2bf96a0,2024-03-17T14:58:18.08Z,https://twillory.com/checkouts/cn/e2858df4455ebed8101b36287479e4f6/thank_you,,contextual,LEAD_GEN,5252559011900,2024-03-17T14:58:18.08Z,new,display,6,,FALSE,FALSE,FALSE
966d9f4f-d34b-485b-861d-8c95899f4c87,2e669e73-9cf4-433f-9e0e-aca539c4cef6,2024-03-17T16:45:43.077Z,https://twillory.com/checkouts/cn/c775f8224bf0daec7f292bcea87f648b/thank_you,,contextual,LEAD_GEN,5252611178556,2024-03-17T16:45:43.077Z,returning,display,6,,FALSE,FALSE,FALSE
1683ef94-f0c2-487c-b6f7-3f714276cce7,51c7cbc9-6672-47b9-a605-758f5a07cb67,2024-03-18T12:19:49.003Z,https://twillory.com/10424718/orders/beac352eec375a737e06e66c9cbe29dd,,contextual,LEAD_GEN,5252568252476,2024-03-18T12:19:49.003Z,new,display,5,BUNNY15,FALSE,FALSE,FALSE
2a56ba5f-5c99-48cc-8c15-297c6f3d4f4d,e2053aa4-5209-4eed-9ae8-0bb618d77ca2,2024-03-17T06:02:08.318Z,https://twillory.com/checkouts/cn/b732407ff29c680386a1b0bdcf6c6481/thank_you,,contextual,LEAD_GEN,5252527652924,2024-03-17T06:02:08.318Z,new,display,6,SAVE15,FALSE,FALSE,FALSE
a9121643-8df7-412e-b72f-e6e794f27815,3b8a6a79-b600-4e99-a7f9-5d68fa6dbf0f,2024-03-18T10:24:12.697Z,https://twillory.com/checkouts/cn/2a9c67b5463c6c42a78cd2d3ad272c53/thank_you,,contextual,LEAD_GEN,5253260542012,2024-03-18T10:24:12.697Z,lapsed,display,5,,FALSE,FALSE,FALSE
fda45201-f09f-48ce-b714-28e583db0db5,94f0e9f7-46ad-4529-88dd-659b5b78e75c,2024-03-18T02:05:33.07Z,https://twillory.com/10424718/orders/54cd215aafd0f9f59471f151c552f7d0,,bert4recs1,DISCOFEED,5253205852220,2024-03-18T02:05:33.07Z,new,display,5,,FALSE,FALSE,FALSE
758e1e44-f72a-4697-8589-4e2e4c389c65,30e6b619-0841-4ce6-8e92-9b3018cc4bc5,2024-03-18T03:51:40.872Z,https://twillory.com/checkouts/cn/586a96a405cd374f827c45ff30aa6619/thank_you,,contextual,LEAD_GEN,5253229379644,2024-03-18T03:51:40.872Z,new,display,5,SAVE15,FALSE,FALSE,FALSE
45d565f0-5e37-4082-bcbb-0cea4ac969c8,c438d7a4-c177-42d9-93c1-8da6b0a96b20,2024-03-18T23:30:26.69Z,https://twillory.com/10424718/orders/5e5e7eb445c7a83bb573a76275c88b75,,contextual,DISCOFEED,5253214273596,2024-03-18T23:30:26.69Z,returning,display,5,YOUNEEDTHIS,FALSE,FALSE,FALSE
59ccde21-2f82-4f07-8f9f-92c48f1a6a01,1c44e1dd-bfce-4894-bad6-ebe1e2ba7093,2024-03-18T02:24:56.559Z,https://twillory.com/checkouts/cn/425c875a8b746668fb9ea22139f87918/thank_you,,bert4recs1,DISCOFEED,5253211684924,2024-03-18T02:24:56.559Z,returning,display,5,SAVE10,FALSE,FALSE,TRUE
573b7b6e-7500-4afa-b844-e8743e0803b5,52b23c2d-9f5b-47a6-bd7f-de766fad2d90,2024-03-20T12:37:00.178Z,https://twillory.com/checkouts/cn/bd71b43601529aef4c59b05aaec6e0d9/thank_you,,contextual,LEAD_GEN,5253773361212,2024-03-20T12:37:00.178Z,returning,display,3,SAVE20,FALSE,FALSE,FALSE
f3aa22ac-8668-4550-8469-585acc0def85,c0bf2ae5-e6d0-4b60-a072-6772540b808b,2024-03-20T14:32:08.55Z,https://twillory.com/10424718/orders/0c67f687fe2d851f350fcdccc6c4cee1,,contextual,LEAD_GEN,5253776998460,2024-03-20T14:32:08.55Z,returning,display,3,SAVE10,FALSE,FALSE,TRUE
d3d52665-b1d4-45e9-aff4-01c15d3ea041,522a7588-95ba-4206-a69e-8b34fc93b7cd,2024-03-20T22:33:54.807Z,https://twillory.com/checkouts/cn/95a978cb972a3edc5a98d36a36f773e4/thank_you,,contextual,LEAD_GEN,5253891063868,2024-03-20T22:33:54.807Z,new,display,4,SAVE10,FALSE,FALSE,FALSE
fadfd240-62ae-4e07-b552-4664eabaa779,23ef8762-638c-4604-aba5-00340835e5eb,2024-03-22T14:16:42.207Z,https://twillory.com/10424718/orders/84708f36c6de4edf787a7f68d907602a,,contextual,LEAD_GEN,5254435536956,2024-03-22T14:16:42.207Z,new,display,2,HELLOSNACK,FALSE,FALSE,FALSE
e0dba99b-0381-422c-899b-e4f93dc0f4e6,0df7ed70-dbbd-4c42-9562-55c9f51c45b1,2024-03-22T13:25:02.052Z,https://twillory.com/checkouts/cn/554f4fda169fd6777df6083ce2360083/thank_you,,contextual,LEAD_GEN,5254461882428,2024-03-22T13:25:02.052Z,new,display,2,,FALSE,FALSE,FALSE
ad52a55e-b478-47f3-a977-79fa0ab46c0e,0d921108-3860-4dc3-b72a-b48ffd4855e6,2024-03-22T23:49:31.882Z,https://twillory.com/checkouts/cn/d3eee087cf8d0c220a3dd493f0c45494/thank_you,,contextual,LEAD_GEN,5254604259388,2024-03-22T23:49:31.882Z,new,display,2,4TF2CFRR,FALSE,FALSE,FALSE
251b49ba-77aa-484b-bdbf-b0725bd75368,d8957bdd-fc62-4ddb-b05a-e914855ea931,2024-03-22T19:39:27.147Z,https://twillory.com/checkouts/cn/4e98e177489e4d5a70c524e9f4b331cb/thank_you,,contextual,LEAD_GEN,5254555500604,2024-03-22T19:39:27.147Z,returning,display,2,SAVE20,FALSE,FALSE,FALSE
c935ad81-6582-4494-a78b-8cdb5ac76f82,e32b692e-8ee9-4d0a-b18b-0a252d0a3390,2024-03-22T13:47:08.305Z,https://twillory.com/10424718/orders/a1c21c5f980b18f98d2c307fc48e960e,,contextual,LEAD_GEN,5254475284540,2024-03-22T13:47:08.305Z,new,display,2,,FALSE,FALSE,FALSE
bfa0ba35-b82d-413a-ace0-eaf687e08b2c,33319026-158c-4e30-9665-0707614e5aa3,2024-03-22T04:27:07.171Z,https://twillory.com/checkouts/cn/18f742d0c9ea5eb2b44820e0744a4b2c/thank_you,,contextual,LEAD_GEN,5254367150140,2024-03-22T04:27:07.171Z,returning,display,2,JENNAM20,FALSE,FALSE,FALSE
93da70b1-4e1f-40ed-9094-5f58ffb476e9,738ff8a8-79b1-4429-a67a-1737ea40674a,2024-03-22T03:48:09.831Z,https://twillory.com/checkouts/cn/32c7bbb9998ceafcfed2e979ca08a11d/thank_you,,bert4recs1,DISCOFEED,5254312493116,2024-03-22T03:48:09.831Z,returning,display,2,,FALSE,FALSE,FALSE
