DATE,NORMALIZED_WIDGET_LOADS,NORMALIZED_CVR,NORMALIZED_TOTAL_AD_SPEND,NORMALIZED_BLENDED_CPA
2024-02-01,0.83,0.85,0.90,1.26
2024-02-02,0.75,0.90,0.94,1.35
2024-02-03,0.71,1.14,1.10,1.32
2024-02-04,0.66,1.12,1.01,1.33
2024-02-05,0.84,0.94,1.01,1.25
2024-02-06,0.86,0.81,0.84,1.19
2024-02-07,0.81,0.81,0.87,1.30
2024-02-08,0.90,0.76,0.79,1.15
2024-02-09,0.85,0.94,1.07,1.31
2024-02-10,0.80,0.96,1.09,1.37
2024-02-11,0.74,1.25,1.22,1.29
2024-02-12,0.89,0.90,0.96,1.15
2024-02-13,0.96,0.90,1.08,1.22
2024-02-14,0.93,0.99,1.07,1.14
2024-02-15,0.91,0.94,1.02,1.15
2024-02-16,1.00,1.17,1.24,1.05
2024-02-17,0.95,1.17,1.18,1.04
2024-02-18,0.87,1.21,1.26,1.17
2024-02-19,1.06,1.10,1.27,1.07
2024-02-20,1.12,0.96,1.12,1.00
2024-02-21,1.07,0.94,0.99,0.96
2024-02-22,1.13,0.87,0.98,0.97
2024-02-23,1.26,0.69,0.77,0.85
2024-02-24,1.13,0.92,1.02,0.96
2024-02-25,0.98,1.01,1.00,0.98
2024-02-26,1.21,0.92,1.08,0.94
2024-02-27,1.24,0.81,0.90,0.86
2024-02-28,1.26,0.90,0.93,0.79
2024-02-29,1.27,1.01,1.08,0.82
2024-03-01,1.15,0.85,0.94,0.92
2024-03-02,1.15,0.99,0.94,0.81
2024-03-03,0.94,0.96,0.90,0.97
2024-03-04,1.15,0.76,0.90,1.01
2024-03-05,1.16,0.78,0.84,0.89
2024-03-06,1.13,0.74,0.76,0.88
2024-03-07,1.14,0.99,1.00,0.86
2024-03-08,1.11,1.19,1.06,0.79
2024-03-09,1.06,1.10,0.99,0.83
2024-03-10,0.90,1.30,1.01,0.84
2024-03-11,1.08,1.10,1.04,0.85
2024-03-12,1.06,1.01,1.02,0.93
2024-03-13,1.10,1.01,1.03,0.90
2024-03-14,1.14,1.10,1.08,0.85
2024-03-15,1.13,1.28,1.25,0.85
2024-03-16,0.99,1.30,1.20,0.91
2024-03-17,0.92,1.37,1.21,0.94
2024-03-18,1.12,1.19,1.21,0.89
2024-03-19,1.08,1.03,0.90,0.80
2024-03-20,1.08,1.01,0.93,0.84
2024-03-21,1.02,1.05,0.95,0.86
2024-03-22,0.99,1.23,1.05,0.84
2024-03-23,0.94,1.32,1.24,0.97
2024-03-24,0.84,1.39,1.21,1.00
2024-03-25,1.00,0.92,0.87,0.91
2024-03-26,1.06,0.78,0.81,0.94
2024-03-27,1.00,0.85,0.83,0.95
2024-03-28,1.00,0.99,0.88,0.87
2024-03-29,0.97,0.87,0.84,0.96
2024-03-30,0.86,0.90,0.77,0.98
2024-03-31,0.73,0.99,0.75,1.00
2024-04-01,1.00,0.87,0.88,0.98
2024-04-02,1.01,0.92,0.93,0.97
