PUBLISHER,BRAND_NAME,DISPLAY_CUSTOMER_TYPE,DISTINCT_MERCHANTS_AT_LOAD_TIME,ML_MODEL,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR
Laura Geller,Dr. Squatch,returning_customer,4,bert4recs1,156,7,$7.00,$0.0449,4.4872%
Laura Geller,Caden Lane,returning_customer,4,bert4recs1,156,6,$120.00,$0.7692,3.8462%
Laura Geller,Sol de Janeiro,returning_customer,1,boost5,368,14,$140.00,$0.3804,3.8043%
Laura Geller,Kopari,returning_customer,3,boost5,128,4,$120.00,$0.9375,3.1250%
Laura Geller,Dollar Shave Club,returning_customer,4,bert4recs1,112,3,$15.00,$0.1339,2.6786%
Laura Geller,Glamnetic,returning_customer,3,boost5,122,3,$30.00,$0.2459,2.4590%
Laura Geller,Sol de Janeiro,lapsed_customer,7,boost5,169,4,$70.00,$0.4142,2.3669%
Laura Geller,Sol de Janeiro,returning_customer,4,boost5,511,12,$120.00,$0.2348,2.3483%
Laura Geller,Caden Lane,returning_customer,2,bert4recs1,293,6,$120.00,$0.4096,2.0478%
Laura Geller,Sol de Janeiro,returning_customer,5,boost5,293,6,$60.00,$0.2048,2.0478%
Laura Geller,Dr. Squatch,returning_customer,5,bert4recs1,100,2,$2.00,$0.0200,2.0000%
Laura Geller,Dr. Squatch,returning_customer,3,bert4recs1,310,6,$6.00,$0.0194,1.9355%
Laura Geller,SPONGELLE,lapsed_customer,2,bert4recs1,104,2,$30.00,$0.2885,1.9231%
Laura Geller,Sol de Janeiro,returning_customer,3,boost5,1055,20,$200.00,$0.1896,1.8957%
Laura Geller,Sol de Janeiro,returning_customer,2,boost5,1510,26,$270.00,$0.1788,1.7219%
Laura Geller,Sol de Janeiro,lapsed_customer,6,boost5,179,3,$30.00,$0.1676,1.6760%
Dollar Shave Club,Lunya,new_customer,1,boost5,26413,0,$0.00,$0.0000,0.0000%
Dr. Squatch,GRIP6,new_customer,3,boost5,151,2,$50.00,$0.3311,1.3245%
Dollar Shave Club,True Classic,new_customer,1,boost5,25141,5,$225.00,$0.0089,0.0199%
Sol de Janeiro,Glamnetic,returning_customer,2,boost5,105,2,$20.00,$0.1905,1.9048%
Tubby Todd Bath Co.,Caden Lane,returning_customer,1,boost5,380,15,$300.00,$0.7895,3.9474%
Laura Geller,Caden Lane,lapsed_customer,1,bert4recs1,185,3,$96.00,$0.5189,1.6216%
Sol de Janeiro,BlendJet,new_customer,3,boost5,106,2,$15.00,$0.1415,1.8868%
Laura Geller,SPONGELLE,lapsed_customer,4,boost5,185,3,$55.00,$0.2973,1.6216%
Dr. Squatch,True Classic,new_customer,5,bert4recs1,218,1,$45.00,$0.2064,0.4587%
Dollar Shave Club,M.M.LaFleur,new_customer,1,boost5,18898,0,$0.00,$0.0000,0.0000%
Laura Geller,Kopari,lapsed_customer,3,boost5,193,3,$90.00,$0.4663,1.5544%
Dr. Squatch,True Classic,new_customer,3,bert4recs1,1152,4,$180.00,$0.1563,0.3472%
Laura Geller,SPONGELLE,lapsed_customer,5,boost5,134,2,$35.00,$0.2612,1.4925%
Laura Geller,Caden Lane,returning_customer,2,boost5,136,2,$40.00,$0.2941,1.4706%
Laura Geller,Caden Lane,lapsed_customer,3,bert4recs1,206,3,$60.00,$0.2913,1.4563%
Laura Geller,Caden Lane,returning_customer,3,bert4recs1,207,3,$60.00,$0.2899,1.4493%
Dr. Squatch,True Classic,new_customer,5,boost5,313,1,$45.00,$0.1438,0.3195%
Tubby Todd Bath Co.,Caden Lane,new_customer,12,bert4recs1,124,3,$72.00,$0.5806,2.4194%
Sol de Janeiro,Dollar Shave Club,returning_customer,2,boost5,100,1,$5.00,$0.0500,1.0000%
BlendJet,Laura Geller,new_customer,1,boost5,14467,8,$120.00,$0.0083,0.0553%
Dollar Shave Club,True Classic,new_customer,1,bert4recs1,14022,7,$315.00,$0.0225,0.0499%
Laura Geller,Glamnetic,new_customer,6,boost5,151,2,$60.00,$0.3974,1.3245%
Dollar Shave Club,Laura Geller,new_customer,1,bert4recs1,13061,1,$15.00,$0.0011,0.0077%
Dr. Squatch,True Classic,new_customer,2,bert4recs1,3550,9,$405.00,$0.1141,0.2535%
Laura Geller,Kopari,returning_customer,4,boost5,154,2,$60.00,$0.3896,1.2987%
Dr. Squatch,MAXPRO Fitness,new_customer,2,boost5,446,1,$120.00,$0.2691,0.2242%
Tubby Todd Bath Co.,Caden Lane,returning_customer,12,boost5,112,2,$40.00,$0.3571,1.7857%
Laura Geller,Sol de Janeiro,lapsed_customer,5,boost5,391,5,$60.00,$0.1535,1.2788%
Laura Geller,Sol de Janeiro,lapsed_customer,2,boost5,1533,18,$230.00,$0.1500,1.1742%
Laura Geller,Kopari,lapsed_customer,4,boost5,172,2,$60.00,$0.3488,1.1628%
Tubby Todd Bath Co.,Caden Lane,new_customer,2,boost5,11938,9,$276.00,$0.0231,0.0754%
Laura Geller,Sol de Janeiro,lapsed_customer,4,boost5,706,8,$110.00,$0.1558,1.1331%
BlendJet,True Classic,new_customer,1,boost5,11395,2,$90.00,$0.0079,0.0176%
Laura Geller,SPONGELLE,returning_customer,3,boost5,182,2,$30.00,$0.1648,1.0989%
Dollar Shave Club,Liquid I.V.,new_customer,1,bert4recs1,10751,0,$0.00,$0.0000,0.0000%
Dr. Squatch,True Classic,new_customer,2,boost5,7578,11,$495.00,$0.0653,0.1452%
Laura Geller,SPONGELLE,lapsed_customer,2,boost5,374,4,$60.00,$0.1604,1.0695%
Tubby Todd Bath Co.,Caden Lane,lapsed_customer,1,boost5,387,3,$72.00,$0.1860,0.7752%
Dr. Squatch,Liquid I.V.,new_customer,3,bert4recs1,1040,1,$35.00,$0.0337,0.0962%
Tubby Todd Bath Co.,Caden Lane,returning_customer,1,bert4recs1,149,1,$20.00,$0.1342,0.6711%
Sol de Janeiro,Laura Geller,new_customer,5,boost5,890,8,$120.00,$0.1348,0.8989%
Sol de Janeiro,Tower 28 Beauty,new_customer,4,boost5,133,1,$15.00,$0.1128,0.7519%
Tubby Todd Bath Co.,Caden Lane,lapsed_customer,1,bert4recs1,335,1,$32.00,$0.0955,0.2985%
Dollar Shave Club,Tini Lux,new_customer,0,,9060,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Posh Peanut,new_customer,1,boost5,379,1,$35.00,$0.0923,0.2639%
Tubby Todd Bath Co.,Caden Lane,new_customer,1,lookalike,529,1,$32.00,$0.0605,0.1890%
Laura Geller,Kopari,lapsed_customer,2,boost5,195,2,$70.00,$0.3590,1.0256%
Laura Geller,Dropps,lapsed_customer,4,boost5,100,1,$5.00,$0.0500,1.0000%
Sol de Janeiro,Liquid I.V.,new_customer,6,bert4recs1,133,1,$35.00,$0.2632,0.7519%
Tubby Todd Bath Co.,Caden Lane,new_customer,2,bert4recs1,8270,8,$256.00,$0.0310,0.0967%
Sol de Janeiro,Glamnetic,new_customer,4,bert4recs1,134,1,$30.00,$0.2239,0.7463%
Sol de Janeiro,Laura Geller,new_customer,3,contextual,137,1,$15.00,$0.1095,0.7299%
