PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,NEW_CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR
Moonglow,Caden Lane,,,2564,1,1,32.00,12.48049922,0.000390
Mario Badescu Skin Care,Laura Geller,,,8284,11,11,165.00,19.91791405,0.001328
Vegamour,Laura Geller,,,12877,17,17,255.00,19.80274909,0.001320
Andie,Kosas Cosmetics,,,637,4,1,85.00,133.43799058,0.006279
Andie,True Classic,45.00000000,0.00000000,385,0,0,0.00,0.00000000,0.000000
Tushbaby,Laura Geller,,,312,0,0,0.00,0.00000000,0.000000
Spyder,Moonglow,,,2172,0,0,0.00,0.00000000,0.000000
Beginning Boutique,Tower 28 Beauty,,,1212,4,2,40.00,33.00330033,0.003300
The CrunchCup,True Classic,45.00000000,0.00000000,1384,0,0,0.00,0.00000000,0.000000
For Days,Glamnetic,,,1993,9,1,110.00,55.19317612,0.004516
Little Words Project,Dollar Shave Club,30.00000000,0.00000000,141,0,0,0.00,0.00000000,0.000000
Amberjack,Dollar Shave Club,30.00000000,0.00000000,1390,0,0,0.00,0.00000000,0.000000
Dr. Squatch,NOMAD Grills,,,14363,2,0,300.00,20.88700132,0.000139
Beyond Polish,Girlfriend Collective,,,380,0,0,0.00,0.00000000,0.000000
HATCH,Lalo,,,1262,7,2,90.00,71.31537242,0.005547
True Botanicals,Gibsonlook,,,1024,0,0,0.00,0.00000000,0.000000
Buffbunny Collection,Dollar Shave Club,30.00000000,0.00000000,776,1,0,5.00,6.44329897,0.001289
Raskol Apparel,Bala,,,989,0,0,0.00,0.00000000,0.000000
Dame,Golde,,,314,0,0,0.00,0.00000000,0.000000
Primally Pure,M.M.LaFleur,,,2811,0,0,0.00,0.00000000,0.000000
Softies,MANSCAPED,,,362,0,0,0.00,0.00000000,0.000000
woolino,Dagne Dover,,,1522,4,4,120.00,78.84362681,0.002628
Dagne Dover,ARMRA Colostrum™,,,217,0,0,0.00,0.00000000,0.000000
Caraway,Snuggle Me Organic,,,196,0,0,0.00,0.00000000,0.000000
Faherty Brand,esmi Skin Minerals,,,1089,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Bad Birdie,,,400,0,0,0.00,0.00000000,0.000000
Caden Lane,Dagne Dover,,,2554,8,4,200.00,78.30853563,0.003132
MAXPRO Fitness,MANSCAPED,,,1955,2,1,0.02,0.01023018,0.001023
Sol de Janeiro,Caden Lane,,,13683,7,3,176.00,12.86267631,0.000512
M.M.LaFleur,OUAI,,,578,1,1,30.00,51.90311419,0.001730
For Days,SeaVees,10.00000000,10.00000000,128,0,0,0.00,0.00000000,0.000000
Kopari,Foria,,,550,1,0,16.00,29.09090909,0.001818
