Publisher,Advertiser,Rank
Laura Geller,Mario Badescu Skin Care,1
Laura Geller,LIVELY,2
Laura Geller,Love in Faith,3
Laura Geller,Ancient Nutrition,4
Laura Geller,Sol de Janeiro,5
Laura Geller,Vegamour,6
Laura Geller,Spongelle,7
Laura Geller,Kindra,8
Laura Geller,Dagne Dover,9
Laura Geller,Solawave,10
Sol de Janeiro,LIVELY,1
Sol de Janeiro,Laura Geller,2
Sol de Janeiro,Oradina,3
Sol de Janeiro,Liquid I.V.,4
Sol de Janeiro,Glamnetic,5
Sol de Janeiro,BlendJet,6
Sol de Janeiro,Tower 28,7
Sol de Janeiro,Dagne Dover,8
Sol de Janeiro,Solawave,9
Love in Faith,Laura Geller,1
Love in Faith,Liquid I.V.,2
Love in Faith,Dollar Shave Club,3
Love in Faith,BlendJet,4
Love in Faith,Glamnetic,5
Love in Faith,Kopari,6
Love in Faith,Monica and Andy,7
Love in Faith,Molekule,8
Caden Lane,Tubby Todd Bath Co.,1
Caden Lane,Lalo,2
Caden Lane,Mario Badescu Skin Care,3
Caden Lane,Beekman 1802,4
Caden Lane,Coterie,5
Caden Lane,Gathre,6
Caden Lane,Bodily,7
Caden Lane,Nanit,8
Caden Lane,Willow Pumps,9
Caden Lane,Solly Baby,10
Dr. Squatch,True Classic,1
Dr. Squatch,Twillory,2
Dr. Squatch,Amberjack,3
Dr. Squatch,Volcom,4
Dr. Squatch,Bad Birdie,5
