PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND
Olive & June,Laura Geller,843,15,0,97,1110.00
Faherty Brand,Wolf & Shepherd,12854,50,15,28,960.00
Faherty Brand,Amberjack,6136,60,30,16,840.00
ARMRA Colostrum™,Laura Geller,12669,15,0,62,795.00
Gathre,Caden Lane,3694,32,20,30,748.00
Bodily,Nanit,1680,50,25,18,600.00
Halfdays,Dagne Dover,7477,30,20,20,530.00
Electric Picks Jewelry,Divi,1127,50,0,9,450.00
Primally Pure,ARMRA Colostrum™,2371,50,0,15,450.00
Spärkel Beverage Systems,NOMAD Grills,170,270,150,2,420.00
Posh Peanut,Lalo,877,20,10,23,330.00
Laura Geller,Caraway,13173,70,40,5,290.00
Tubby Todd Bath Co.,Solly Baby,7522,18,12,18,282.00
Amberjack,Twillory,6731,15,5,25,270.00
Tubby Todd Bath Co.,Tula Skincare,13214,50,0,9,250.00
Dropps,Laura Geller,4706,15,0,21,240.00
Lovevery,Monica & Andy Inc.,640,45,10,9,230.00
Primally Pure,Avocado Green Mattress,59,65,45,4,220.00
Beyond Polish,Vegamour,6288,50,4,6,215.00
Newton Baby,Snuggle Me Organic,6795,20,10,11,210.00
Laura Geller,Ursa Major,14181,30,4,11,209.94
Dagne Dover,M.M.LaFleur,1619,150,50,2,200.00
Rains,D.S. & Durga,1231,40,40,5,200.00
woolino,HATCH,1244,40,10,9,180.00
Gathre,Dagne Dover,1006,30,20,7,180.00
Thorlos,True Classic,4088,45,0,5,180.00
Oradina,Laura Geller,3408,15,0,13,165.00
Girlfriend Collective,Vegamour,2529,50,5,5,160.00
Giften Market,M.M.LaFleur,555,150,50,1,150.00
ARMRA Colostrum™,Divi,727,50,0,4,150.00
iota,Laura Geller,1434,15,0,12,150.00
Curie,ARMRA Colostrum™,674,50,0,6,150.00
Gathre,Nanit,686,50,25,5,150.00
Dagne Dover,ARMRA Colostrum™,249,50,0,3,150.00
Spyder,Dr. Squatch,3998,25,1,6,127.00
ARMRA Colostrum™,Amberjack,44,60,30,2,120.00
Dagne Dover,Gathre,757,20,20,6,120.00
Sol de Janeiro,Caden Lane,314,32,20,4,116.00
Vegamour,Caden Lane,71,32,20,5,112.00
Laura Geller,Curie,6915,10,5,18,110.00
Molekule,Vegamour,577,50,5,3,105.00
Tubby Todd Bath Co.,Liquid I.V.,23140,35,0,15,105.00
Tubby Todd Bath Co.,Caden Lane,128340,32,20,371,9268.00
Laura Geller,Tula Skincare,283109,50,0,51,1550.00
Amberjack,True Classic,8910,45,0,25,855.00
Faherty Brand,Laura Geller,16096,15,0,45,525.00
Laura Geller,Dr. Squatch,256469,25,1,54,518.00
Divi,Caden Lane,4829,32,20,19,496.00
woolino,Bodily,3843,35,12,14,489.00
Dagne Dover,Laura Geller,16980,15,0,42,450.00
LIVELY,Laura Geller,6938,15,0,22,255.00
Kosas Cosmetics,Glamnetic,7398,30,10,11,250.00
Laura Geller,Blueland,13255,33,0,9,231.00
Solly Baby,HATCH,1825,40,10,10,230.00
Lalabu,Caden Lane,1577,32,20,7,224.00
Dr. Squatch,Liquid I.V.,44015,35,0,13,210.00
Newton Baby,Bodily,937,35,12,12,202.00
Nanit,Lalo,326,20,10,13,200.00
Dirty Labs,M.M.LaFleur,652,150,50,2,200.00
Faherty Brand,Oars + Alps,2599,55,14,5,196.00
Little Words Project,Laura Geller,142,15,0,18,195.00
Bodily,Dagne Dover,3437,30,20,9,190.00
Afloral,Caraway,1638,70,40,4,190.00
Snuggle Me Organic,HATCH,1589,40,10,10,190.00
Coterie,Monica & Andy Inc.,1374,45,10,7,175.00
Dagne Dover,Vegamour,7182,50,5,5,160.00
Afloral,Sijo,76,80,40,2,160.00
Licorice,Dr. Squatch,14016,25,0,21,158.00
Tubby Todd Bath Co.,Avocado Green Mattress,26,65,45,3,155.00
Tower 28 Beauty,Lunya,3755,150,75,2,150.00
Gathre,Lunya,80,150,75,1,150.00
SolaWave,Lunya,1095,150,75,2,150.00
Create,Vegamour,900,50,3,3,150.00
Giften Market,Caraway,356,70,40,2,140.00
Ritual Zero Proof,Liquid I.V.,5622,35,0,5,140.00
Create,Dr. Squatch,2740,25,1,12,131.00
HATCH,LIVELY,93,35,20,4,125.00
Moonglow,Caden Lane,107,32,20,5,124.00
Bodily,Coterie,804,17,0,8,115.50
Liquid I.V.,Bad Birdie,501,50,5,3,110.00
Nood,Vegamour,1686,50,5,4,110.00
jane iredale,Liquid I.V.,2901,35,0,4,105.00
Newton Baby,Caden Lane,14495,32,20,118,3228.00
Tubby Todd Bath Co.,Bodily,9622,35,12,70,1289.00
Willow Pumps,Caden Lane,423,32,20,47,1288.00
Laura Geller,M.M.LaFleur,156892,150,50,9,850.00
Dollar Shave Club,Laura Geller,1951,15,0,76,780.00
Coterie,Bodily,4213,35,12,37,744.00
Coterie,Nanit,5356,50,25,16,625.00
jane iredale,M.M.LaFleur,4342,150,50,4,600.00
Solly Baby,Dagne Dover,4948,30,20,18,490.00
Bodily,Snuggle Me Organic,3656,20,10,22,400.00
Tubby Todd Bath Co.,Posh Peanut,7014,31,0,17,395.00
Primally Pure,Caraway,4460,70,40,7,380.00
ARMRA Colostrum™,Lunya,2675,150,75,13,375.00
Ancient Nutrition,Laura Geller,13173,15,0,33,360.00
SPONGELLE,Laura Geller,89,15,0,22,300.00
Liquid I.V.,Sol de Janeiro,15128,20,10,39,250.00
Laura Geller,Oradina,2300,125,20,6,245.00
Caraway,Caden Lane,68,32,20,10,244.00
Laura Geller,Lunya,163822,150,75,20,225.00
Motherhood,Caden Lane,942,32,20,7,224.00
Sol de Janeiro,LIVELY,130,35,20,8,220.00
Nood,Laura Geller,8951,15,0,19,210.00
Bodily,Tubby Todd Bath Co.,3192,12,3,37,182.00
Dr. Squatch,GRIP6,14468,25,25,7,175.00
Foria,Lunya,3058,150,75,2,150.00
Create,Wolf & Shepherd,478,50,15,3,150.00
Once Upon a Farm,Nanit,1470,50,25,4,150.00
Sijo,Laura Geller,55,15,0,11,150.00
Dagne Dover,Liquid I.V.,14069,35,0,9,140.00
Newton Baby,Tubby Todd Bath Co.,4263,13,4,15,123.00
Lovevery,Willow Pumps,326,60,0,2,120.00
Mario Badescu Skin Care,Sol de Janeiro,3539,20,10,17,110.00
Beginning Boutique,Vegamour,16055,50,5,3,105.00
Tubby Todd Bath Co.,Nanit,9162,50,25,42,1425.00
Newton Baby,Nanit,3639,50,25,25,975.00
Primally Pure,Caden Lane,12994,32,20,23,580.00
Tubby Todd Bath Co.,Divi,3752,50,0,13,550.00
Liquid I.V.,Caden Lane,5390,32,20,15,384.00
Mario Badescu Skin Care,Laura Geller,10242,15,0,27,345.00
Solly Baby,Gathre,2492,20,20,12,260.00
Bodily,Solly Baby,1434,18,12,15,216.00
Primally Pure,Electric Picks Jewelry,680,30,15,11,210.00
Laura Geller,Afloral,5455,30,20,8,190.00
Dirty Labs,Year & Day,219,129,60,1,189.00
Tubby Todd Bath Co.,Gathre,2806,20,20,9,180.00
Blueland,True Classic,7316,45,0,6,180.00
Tubby Todd Bath Co.,Storq,739,30,20,7,160.00
HATCH,Lalo,243,20,10,9,140.00
Halfdays,Caraway,200,70,40,2,140.00
FullWell,Caden Lane,1974,32,20,5,136.00
Pretzels.com,True Classic,4473,45,0,7,135.00
Curie,Laura Geller,3114,15,0,14,135.00
Kosas Cosmetics,Dagne Dover,3078,30,20,5,130.00
Dr. Squatch,MAXPRO Fitness,1716,120,10,1,120.00
Dagne Dover,Year & Day,36,129,60,1,120.00
SeaVees,D.S. & Durga,15,40,40,3,120.00
jane iredale,Dagne Dover,425,30,20,5,110.00
Faherty Brand,HATCH,680,40,10,5,110.00
Once Upon a Farm,Bodily,1012,35,12,4,106.00
jane iredale,Caden Lane,4399,32,20,4,104.00
Sol de Janeiro,Buffbunny Collection,9,12,4,21,104.00
INTO THE AM,Dr. Squatch,5683,25,0,7,101.00
Sol de Janeiro,Laura Geller,1768,15,0,205,2475.00
Bobbie,Caden Lane,442,32,20,40,1024.00
Little Words Project,Caden Lane,280,32,20,32,792.00
Tubby Todd Bath Co.,Snuggle Me Organic,59698,20,10,36,610.00
Once Upon a Farm,Caden Lane,4932,32,20,21,492.00
ARMRA Colostrum™,Caden Lane,3030,32,20,17,436.00
Snuggle Me Organic,Bodily,3836,35,12,19,436.00
Tubby Todd Bath Co.,Dagne Dover,7778,30,20,16,380.00
ByHeart,Caden Lane,4928,32,20,13,344.00
Serenity Kids,Tushbaby,548,18,5,25,338.00
Baby Tula,Caden Lane,91,32,20,12,336.00
Needed,Caden Lane,163,32,20,10,260.00
Snuggle Me Organic,Tubby Todd Bath Co.,3780,12,3,33,220.00
Crown Affair,Dagne Dover,2733,30,20,7,220.00
Kosas Cosmetics,ARMRA Colostrum™,3853,50,0,5,200.00
Laura Geller,MantraBand,1637,35,10,7,195.00
Primally Pure,Glamnetic,516,30,10,11,190.00
Sol de Janeiro,Little Words Project,77,15,10,16,180.00
Nood,True Classic,7653,45,0,8,180.00
Houseplant,Character Home,241,150,50,1,150.00
Halfdays,Laura Geller,3387,15,0,12,150.00
Beekman 1802,M.M.LaFleur,3758,150,50,1,150.00
Le Mini Macaron,M.M.LaFleur,507,150,50,1,150.00
Dirty Labs,Character Home,339,150,50,1,150.00
Liquid I.V.,Morphe,1490,45,25,4,140.00
Branch,True Classic,1980,45,0,3,135.00
Tubby Todd Bath Co.,Tushbaby,8148,18,5,11,133.00
Halfdays,Kosas Cosmetics,3867,25,15,6,130.00
Rains,Luca Faloni,354,100,25,2,125.00
Dropps,Oradina,35,125,20,1,125.00
Halfdays,D.S. & Durga,818,40,40,3,120.00
Amberjack,Toad&Co,152,45,30,2,120.00
Tubby Todd Bath Co.,Newton Baby,44974,3,0,48,120.00
Spyder,Laura Geller,9382,15,0,12,120.00
ARMRA Colostrum™,Buffbunny Collection,179,12,4,19,116.00
Once Upon a Farm,Evereden,349,35,15,5,115.00
Olive & June,Caden Lane,168,32,20,4,112.00
Dagne Dover,Caraway,2467,70,40,2,110.00
GRIP6,Dr. Squatch,2795,25,1,11,107.00
jot,Laura Geller,1791,15,0,9,105.00
Bodily,Caden Lane,10368,32,20,125,3396.00
iota,NOMAD Grills,194,270,150,12,3000.00
Liquid I.V.,Vegamour,5176,50,2,55,1340.00
Laura Geller,Caden Lane,169828,32,20,47,1288.00
Dagne Dover,Caden Lane,11436,32,20,47,1236.00
