PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM
Caden Lane,Laura Geller,26984,15,0,46,495.00,18.34420000
Caden Lane,Bodily,19856,35,12,438,12326.00,620.76954000
Caden Lane,Tubby Todd Bath Co.,17857,14,6,687,3173.00,177.68942000
Caden Lane,Little Words Project,16129,15,10,402,5500.00,341.00068000
Caden Lane,Liquid I.V.,13529,35,0,64,1575.00,116.41659000
Caden Lane,True Classic,13313,45,0,10,360.00,27.04124000
Caden Lane,Willow Pumps,10513,73,0,186,11880.00,1130.02949000
Caden Lane,Coterie,9361,17,0,161,1716.00,183.31375000
Caden Lane,Newton Baby,7160,3,0,81,222.00,31.00559000
Caden Lane,UNTUCKit,7028,,,0,0.00,
Caden Lane,MANSCAPED,6099,0,0,1,0.01,0.00164000
Caden Lane,Afloral,3620,30,20,1,20.00,5.52486000
Caden Lane,Dr. Squatch,3468,25,1,1,1.00,0.28835000
Caden Lane,Beyond Polish,3467,8,0,6,40.00,11.53735000
Caden Lane,"Dermaclara, LLC",3436,15,10,34,435.00,126.60070000
Caden Lane,Sol de Janeiro,3385,20,10,6,10.00,2.95421000
Caden Lane,120/Life,3313,,,0,0.00,
Caden Lane,Love Your Melon,3211,30,19,4,98.80,30.76923000
Caden Lane,Once Upon a Farm,3062,40,0,20,560.00,182.88700000
Caden Lane,Solly Baby,3001,18,12,12,216.00,71.97601000
Caden Lane,Lalo,2944,20,10,234,4180.00,1419.83696000
Caden Lane,AAVRANI,2830,,,0,0.00,
Caden Lane,Morphe,2706,45,25,27,1095.00,404.65632000
Caden Lane,biom,2415,30,15,6,105.00,43.47826000
Caden Lane,Dollar Shave Club,2121,30,5,5,50.00,23.57379000
Caden Lane,Viori Beauty,2056,15,8,4,46.00,22.37354000
Caden Lane,Beekman 1802,2031,35,10,35,575.00,283.11177000
Caden Lane,Nanit,1941,50,25,16,750.00,386.39876000
Caden Lane,NOT!CE Hair Co,1751,40,10,3,60.00,34.26613000
Caden Lane,Tula Skincare,1688,50,0,21,650.00,385.07109000
Caden Lane,Mario Badescu Skin Care,1674,14,5,9,76.00,45.40024000
Caden Lane,SPONGELLE,1614,20,15,43,750.00,464.68401000
Caden Lane,Lalabu,1574,7,4,26,181.00,114.99365000
Caden Lane,Serenity Kids,1452,30,15,32,390.00,268.59504000
Caden Lane,A Kids Co.,1415,15,10,1,15.00,10.60071000
Caden Lane,Airo Collective,1331,,,0,0.00,
Caden Lane,QALO,1285,7,4,2,14.20,11.05058000
Caden Lane,ILIA,1279,20,20,5,100.00,78.18608000
Caden Lane,TriLASTIN,1230,40,10,9,130.00,105.69106000
Caden Lane,Airsign,1210,,,0,0.00,
Caden Lane,The CrunchCup,1106,9,5,3,36.00,32.54973000
Caden Lane,Ancient Nutrition,1093,25,5,1,5.00,4.57457000
Caden Lane,Electric Picks Jewelry,1063,30,15,1,15.00,14.11101000
Caden Lane,Le Mini Macaron,1013,25,20,2,75.00,74.03751000
Caden Lane,Gathre,975,20,20,3,60.00,61.53846000
Caden Lane,Homesick Candles,958,,,0,0.00,
Caden Lane,Alpyn Beauty,867,,,0,0.00,
Caden Lane,Moby Wrap,857,8,6,7,56.00,65.34422000
Caden Lane,Alkavida,857,,,0,0.00,
Caden Lane,Ursa Major,796,39,19,18,419.98,527.61307000
Caden Lane,Wolf & Shepherd,788,50,15,18,585.00,742.38579000
Caden Lane,Dropps,770,25,4,4,15.00,19.48052000
Caden Lane,jane iredale,765,20,5,40,245.00,320.26144000
Caden Lane,For Days,694,30,15,6,120.00,172.91066000
Caden Lane,ByHeart,691,30,16,13,290.00,419.68162000
Caden Lane,BlendJet,632,10,5,7,55.00,87.02532000
Caden Lane,Cali's Books,621,15,8,10,108.00,173.91304000
Caden Lane,Altitude Functional Beverages,619,,,0,0.00,
Caden Lane,Yana Sleep,601,38,25,1,38.00,63.22795000
Caden Lane,Ami Colé,594,,,0,0.00,
Caden Lane,Wondery,584,,,0,0.00,
Caden Lane,Natalist Co.,582,,,0,0.00,
Caden Lane,Birthdate Co.,559,50,10,3,70.00,125.22361000
Caden Lane,Posh Peanut,537,20,0,3,40.00,74.48790000
Caden Lane,Amberjack,531,,,0,0.00,
Caden Lane,Opopop,518,25,0,15,300.00,579.15058000
Caden Lane,Carve Designs,517,60,10,7,170.00,328.82012000
Caden Lane,Snuggle Me Organic,484,,,0,0.00,
Caden Lane,Beginning Boutique,484,,,0,0.00,
Caden Lane,Dirty Labs,444,20,1,12,51.00,114.86486000
Caden Lane,jot,436,35,0,2,35.00,80.27523000
Caden Lane,California Arts,425,,,0,0.00,
Caden Lane,Aura Bora,412,,,0,0.00,
Caden Lane,Anyday,385,33,33,1,33.00,85.71429000
Caden Lane,eyebobs,380,25,0,2,25.00,65.78947000
