PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM
Caden Lane,Laura Geller,26984,15,0,42,450.00,16.67655000
Caden Lane,Bodily,19856,35,12,61,1596.00,80.37873000
Caden Lane,Tubby Todd Bath Co.,17857,10,0,128,1020.00,57.12046000
Caden Lane,Little Words Project,16129,15,10,18,225.00,13.95003000
Caden Lane,Liquid I.V.,13529,35,0,10,245.00,18.10925000
Caden Lane,True Classic,13313,45,0,10,315.00,23.66108000
Caden Lane,Willow Pumps,10513,40,0,12,440.00,41.85294000
Caden Lane,Coterie,9361,17,0,28,396.00,42.30317000
Caden Lane,Newton Baby,7160,3,0,10,24.00,3.35196000
Caden Lane,UNTUCKit,7028,,,0,0.00,
Caden Lane,MANSCAPED,6099,0,0,1,0.01,0.00164000
Caden Lane,Afloral,3620,30,20,1,20.00,5.52486000
Caden Lane,Dr. Squatch,3468,25,1,2,26.00,7.49712000
Caden Lane,Beyond Polish,3467,8,0,1,8.00,2.30747000
Caden Lane,"Dermaclara, LLC",3436,15,10,3,45.00,13.09662000
Caden Lane,Sol de Janeiro,3385,20,10,6,10.00,2.95421000
Caden Lane,120/Life,3313,,,0,0.00,
Caden Lane,Love Your Melon,3211,30,19,3,79.80,24.85207000
Caden Lane,Once Upon a Farm,3062,40,0,3,120.00,39.19007000
Caden Lane,Solly Baby,3001,18,12,6,108.00,35.98800000
Caden Lane,Lalo,2944,20,10,5,80.00,27.17391000
Caden Lane,AAVRANI,2830,,,0,0.00,
Caden Lane,Morphe,2706,,,0,0.00,
Caden Lane,biom,2415,,,0,0.00,
Caden Lane,Dollar Shave Club,2121,30,5,5,50.00,23.57379000
Caden Lane,Viori Beauty,2056,15,8,3,31.00,15.07782000
Caden Lane,Beekman 1802,2031,35,10,1,10.00,4.92368000
Caden Lane,Nanit,1941,50,25,9,425.00,218.95930000
Caden Lane,NOT!CE Hair Co,1751,,,0,0.00,
Caden Lane,Tula Skincare,1688,50,0,1,0.00,0.00000000
Caden Lane,Mario Badescu Skin Care,1674,12,0,1,0.00,0.00000000
Caden Lane,SPONGELLE,1614,20,15,1,15.00,9.29368000
Caden Lane,Lalabu,1574,7,4,1,7.00,4.44727000
Caden Lane,Serenity Kids,1452,,,0,0.00,
Caden Lane,A Kids Co.,1415,,,0,0.00,
Caden Lane,Airo Collective,1331,,,0,0.00,
Caden Lane,QALO,1285,7,4,1,7.10,5.52529000
Caden Lane,ILIA,1279,20,20,2,40.00,31.27443000
Caden Lane,TriLASTIN,1230,40,10,2,50.00,40.65041000
Caden Lane,Airsign,1210,,,0,0.00,
Caden Lane,The CrunchCup,1106,,,0,0.00,
Caden Lane,Ancient Nutrition,1093,25,5,1,5.00,4.57457000
Caden Lane,Electric Picks Jewelry,1063,30,15,1,15.00,14.11101000
Caden Lane,Le Mini Macaron,1013,,,0,0.00,
Caden Lane,Gathre,975,20,20,1,20.00,20.51282000
Caden Lane,Homesick Candles,958,,,0,0.00,
Caden Lane,Alpyn Beauty,867,,,0,0.00,
Caden Lane,Alkavida,857,,,0,0.00,
Caden Lane,Moby Wrap,857,,,0,0.00,
Caden Lane,Ursa Major,796,30,10,1,9.98,12.53769000
Caden Lane,Wolf & Shepherd,788,50,15,2,100.00,126.90355000
Caden Lane,Dropps,770,25,5,1,5.00,6.49351000
Caden Lane,jane iredale,765,20,5,9,60.00,78.43137000
Caden Lane,For Days,694,30,15,5,105.00,151.29683000
Caden Lane,ByHeart,691,30,10,4,60.00,86.83068000
Caden Lane,BlendJet,632,10,5,1,5.00,7.91139000
Caden Lane,Cali's Books,621,,,0,0.00,
Caden Lane,Altitude Functional Beverages,619,,,0,0.00,
Caden Lane,Yana Sleep,601,,,0,0.00,
Caden Lane,Ami Colé,594,,,0,0.00,
Caden Lane,Wondery,584,,,0,0.00,
Caden Lane,Natalist Co.,582,,,0,0.00,
Caden Lane,Birthdate Co.,559,,,0,0.00,
Caden Lane,Posh Peanut,537,20,0,3,40.00,74.48790000
Caden Lane,Amberjack,531,,,0,0.00,
Caden Lane,Opopop,518,25,0,1,0.00,0.00000000
Caden Lane,Carve Designs,517,60,10,1,10.00,19.34236000
Caden Lane,Beginning Boutique,484,,,0,0.00,
Caden Lane,Snuggle Me Organic,484,,,0,0.00,
Caden Lane,Dirty Labs,444,20,0,1,20.00,45.04505000
Caden Lane,jot,436,,,0,0.00,
Caden Lane,California Arts,425,,,0,0.00,
Caden Lane,Aura Bora,412,,,0,0.00,
Caden Lane,Anyday,385,33,33,1,33.00,85.71429000
Caden Lane,eyebobs,380,,,0,0.00,
Caden Lane,ettitude,368,,,0,0.00,
Caden Lane,Nampons LLC,361,,,0,0.00,
Caden Lane,StackedSkincare,350,,,0,0.00,
Caden Lane,August Uncommon Tea,349,,,0,0.00,
Caden Lane,Surely Wines,346,,,0,0.00,
Caden Lane,Molekule,345,,,0,0.00,
Caden Lane,Bad Birdie,335,50,5,1,5.00,14.92537000
Caden Lane,Manduka,333,,,0,0.00,
Caden Lane,Consciously Baby,324,,,0,0.00,
Caden Lane,Fuse Lenses,280,15,0,1,15.00,53.57143000
Caden Lane,SeaVees,276,,,0,0.00,
Caden Lane,Nood,275,60,0,1,60.00,218.18182000
Caden Lane,Winged Wellness,275,,,0,0.00,
Caden Lane,Create,265,,,0,0.00,
Caden Lane,AVEC,260,,,0,0.00,
Caden Lane,Billy Reid,257,,,0,0.00,
Caden Lane,12|12,229,,,0,0.00,
Caden Lane,Bala,228,,,0,0.00,
Caden Lane,cbdMD,226,20,5,1,5.00,22.12389000
Caden Lane,Blessed Be Magick,221,,,0,0.00,
Caden Lane,Billion Dollar Beauty,217,,,0,0.00,
Caden Lane,INTO THE AM,216,,,0,0.00,
Caden Lane,Bed Babe,214,,,0,0.00,
Caden Lane,Koio,211,,,0,0.00,
Caden Lane,OrnamentallyYou,207,,,0,0.00,
Caden Lane,Bask Suncare,203,,,0,0.00,
Caden Lane,Snowyskin,200,,,0,0.00,
Caden Lane,Binto,197,,,0,0.00,
Caden Lane,Bokksu Market,196,,,0,0.00,
Caden Lane,Bloomscape,196,,,0,0.00,
Caden Lane,Rains,195,,,0,0.00,
Caden Lane,Dakine,188,,,0,0.00,
Caden Lane,GhostBed,184,,,0,0.00,
Caden Lane,Vegamour,183,,,0,0.00,
Caden Lane,Projects Watches,182,,,0,0.00,
Caden Lane,Common Era Jewelry,177,,,0,0.00,
Caden Lane,Julep,175,,,0,0.00,
Caden Lane,Oradina,171,125,20,1,20.00,116.95906000
Caden Lane,Corpus Naturals,170,,,0,0.00,
Caden Lane,Glimmer Wish,166,18,10,1,10.00,60.24096000
Caden Lane,vitruvi,163,,,0,0.00,
Caden Lane,Glamnetic,161,30,10,1,10.00,62.11180000
