PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR,AGGREGATE_BEST_SCORE
Laura Geller,Mario Badescu Skin Care,560.0,0.0,0.0,0.0,0.0,
Laura Geller,LIVELY,,,,,,
Laura Geller,Love in Faith,,,,,,
Laura Geller,Ancient Nutrition,,,,,,
Laura Geller,Sol de Janeiro,943.0,0.0,0.0,0.0,0.0,
Laura Geller,Vegamour,,,,,,
Laura Geller,Spongelle,,,,,,
Laura Geller,Kindra,459.0,0.0,0.0,0.0,0.0,
Laura Geller,Dagne Dover,1508.0,0.0,0.0,0.0,0.0,0.574919613599178
Laura Geller,Solawave,,,,,,
Sol de Janeiro,LIVELY,2079.0,0.0,0.0,0.0,0.0,0.6862407938073137
Sol de Janeiro,Laura Geller,14534.0,19.0,285.0,0.019609192238888126,0.0013072794825925416,0.9461945957501938
Sol de Janeiro,Oradina,,,,,,
Sol de Janeiro,Liquid I.V.,7998.0,4.0,140.0,0.017504376094023506,0.0005001250312578145,0.8349031289279774
Sol de Janeiro,Glamnetic,3002.0,1.0,40.0,0.013324450366422385,0.00033311125916055963,0.6870835491123332
Sol de Janeiro,BlendJet,,,,,,
Sol de Janeiro,Tower 28,,,,,,
Sol de Janeiro,Dagne Dover,867.0,0.0,0.0,0.0,0.0,0.574919613599178
Sol de Janeiro,Solawave,,,,,,
Love in Faith,Laura Geller,,,,,,
Love in Faith,Liquid I.V.,,,,,,
Love in Faith,Dollar Shave Club,,,,,,
Love in Faith,BlendJet,,,,,,
Love in Faith,Glamnetic,,,,,,
Love in Faith,Kopari,,,,,,
Love in Faith,Monica and Andy,,,,,,
Love in Faith,Molekule,,,,,,
Caden Lane,Tubby Todd Bath Co.,,,,,,
Caden Lane,Lalo,,,,,,
Caden Lane,Mario Badescu Skin Care,,,,,,
Caden Lane,Beekman 1802,,,,,,
Caden Lane,Coterie,,,,,,
Caden Lane,Gathre,,,,,,
Caden Lane,Bodily,,,,,,
Caden Lane,Nanit,,,,,,
Caden Lane,Willow Pumps,,,,,,
Caden Lane,Solly Baby,,,,,,
Dr. Squatch,True Classic,18047.0,21.0,945.0,0.0523632736742949,0.0011636283038732199,
Dr. Squatch,Twillory,233.0,0.0,0.0,0.0,0.0,
Dr. Squatch,Amberjack,,,,,,
Dr. Squatch,Volcom,,,,,,
Dr. Squatch,Bad Birdie,,,,,,
