PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Agg_Rank,Clean_Agg_Rank
Laura Geller,Morphe,370,45.0,25.0,1,25.0,67.57,0.0027,38.0,0.9603753004430631,2.0,1.0,4.0,3.0,1.0
Laura Geller,Liquid I.V.,420,35.0,0.0,1,35.0,83.33,0.0024,24.94,0.7725368495226695,5.0,1.0,3.0,4.0,2.0
Laura Geller,Afloral,1244,30.0,20.0,24,570.0,458.2,0.0193,24.07,0.6787455235190207,7.0,1.0,1.0,4.0,3.0
Laura Geller,Love Your Melon,3148,30.0,19.0,3,57.0,18.11,0.001,21.85,0.7267826288406034,6.0,1.0,7.0,6.5,4.0
Laura Geller,Little Words Project,1466,15.0,10.0,32,405.0,276.26,0.0218,13.27,0.42856453372201897,12.0,1.0,2.0,7.0,5.0
Laura Geller,Dollar Shave Club,16267,30.0,4.0,71,955.0,58.71,0.0044,13.45,0.4892854040174909,11.0,1.0,5.0,8.0,6.0
Laura Geller,Willow Pumps,213,40.0,0.0,2,0.0,0.0,0.0094,63.46,1.0,1.0,1.0,16.0,8.5,7.0
Laura Geller,True Classic,68887,45.0,0.0,17,450.0,6.53,0.0002,25.87,0.8232188190777725,4.0,1.0,13.0,8.5,8.0
Laura Geller,Sol de Janeiro,449865,20.0,10.0,1334,13545.0,30.11,0.003,10.18,0.2509821712983966,13.0,1.0,6.0,9.5,9.0
Laura Geller,Bodily,110,,,0,0.0,0.0,0.0,28.14,0.8996544301475913,3.0,1.0,17.0,10.0,10.0
Laura Geller,biom,22434,30.0,15.0,12,225.0,10.03,0.0005,18.75,0.6299072366960434,8.0,1.0,12.0,10.0,11.0
Laura Geller,Dr. Squatch,134281,25.0,1.0,128,1486.0,11.07,0.001,10.24,0.202843711690493,14.0,1.0,10.0,12.0,12.0
Laura Geller,Beyond Polish,17906,8.0,0.0,42,272.0,15.19,0.0023,6.62,0.15401025126210216,15.0,1.0,9.0,12.0,13.0
Laura Geller,Tubby Todd Bath Co.,2895,10.0,0.0,6,50.0,17.27,0.0021,4.66,0.09585219649217641,16.0,1.0,8.0,12.0,14.0
Laura Geller,Solly Baby,195,,,0,0.0,0.0,0.0,18.0,0.5810351651109587,9.0,1.0,18.0,13.5,15.0
Laura Geller,Lalo,279,,,0,0.0,0.0,0.0,17.93,0.49020724538355354,10.0,1.0,19.0,14.5,16.0
Laura Geller,Newton Baby,7239,3.0,0.0,11,18.0,2.49,0.0015,2.61,0.056975588096180384,17.0,1.0,14.0,15.5,17.0
Laura Geller,UNTUCKit,24266,40.0,20.0,9,260.0,10.71,0.0004,30.67,0.0,20.0,1.0,11.0,15.5,18.0
Laura Geller,MANSCAPED,79236,0.0,0.0,153,1.58,0.02,0.0019,0.01,0.00917014971476008,18.0,1.0,15.0,16.5,19.0
Laura Geller,AAVRANI,219,,,0,0.0,0.0,0.0,60.0,0.0,19.0,1.0,20.0,19.5,20.0
Love in Faith,Morphe,14516,45.0,25.0,9,285.0,19.63,0.0006,38.0,0.9603753004430631,2.0,2.0,2.0,2.0,1.0
Love in Faith,Willow Pumps,830,,,0,0.0,0.0,0.0,63.46,1.0,1.0,2.0,13.0,7.0,2.0
