PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Clean_Agg_Rank
Laura Geller,Liquid I.V.,420,35.0,0.0,1,35.0,83.33,0.0024,21.0,0.7371047727344515,5.0,1.0,1.0,1.0
Laura Geller,Love Your Melon,3148,30.0,19.0,3,57.0,18.11,0.001,22.26,0.7896438085010055,4.0,1.0,4.0,2.0
Laura Geller,True Classic,68887,45.0,0.0,17,450.0,6.53,0.0002,38.5,0.9474662286658876,1.0,1.0,9.0,3.0
Laura Geller,Afloral,1244,30.0,20.0,1,20.0,16.08,0.0008,25.0,0.6847657854006759,6.0,1.0,6.0,4.0
Laura Geller,Little Words Project,1466,15.0,10.0,3,40.0,27.29,0.002,12.33,0.421407288080272,9.0,1.0,3.0,5.0
Laura Geller,Willow Pumps,213,40.0,0.0,1,0.0,0.0,0.0047,33.85,0.8945060383040103,2.0,1.0,14.0,6.0
Laura Geller,Dollar Shave Club,16267,30.0,5.0,21,165.0,10.14,0.0013,11.08,0.3157711867083609,10.0,1.0,7.0,7.0
Laura Geller,Tubby Todd Bath Co.,2895,10.0,0.0,6,50.0,17.27,0.0021,7.8,0.20910325657790835,12.0,1.0,5.0,8.0
Laura Geller,Bodily,110,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,3.0,1.0,15.0,9.0
Laura Geller,Morphe,370,45.0,25.0,1,25.0,67.57,0.0027,30.71,0.0,17.0,1.0,2.0,10.0
Laura Geller,Sol de Janeiro,449865,20.0,10.0,253,2830.0,6.29,0.0006,10.64,0.2636796276993377,11.0,1.0,10.0,11.0
Laura Geller,Solly Baby,195,,,0,0.0,0.0,0.0,18.0,0.6312738873622035,7.0,1.0,16.0,12.0
Laura Geller,Dr. Squatch,134281,25.0,1.0,52,412.0,3.07,0.0004,7.46,0.15925961022142202,13.0,1.0,11.0,13.0
Laura Geller,Lalo,279,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,8.0,1.0,17.0,14.0
Laura Geller,Beyond Polish,17906,8.0,0.0,4,32.0,1.79,0.0002,6.86,0.10659422807627111,14.0,1.0,12.0,15.0
Laura Geller,UNTUCKit,24266,40.0,20.0,6,160.0,6.59,0.0002,28.89,0.0,20.0,1.0,8.0,16.0
Laura Geller,biom,22434,30.0,15.0,1,30.0,1.34,0.0,30.0,0.0,18.0,1.0,13.0,17.0
Laura Geller,Newton Baby,7239,,,0,0.0,0.0,0.0,2.45,0.05330237847057708,15.0,1.0,18.0,18.0
Laura Geller,MANSCAPED,79236,0.0,0.0,3,0.03,0.0,0.0,0.01,0.0005896164334523095,16.0,1.0,19.0,19.0
Laura Geller,AAVRANI,219,,,0,0.0,0.0,0.0,13.523384657684904,0.0,19.0,1.0,20.0,20.0
Love in Faith,True Classic,20372,45.0,0.0,6,90.0,4.42,0.0003,38.5,0.9474662286658876,2.0,2.0,9.0,1.0
Love in Faith,Liquid I.V.,48966,35.0,0.0,14,280.0,5.72,0.0003,21.0,0.7371047727344515,6.0,2.0,7.0,2.0
Love in Faith,Little Words Project,2000,15.0,10.0,3,35.0,17.5,0.0015,12.33,0.421407288080272,12.0,2.0,1.0,3.0
Love in Faith,Once Upon a Farm,221,,,0,0.0,0.0,0.0,40.0,1.0,1.0,2.0,13.0,4.0
Love in Faith,Laura Geller,238261,15.0,0.0,366,4095.0,17.19,0.0015,11.54,0.36846289101571966,13.0,2.0,2.0,5.0
Love in Faith,Willow Pumps,830,,,0,0.0,0.0,0.0,33.85,0.8945060383040103,3.0,2.0,14.0,6.0
Love in Faith,Dollar Shave Club,18008,30.0,5.0,20,275.0,15.27,0.0011,11.08,0.3157711867083609,14.0,2.0,3.0,7.0
Love in Faith,Afloral,10015,30.0,20.0,1,30.0,3.0,0.0001,25.0,0.6847657854006759,7.0,2.0,11.0,8.0
Love in Faith,Bodily,691,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,4.0,2.0,15.0,9.0
Love in Faith,Love Your Melon,117,,,0,0.0,0.0,0.0,22.26,0.7896438085010055,5.0,2.0,16.0,10.0
Love in Faith,Sol de Janeiro,92106,20.0,10.0,70,660.0,7.17,0.0008,10.64,0.2636796276993377,15.0,2.0,6.0,11.0
Love in Faith,Tubby Todd Bath Co.,3559,10.0,0.0,6,20.0,5.62,0.0017,7.8,0.20910325657790835,16.0,2.0,8.0,12.0
Love in Faith,Solly Baby,362,,,0,0.0,0.0,0.0,18.0,0.6312738873622035,8.0,2.0,17.0,13.0
Love in Faith,UNTUCKit,6690,40.0,20.0,3,100.0,14.95,0.0004,28.89,0.0,21.0,2.0,4.0,14.0
Love in Faith,Lalo,488,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,9.0,2.0,18.0,15.0
Love in Faith,Dr. Squatch,79716,25.0,1.0,42,307.0,3.85,0.0005,7.46,0.15925961022142202,17.0,2.0,10.0,16.0
Love in Faith,Morphe,14516,45.0,25.0,6,190.0,13.09,0.0004,30.71,0.0,22.0,2.0,5.0,17.0
Love in Faith,Coterie,325,,,0,0.0,0.0,0.0,14.14,0.5251534582056708,10.0,2.0,19.0,18.0
Love in Faith,Beyond Polish,3163,8.0,0.0,1,8.0,2.53,0.0003,6.86,0.10659422807627111,18.0,2.0,12.0,19.0
Love in Faith,"Dermaclara, LLC",1351,,,0,0.0,0.0,0.0,13.0,0.4743622140097076,11.0,2.0,20.0,20.0
Love in Faith,Newton Baby,1422,,,0,0.0,0.0,0.0,2.45,0.05330237847057708,19.0,2.0,21.0,21.0
Love in Faith,MANSCAPED,15613,,,0,0.0,0.0,0.0,0.01,0.0005896164334523095,20.0,2.0,22.0,22.0
Love in Faith,biom,813,,,0,0.0,0.0,0.0,30.0,0.0,23.0,2.0,23.0,23.0
