PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,TOTAL_AD_SPEND,RPM,CVR
Sol de Janeiro,Beyond Polish,11840,8.00,0.67567568,0.000084
Sol de Janeiro,My Medic,113,0.00,0.00000000,0.000000
Sol de Janeiro,BlendJet,2204,15.00,6.80580762,0.000907
Laura Geller,Afloral,3037,150.00,49.39084623,0.001976
Sol de Janeiro,INBLOOM,307,0.00,0.00000000,0.000000
Sol de Janeiro,Wren + Glory,296,0.00,0.00000000,0.000000
Sol de Janeiro,good light,260,20.00,76.92307692,0.003846
Laura Geller,Crown Affair,185,12.72,68.75675676,0.005405
Sol de Janeiro,AVEC,192,0.00,0.00000000,0.000000
Sol de Janeiro,Inamorata,181,0.00,0.00000000,0.000000
Laura Geller,doublesoul,337,0.00,0.00000000,0.000000
Sol de Janeiro,Beginning Boutique,3836,10.00,2.60688217,0.000261
Sol de Janeiro,Carve Designs,1919,0.00,0.00000000,0.000000
Sol de Janeiro,Juna,428,0.00,0.00000000,0.000000
Laura Geller,QALO,1146,4.44,3.87434555,0.000873
Laura Geller,Spyder,314,22.00,70.06369427,0.006369
Sol de Janeiro,Manduka,435,32.00,73.56321839,0.002299
Sol de Janeiro,Fable Home,154,0.00,0.00000000,0.000000
Laura Geller,Sol de Janeiro,361279,3410.00,9.43868866,0.000681
Laura Geller,Newton Baby,7420,12.00,1.61725067,0.000539
Laura Geller,Beginning Boutique,315,10.00,31.74603175,0.003175
Sol de Janeiro,SeaVees,1484,0.00,0.00000000,0.000000
Sol de Janeiro,Willow Pumps,725,0.00,0.00000000,0.000000
Sol de Janeiro,Altitude Functional Beverages,702,0.00,0.00000000,0.000000
Sol de Janeiro,ETOILE,1848,0.00,0.00000000,0.000000
Sol de Janeiro,Koio,372,0.00,0.00000000,0.000000
Laura Geller,Kopari,29521,1150.00,38.95531994,0.001219
Laura Geller,Canopy,25107,0.00,0.00000000,0.000000
Laura Geller,NOT!CE Hair Co,7912,10.00,1.26390293,0.000126
Laura Geller,Carve Designs,8466,130.00,15.35553981,0.000945
Laura Geller,Volcom,1085,8.00,7.37327189,0.000922
Laura Geller,SPONGELLE,17961,410.00,22.82723679,0.001392
Sol de Janeiro,Branch,621,0.00,0.00000000,0.000000
Laura Geller,Year & Day,273,0.00,0.00000000,0.000000
Sol de Janeiro,WP Standard,115,0.00,0.00000000,0.000000
Laura Geller,Create,110,60.00,545.45454545,0.036364
Laura Geller,Caden Lane,134760,1816.00,13.47580885,0.000571
Sol de Janeiro,Canopy,7097,0.00,0.00000000,0.000000
Laura Geller,Character Home,17635,0.00,0.00000000,0.000000
Laura Geller,Curie,4646,80.00,17.21911322,0.002798
Sol de Janeiro,Snuggle Me Organic,286,0.00,0.00000000,0.000000
Laura Geller,Dieux Skin,833,2.00,2.40096038,0.002401
Sol de Janeiro,Bala,359,0.00,0.00000000,0.000000
Laura Geller,Leeway Home,320,0.00,0.00000000,0.000000
Sol de Janeiro,wildwonder,7899,0.00,0.00000000,0.000000
Sol de Janeiro,Muslin Comfort,223,0.00,0.00000000,0.000000
Laura Geller,Saranoni Luxury Blankets,694,0.00,0.00000000,0.000000
Laura Geller,OUAI,510,60.00,117.64705882,0.003922
Laura Geller,Nood,170,0.00,0.00000000,0.000000
Laura Geller,Seafolly Australia,104,0.00,0.00000000,0.000000
Sol de Janeiro,QALO,345,0.00,0.00000000,0.000000
Laura Geller,Dr. Squatch,219482,399.00,1.81791673,0.000178
Sol de Janeiro,Laura Geller,88526,1140.00,12.87757269,0.000859
Laura Geller,Thorlos,837,5.00,5.97371565,0.001195
Sol de Janeiro,Degs & Sal,118,0.00,0.00000000,0.000000
Sol de Janeiro,IVL Collective,287,0.00,0.00000000,0.000000
Sol de Janeiro,Sijo,3616,0.00,0.00000000,0.000000
Laura Geller,Dropps,1649,20.00,12.12856277,0.002426
Sol de Janeiro,Girlfriend Collective,3695,40.00,10.82543978,0.001083
Sol de Janeiro,Dagne Dover,4187,170.00,40.60186291,0.001672
Sol de Janeiro,Doré,124,0.00,0.00000000,0.000000
Sol de Janeiro,biom,162,0.00,0.00000000,0.000000
Laura Geller,Dollar Shave Club,61306,180.00,2.93609108,0.000261
Sol de Janeiro,SACHEU Beauty,313,0.00,0.00000000,0.000000
Laura Geller,Coromega,229,0.00,0.00000000,0.000000
Sol de Janeiro,happy being,382,0.00,0.00000000,0.000000
Sol de Janeiro,Le Mini Macaron,1714,0.00,0.00000000,0.000000
Sol de Janeiro,Create,182,0.00,0.00000000,0.000000
Sol de Janeiro,ARMRA Colostrum™,2605,100.00,38.38771593,0.000768
Sol de Janeiro,Storq,118,0.00,0.00000000,0.000000
Sol de Janeiro,Volcom,1459,23.00,15.76422207,0.001371
Sol de Janeiro,Billy Reid,192,0.00,0.00000000,0.000000
Sol de Janeiro,Leeway Home,149,0.00,0.00000000,0.000000
Laura Geller,MAXPRO Fitness,172,0.00,0.00000000,0.000000
Sol de Janeiro,INH Hair,1974,40.00,20.26342452,0.000507
Laura Geller,Kindra,2493,125.00,50.14039310,0.004011
Laura Geller,Caraway,9275,570.00,61.45552561,0.001294
Sol de Janeiro,Tower 28 Beauty,4031,130.00,32.25006202,0.003225
Laura Geller,OrnamentallyYou,5563,10.00,1.79759123,0.000180
Laura Geller,Vacation®,1124,14.00,12.45551601,0.000890
Laura Geller,SeaVees,1768,0.00,0.00000000,0.000000
Sol de Janeiro,"Dermaclara, LLC",1357,0.00,0.00000000,0.000000
Sol de Janeiro,Spyder,285,0.00,0.00000000,0.000000
Sol de Janeiro,Calin,198,0.00,0.00000000,0.000000
Laura Geller,Dakine,277,0.00,0.00000000,0.000000
Sol de Janeiro,Softies,201,0.00,0.00000000,0.000000
Sol de Janeiro,NOMAD Grills,4496,0.00,0.00000000,0.000000
Sol de Janeiro,Glamnetic,12502,280.00,22.39641657,0.001520
Sol de Janeiro,Character Home,658,0.00,0.00000000,0.000000
Sol de Janeiro,Dollar Shave Club,7301,55.00,7.53321463,0.000822
Sol de Janeiro,Toad&Co,347,0.00,0.00000000,0.000000
Sol de Janeiro,My Girl Wellness,885,0.00,0.00000000,0.000000
Sol de Janeiro,Dame,272,0.00,0.00000000,0.000000
Laura Geller,Common Era Jewelry,141,0.00,0.00000000,0.000000
Laura Geller,Wolf & Shepherd,3148,175.00,55.59085133,0.001588
Laura Geller,vitruvi,155,40.00,258.06451613,0.006452
Laura Geller,True Botanicals,5063,75.00,14.81335177,0.002568
Sol de Janeiro,Bad Birdie,1266,50.00,39.49447077,0.000790
Sol de Janeiro,Lollipetals,10434,22.00,2.10849147,0.000096
Sol de Janeiro,Seafolly Australia,340,0.00,0.00000000,0.000000
Sol de Janeiro,Cadence,252,0.00,0.00000000,0.000000
Sol de Janeiro,Bask Suncare,245,20.00,81.63265306,0.004082
Sol de Janeiro,Newton Baby,112,0.00,0.00000000,0.000000
Laura Geller,MANSCAPED,106608,0.05,0.00046901,0.000047
Laura Geller,Blueland,9312,66.00,7.08762887,0.000215
Laura Geller,Posh Peanut,1785,55.00,30.81232493,0.001120
Sol de Janeiro,MANSCAPED,4750,0.00,0.00000000,0.000000
Laura Geller,Birthdate Co.,1834,0.00,0.00000000,0.000000
Sol de Janeiro,Gibsonlook,1337,0.00,0.00000000,0.000000
Laura Geller,Airsign,6674,0.00,0.00000000,0.000000
Sol de Janeiro,Mario Badescu Skin Care,2328,0.00,0.00000000,0.000000
Sol de Janeiro,Winged Wellness,965,0.00,0.00000000,0.000000
Sol de Janeiro,Foria,134,0.00,0.00000000,0.000000
Laura Geller,Manduka,448,19.00,42.41071429,0.002232
Sol de Janeiro,Snowyskin,230,0.00,0.00000000,0.000000
Laura Geller,Siblings,289,20.00,69.20415225,0.006920
Sol de Janeiro,jane iredale,749,80.00,106.80907877,0.017356
Sol de Janeiro,Airsign,678,0.00,0.00000000,0.000000
Sol de Janeiro,Year & Day,381,0.00,0.00000000,0.000000
Sol de Janeiro,Waterboy,881,10.00,11.35073780,0.001135
Laura Geller,Bala,1078,10.00,9.27643785,0.001855
Laura Geller,iota,156,10.00,64.10256410,0.006410
Laura Geller,Dirty Labs,147,0.00,0.00000000,0.000000
Sol de Janeiro,Blueland,142,0.00,0.00000000,0.000000
Sol de Janeiro,EVER Skincare,101,0.00,0.00000000,0.000000
Laura Geller,HATCH,528,0.00,0.00000000,0.000000
Laura Geller,Tini Lux,153,0.00,0.00000000,0.000000
Laura Geller,MantraBand,1443,160.00,110.88011088,0.004158
Laura Geller,Mario Badescu Skin Care,2439,0.00,0.00000000,0.000000
Sol de Janeiro,True Classic,3575,45.00,12.58741259,0.000280
Sol de Janeiro,Common Era Jewelry,3814,0.00,0.00000000,0.000000
Laura Geller,The Secure Mat,577,0.00,0.00000000,0.000000
Laura Geller,Buffbunny Collection,624,16.00,25.64102564,0.006410
Laura Geller,NOMAD Grills,55038,0.00,0.00000000,0.000000
Sol de Janeiro,Faherty Brand,1317,85.00,64.54062263,0.000759
Laura Geller,eyebobs,863,0.00,0.00000000,0.000000
Sol de Janeiro,MantraBand,1614,20.00,12.39157373,0.001239
Sol de Janeiro,TriLASTIN,181,0.00,0.00000000,0.000000
Sol de Janeiro,iloveplum,106,0.00,0.00000000,0.000000
Laura Geller,D.S. & Durga,163,0.00,0.00000000,0.000000
Laura Geller,Lunya,143447,150.00,1.04568238,0.000014
Sol de Janeiro,Thorlos,569,0.00,0.00000000,0.000000
Laura Geller,Cadence,2744,160.00,58.30903790,0.002915
Sol de Janeiro,Covey Skincare,814,0.00,0.00000000,0.000000
Sol de Janeiro,Tubby Todd Bath Co.,160,0.00,0.00000000,0.000000
Sol de Janeiro,Monica & Andy Inc.,250,0.00,0.00000000,0.000000
Laura Geller,M.M.LaFleur,136480,250.00,1.83177022,0.000029
Laura Geller,Glamnetic,13349,480.00,35.95774964,0.002023
Sol de Janeiro,Caden Lane,13683,176.00,12.86267631,0.000512
Sol de Janeiro,Dr Sari's Lunar Sync,114,0.00,0.00000000,0.000000
Laura Geller,Le Monde Gourmand,131,10.00,76.33587786,0.007634
Laura Geller,Beyond Polish,22756,24.00,1.05466690,0.000132
Laura Geller,Ursa Major,11088,249.92,22.53968254,0.000992
Laura Geller,Oradina,1998,245.00,122.62262262,0.003504
Laura Geller,Hedley & Bennett,2220,64.97,29.26576577,0.000901
Laura Geller,INH Hair,902,100.00,110.86474501,0.004435
Laura Geller,Boie USA,1410,5.00,3.54609929,0.000709
Laura Geller,Wildfang,1589,15.00,9.43989931,0.000629
Sol de Janeiro,Fuse Lenses,332,0.00,0.00000000,0.000000
Sol de Janeiro,FRANC,102,0.00,0.00000000,0.000000
Sol de Janeiro,Oradina,6862,125.00,18.21626348,0.000146
Sol de Janeiro,MAXPRO Fitness,4524,0.00,0.00000000,0.000000
Laura Geller,Dryft Sleep,628,0.00,0.00000000,0.000000
Sol de Janeiro,Highline Wellness,470,0.00,0.00000000,0.000000
Sol de Janeiro,doublesoul,387,0.00,0.00000000,0.000000
Laura Geller,Bloomscape,187,0.00,0.00000000,0.000000
Laura Geller,Motherhood,142,80.00,563.38028169,0.014085
Sol de Janeiro,Zonarch,317,0.00,0.00000000,0.000000
Sol de Janeiro,Seamless Lingerie,132,0.00,0.00000000,0.000000
Sol de Janeiro,Buffbunny Collection,2100,60.00,28.57142857,0.007143
Sol de Janeiro,Little Words Project,7208,135.00,18.72918979,0.001804
Sol de Janeiro,Wolf & Shepherd,906,30.00,33.11258278,0.002208
Sol de Janeiro,Boie USA,5135,8.00,1.55793574,0.000195
Sol de Janeiro,Electric Picks Jewelry,661,135.00,204.23600605,0.010590
Laura Geller,Softies,554,54.00,97.47292419,0.007220
Laura Geller,AAVRANI,105,0.00,0.00000000,0.000000
Laura Geller,Corpus Naturals,143,0.00,0.00000000,0.000000
Laura Geller,Little Words Project,344,0.00,0.00000000,0.000000
Laura Geller,Toad&Co,1160,30.00,25.86206897,0.000862
Laura Geller,KraveBeauty,387,0.00,0.00000000,0.000000
Laura Geller,Divi,4743,100.00,21.08370230,0.000422
Laura Geller,Koio,1162,0.00,0.00000000,0.000000
Sol de Janeiro,NEIWAI,905,0.00,0.00000000,0.000000
Sol de Janeiro,Luca Faloni,139,0.00,0.00000000,0.000000
Laura Geller,Muslin Comfort,4487,155.00,34.54423891,0.000669
Laura Geller,Willow Pumps,901,0.00,0.00000000,0.000000
Laura Geller,Bad Birdie,808,0.00,0.00000000,0.000000
Sol de Janeiro,Shinesty,326,10.00,30.67484663,0.003067
Sol de Janeiro,Modern Picnic,823,0.00,0.00000000,0.000000
Laura Geller,Winged Wellness,211,0.00,0.00000000,0.000000
Sol de Janeiro,KA! Empathogenics,333,0.00,0.00000000,0.000000
Sol de Janeiro,For Days,620,15.00,24.19354839,0.001613
Laura Geller,Snowyskin,112,0.00,0.00000000,0.000000
Sol de Janeiro,Nood,1067,60.00,56.23242737,0.000937
Sol de Janeiro,Dakine,265,0.00,0.00000000,0.000000
Laura Geller,Le Mini Macaron,453,100.00,220.75055188,0.011038
Laura Geller,For Days,1494,90.00,60.24096386,0.003347
Sol de Janeiro,HATCH,241,0.00,0.00000000,0.000000
Sol de Janeiro,eyebobs,207,0.00,0.00000000,0.000000
Laura Geller,SENREVE,147,0.00,0.00000000,0.000000
Sol de Janeiro,Kindra,1618,30.00,18.54140915,0.000618
Sol de Janeiro,Thousand Fell,557,0.00,0.00000000,0.000000
Sol de Janeiro,Bodily,105,0.00,0.00000000,0.000000
Sol de Janeiro,Mented Cosmetics,2468,0.00,0.00000000,0.000000
Sol de Janeiro,Seoul Ceuticals,454,0.00,0.00000000,0.000000
Sol de Janeiro,Giapenta,371,0.00,0.00000000,0.000000
Laura Geller,Electric Picks Jewelry,838,30.00,35.79952267,0.002387
Laura Geller,Dagne Dover,7509,110.00,14.64908776,0.000666
Laura Geller,Sijo,382,40.00,104.71204188,0.002618
Laura Geller,Bask Suncare,174,0.00,0.00000000,0.000000
Sol de Janeiro,Wildfang,1238,0.00,0.00000000,0.000000
Sol de Janeiro,SENREVE,1875,0.00,0.00000000,0.000000
Sol de Janeiro,LIVELY,7928,145.00,18.28960646,0.000631
Sol de Janeiro,Tini Lux,292,20.00,68.49315068,0.013699
Sol de Janeiro,SolaWave,2200,180.00,81.81818182,0.002727
Laura Geller,Anyday,149,0.00,0.00000000,0.000000
Laura Geller,Juna,101,15.00,148.51485149,0.009901
Sol de Janeiro,Lunya,17262,0.00,0.00000000,0.000000
Laura Geller,biom,3827,45.00,11.75855762,0.000784
Sol de Janeiro,AAVRANI,985,0.00,0.00000000,0.000000
Laura Geller,Lollipetals,10008,0.00,0.00000000,0.000000
Laura Geller,Waterboy,513,35.00,68.22612086,0.003899
Sol de Janeiro,Ancient Nutrition,639,0.00,0.00000000,0.000000
Laura Geller,Bodily,253,0.00,0.00000000,0.000000
Sol de Janeiro,Natalist Co.,291,0.00,0.00000000,0.000000
Sol de Janeiro,The Plug Drink,254,0.00,0.00000000,0.000000
Laura Geller,Tula Skincare,241299,900.00,3.72981239,0.000075
Sol de Janeiro,Dr. Squatch,1851,0.00,0.00000000,0.000000
Sol de Janeiro,Sunday Citizen,1764,140.00,79.36507937,0.001134
Sol de Janeiro,Caraway,710,0.00,0.00000000,0.000000
Laura Geller,ettitude,271,540.00,1992.61992620,0.029520
Laura Geller,Evereden,466,0.00,0.00000000,0.000000
Sol de Janeiro,Som Sleep,139,0.00,0.00000000,0.000000
Sol de Janeiro,Hydrant,230,0.00,0.00000000,0.000000
Sol de Janeiro,Liquid I.V.,38462,805.00,20.92974884,0.000390
Laura Geller,Gibsonlook,3310,74.00,22.35649547,0.000906
Sol de Janeiro,Ami Colé,231,5.00,21.64502165,0.004329
Sol de Janeiro,Nuudii System,187,0.00,0.00000000,0.000000
Sol de Janeiro,LOOPS,196,0.00,0.00000000,0.000000
Laura Geller,Native Pet,127,0.00,0.00000000,0.000000
Sol de Janeiro,M.M.LaFleur,11044,0.00,0.00000000,0.000000
Sol de Janeiro,Winky Lux,1062,22.00,20.71563089,0.000942
Sol de Janeiro,Bellway,209,0.00,0.00000000,0.000000
Sol de Janeiro,Better & Better,276,0.00,0.00000000,0.000000
Sol de Janeiro,Posh Peanut,595,0.00,0.00000000,0.000000
