PUBLISHER,BRAND_IMPRESSIONS,Impression_Rank
120/Life,4484,162.0
12|12,284,284.0
8Greens,3462,176.0
A Kids Co.,218,294.0
AAVRANI,3185,185.0
ARMRA Colostrum™,48815,29.0
AVEC,100,320.0
Afloral,20808,71.0
Airo Collective,442,269.0
Alpha-H,145,302.0
Alpyn Beauty,360,275.0
Amberjack,47908,31.0
Ami Colé,3219,184.0
Ancient Nutrition,38300,36.0
Andie,26608,56.0
Anyday,10795,114.0
August Uncommon Tea,7955,130.0
Aura Bora,123,309.0
Avocado Green Mattress,121,310.0
Baby Delight,3234,183.0
Baby Tula,14912,89.0
Bad Birdie,13690,102.0
Bala,11356,109.0
Bask Suncare,116,311.0
Bear Mattress,236,289.0
Beekman 1802,24385,62.0
Beginning Boutique,134585,8.0
BelliWelli,1483,217.0
Bellway,394,272.0
Beyond Polish,55231,25.0
Billion Dollar Beauty,938,242.0
Billy Reid,14418,98.0
Birthdate Co.,4084,168.0
BlendJet,136898,7.0
Bloomscape,227,292.0
Blossom,103,318.0
Blueland,49919,28.0
Blume,260,287.0
Bobbie,62011,21.0
Bodily,28417,52.0
Boie USA,1508,216.0
Bokksu Market,8180,128.0
Branch,8685,123.0
Brightech,100,321.0
Buffbunny Collection,78684,16.0
ByHeart,22840,67.0
Caden Lane,100340,12.0
Cadence,14195,99.0
Cali's Books,1985,204.0
California Arts,2052,201.0
CanDo,137,305.0
Canopy,5163,153.0
Caraway,19906,73.0
Cardon,470,266.0
Carve Designs,19872,74.0
Clevr Blends,125,308.0
Clover by CLOVE + HALLOW,223,293.0
Coco Moon,6676,143.0
Coffee Bros.,3649,171.0
Common Era Jewelry,614,256.0
Compass Coffee,1361,224.0
Consciously Baby,1358,225.0
Corpus Naturals,3370,179.0
Coterie,30986,48.0
Covey Skincare,364,274.0
Create,14838,91.0
Crown Affair,22794,68.0
Curie,11005,112.0
D.S. & Durga,10429,116.0
DEUX,6786,141.0
Dagne Dover,147499,6.0
Dakine,17291,83.0
Dame,19783,75.0
Degs & Sal,172,299.0
"Dermaclara, LLC",3312,182.0
Dieux Skin,28122,53.0
Dirty Labs,15787,86.0
Distil Union,1033,235.0
Divi,31435,47.0
Doggy Do Good,109,315.0
Dollar Shave Club,220708,5.0
Dr. Motion,2464,195.0
Dr. Squatch,257601,4.0
Dreamland Baby,113177,11.0
Dropps,23645,65.0
EGG New York,545,260.0
ETOILE,107,316.0
EVER Skincare,6363,146.0
Electric Picks Jewelry,8154,129.0
Elegant Baby,5420,150.0
Ellie & Becks,332,278.0
Evereden,7051,137.0
Fable Home,11713,106.0
Faherty Brand,87374,14.0
Felix Gray,6910,139.0
Finn + Emma,276,286.0
Firebelly Tea,760,250.0
Flying Embers,157,301.0
For Days,65864,19.0
Foria,10377,117.0
Frog Hollow Farm,7726,132.0
FullWell,10477,115.0
Fuse Lenses,11586,107.0
GRIP6,11499,108.0
Gathre,13755,101.0
Gibsonlook,4454,163.0
Giften Market,8508,125.0
Girlfriend Collective,23408,66.0
Glamnetic,88585,13.0
Glimmer Wish,165,300.0
GoNanas,6186,147.0
Golde,529,263.0
Goodlife Clothing,1465,218.0
Goodmylk Co.,106,317.0
HATCH,25913,60.0
Haand Inc,662,253.0
Halfdays,40612,34.0
Harold Home,1151,230.0
Hedley & Bennett,35712,42.0
Hello Cake,7310,136.0
Highline Wellness,2705,194.0
Homesick Candles,1273,226.0
Honest,7326,135.0
Houseplant,4098,167.0
Hydrant,916,243.0
INH Hair,10161,118.0
INTO THE AM,19080,77.0
IVL Collective,618,255.0
Inamorata,1444,219.0
JACK HENRY,1591,213.0
JOI,519,264.0
Joanna Vargas Skincare,331,279.0
Juna,2370,198.0
KA! Empathogenics,291,282.0
Kindra,2719,193.0
Kinflyte,560,257.0
Koio,1912,205.0
Kopari,4511,161.0
Kortni Jeane,4232,165.0
Kosas Cosmetics,34457,43.0
Kosterina,2810,189.0
KraveBeauty,14904,90.0
LIVELY,15752,87.0
Lalabu,4231,166.0
Lalo,31652,46.0
Laura Geller,1752490,1.0
Lavinia Lingerie,830,246.0
Le Mini Macaron,26073,58.0
Le Monde Gourmand,4759,156.0
Leeway Home,113,313.0
Licorice,60874,22.0
Lily Jade,1396,220.0
Liquid I.V.,130926,9.0
Little Words Project,54175,27.0
Lovevery,3316,181.0
Luca Faloni,2424,196.0
LuminAID,3509,175.0
Lunya,17433,82.0
M.M.LaFleur,18245,78.0
MATE the Label,3770,170.0
MAXPRO Fitness,14804,92.0
Manduka,54653,26.0
Manhattan Toy Company,1145,231.0
MantraBand,25993,59.0
Marea,416,271.0
Mario Badescu Skin Care,34362,44.0
Matador Meggings,2009,203.0
Maverick & Co.,23666,64.0
Mented Cosmetics,365,273.0
Milton & Goose,212,295.0
Misaky.Tokyo,1190,229.0
Moby Wrap,4842,155.0
Modern Fuel,983,238.0
Modern Picnic,985,237.0
Molekule,8498,126.0
Monica & Andy Inc.,28800,51.0
Moon Pals,556,258.0
Moonglow,17855,79.0
Morphe,74259,17.0
Mosi,1396,221.0
Motherhood,1627,212.0
Muslin Comfort,14586,96.0
My Girl Wellness,234,290.0
My Medic,17635,80.0
NEIWAI,29538,50.0
NOMAD Grills,2028,202.0
NOT!CE Hair Co,314,280.0
NOTO Botanics,943,241.0
Nanit,36897,39.0
Natalist Co.,2898,188.0
Natemia,114,312.0
Native Pet,5936,148.0
Needed,26883,55.0
Newton Baby,37393,37.0
Nguyen Coffee Supply,1378,223.0
Nodpod,3514,174.0
Nood,36905,38.0
Nuudii System,13654,103.0
OOBE BRAND,760,251.0
OUAI,9185,121.0
Oars + Alps,7564,133.0
Oeuf,1056,234.0
Olive & June,114316,10.0
Olivers Apparel,2925,187.0
Once Upon a Farm,20339,72.0
Opopop,11055,110.0
Oradina,8574,124.0
OrnamentallyYou,1735,210.0
Otteroo,7932,131.0
Out of the Woods,336,276.0
P.S.,3445,177.0
Parken Jewelry,186,298.0
Petaluma,239,288.0
Petunia Pickle Bottom,7551,134.0
Ponto Footwear,627,254.0
Posh Peanut,74047,18.0
Pretzels.com,22631,69.0
Primally Pure,58208,24.0
QALO,2783,191.0
RAEN,1116,233.0
Rael,3860,169.0
Rains,15551,88.0
Raskol Apparel,19552,76.0
Revolution Cooking,869,245.0
RiotSociety.com,5319,151.0
Ritual Zero Proof,29580,49.0
Rockwell Razors,1884,207.0
SACHEU Beauty,6636,144.0
SANS Meal Bar,475,265.0
SENREVE,1591,214.0
SPONGELLE,14537,97.0
Safari Ltd,4350,164.0
Sardel,530,262.0
SeaVees,16296,85.0
Seafolly Australia,545,261.0
Seamless Lingerie,281,285.0
Sensory Joy,958,240.0
Seoul Ceuticals,765,249.0
Serenity Kids,14776,93.0
Shinesty,13988,100.0
Siblings,5316,152.0
Siete Foods,8413,127.0
Sijo,11045,111.0
Skura Style,138,304.0
Smith Teamaker,103,319.0
Snibbs,2345,199.0
Snowyskin,310,281.0
Snuggle Me Organic,26374,57.0
Softies,3414,178.0
Sol de Janeiro,367654,3.0
SolaWave,16788,84.0
Solly Baby,41583,33.0
SortJoy,421,270.0
Sprout Living,2800,190.0
Spyder,36750,40.0
Spärkel Beverage Systems,335,277.0
Storied Hats,286,283.0
Storq,4637,159.0
Sunday Citizen,13062,104.0
Surely Wines,795,248.0
The CrunchCup,5890,149.0
The HoneyPot,3608,172.0
The Nue Co.,4557,160.0
The Plug Drink,6541,145.0
The Secure Mat,2401,197.0
Thorlos,17582,81.0
Thousand Fell,1392,222.0
Tia Lupita,129,307.0
Tiege Hanley,4685,158.0
Tini Lux,1907,206.0
Toad&Co,3336,180.0
Tower 28 Beauty,60491,23.0
Trace Minerals,8872,122.0
TriLASTIN,445,267.0
True Botanicals,26965,54.0
True Classic,2731,192.0
Tubby Todd Bath Co.,404339,2.0
Tula Skincare,48539,30.0
Tushbaby,80441,15.0
Twillory,32284,45.0
UNTUCKit,1662,211.0
Ursa Major,14661,94.0
Vacation®,4744,157.0
Vegamour,42879,32.0
Verdant Lyfe,960,239.0
Volcom,40114,35.0
WP Standard,750,252.0
Waterboy,10861,113.0
Why and Whale,145,303.0
Wildfang,9550,120.0
Willow Pumps,62574,20.0
Winged Wellness,1828,208.0
Winky Lux,6744,142.0
WithCo Cocktails,231,291.0
Wolf & Shepherd,22202,70.0
Wondery,12363,105.0
World Wide Stereo,205,296.0
Wren + Glory,552,259.0
Year & Day,443,268.0
Zensah,4928,154.0
biom,830,247.0
bonbuz,132,306.0
cbdMD,24278,63.0
doublesoul,993,236.0
eeBoo,3146,186.0
esmi Skin Minerals,205,297.0
ettitude,1220,228.0
eyebobs,14636,95.0
ezpz,6799,140.0
good light,1747,209.0
happy being,896,244.0
iHeartRaves,1564,215.0
iloveplum,110,314.0
iota,7037,138.0
jane iredale,36541,41.0
jot,9833,119.0
mate,2318,200.0
sproos!,1228,227.0
vitruvi,3578,173.0
wildwonder,1132,232.0
woolino,24867,61.0
