PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Rank
Laura Geller,Lunya,150.0,75.0,143447,2,150.0,1.05,1.4e-05,75.0,1.0,1.0
Laura Geller,Tula Skincare,,,241299,18,900.0,3.73,7.5e-05,50.0,0.9787336816010386,2.0
Laura Geller,Divi,,,4743,2,100.0,21.08,0.000422,50.0,0.9555969315558205,3.0
Laura Geller,Caraway,,,9275,12,570.0,61.46,0.001294,47.5,0.9342348572705317,4.0
Laura Geller,Willow Pumps,,,901,0,0.0,0.0,0.0,40.0,0.872785113151539,5.0
Laura Geller,Blueland,33.0,0.0,9312,2,66.0,7.09,0.000215,33.0,0.829948185425954,6.0
Laura Geller,Kopari,,,29521,36,1150.0,38.96,0.001219,31.94,0.7869495366479055,7.0
Laura Geller,Posh Peanut,35.0,0.0,1785,2,55.0,30.81,0.00112,27.5,0.7663449978188939,8.0
Laura Geller,Caden Lane,,,134760,77,1816.0,13.48,0.000571,23.58,0.6987094234431689,9.0
Laura Geller,Dagne Dover,,,7509,5,110.0,14.65,0.000666,22.0,0.6813158986689933,10.0
Laura Geller,For Days,30.0,15.0,1494,5,90.0,60.24,0.003347,18.0,0.6080413665428933,11.0
Laura Geller,Bodily,,,253,0,0.0,0.0,0.0,21.63,0.5926991456447032,12.0
Laura Geller,HATCH,40.0,10.0,528,0,0.0,0.0,0.0,18.46,0.5511730096075073,13.0
Laura Geller,Sol de Janeiro,20.0,10.0,361279,246,3410.0,9.44,0.000681,13.86,0.5315090063730863,14.0
Laura Geller,Wolf & Shepherd,,,3148,5,175.0,55.59,0.001588,35.0,0.42639670599751034,15.0
Laura Geller,Little Words Project,,,344,0,0.0,0.0,0.0,10.84,0.3836385108895722,16.0
Laura Geller,Dropps,25.0,0.0,1649,4,20.0,12.13,0.002426,5.0,0.36330421645086136,17.0
Laura Geller,Saranoni Luxury Blankets,,,694,0,0.0,0.0,0.0,11.3,0.33949930310993837,18.0
Laura Geller,Carve Designs,,,8466,8,130.0,15.36,0.000945,16.25,0.21442509229803483,19.0
Laura Geller,Volcom,15.0,8.0,1085,1,8.0,7.37,0.000922,8.0,0.1942184723744268,20.0
Laura Geller,True Botanicals,,,5063,13,75.0,14.81,0.002568,5.77,0.08904233474129952,21.0
Laura Geller,Dollar Shave Club,30.0,0.0,61306,16,180.0,2.94,0.000261,11.25,0.06667588760386854,22.0
Laura Geller,Bad Birdie,,,808,0,0.0,0.0,0.0,25.0,0.04833969932651694,23.0
Laura Geller,Buffbunny Collection,,,624,4,16.0,25.64,0.00641,4.0,0.021855749077019655,24.0
Laura Geller,Newton Baby,,,7420,4,12.0,1.62,0.000539,3.0,0.003594037600144698,25.0
Laura Geller,Gibsonlook,,,3310,3,74.0,22.36,0.000906,24.67,0.0,26.0
Laura Geller,Hedley & Bennett,,,2220,2,64.97,29.27,0.000901,32.48,0.0,27.0
Laura Geller,Character Home,150.0,50.0,17635,0,0.0,0.0,0.0,126.67,0.0,28.0
Laura Geller,Glamnetic,,,13349,27,480.0,35.96,0.002023,17.78,0.0,29.0
Laura Geller,Motherhood,40.0,7.0,142,2,80.0,563.38,0.014085,40.0,0.0,30.0
Laura Geller,Tini Lux,,,153,0,0.0,0.0,0.0,10.0,0.0,31.0
Laura Geller,M.M.LaFleur,,,136480,4,250.0,1.83,2.9e-05,62.5,0.0,32.0
Laura Geller,Canopy,,,25107,0,0.0,0.0,0.0,15.0,0.0,33.0
Laura Geller,NOMAD Grills,,,55038,0,0.0,0.0,0.0,150.0,0.0,34.0
Laura Geller,Dr. Squatch,25.0,0.0,219482,39,399.0,1.82,0.000178,10.23,0.0,35.0
Laura Geller,MANSCAPED,,,106608,5,0.05,0.0,4.7e-05,0.01,0.0,36.0
Laura Geller,SeaVees,10.0,10.0,1768,0,0.0,0.0,0.0,10.0,0.0,37.0
Laura Geller,Muslin Comfort,,,4487,3,155.0,34.54,0.000669,51.67,0.0,38.0
Tubby Todd Bath Co.,Lunya,150.0,75.0,3987,3,325.0,81.51,0.000752,108.33,1.0,1.0
Tubby Todd Bath Co.,Tula Skincare,,,11855,5,250.0,21.09,0.000422,50.0,0.9787336816010386,2.0
Tubby Todd Bath Co.,Divi,,,3372,13,650.0,192.76,0.003855,50.0,0.9555969315558205,3.0
Tubby Todd Bath Co.,Caraway,,,1237,6,270.0,218.27,0.00485,45.0,0.9342348572705317,4.0
Tubby Todd Bath Co.,Dreamland Baby,,,22459,47,1880.0,83.71,0.002093,40.0,0.9139005628318209,5.0
Tubby Todd Bath Co.,Once Upon a Farm,,,411,1,40.0,97.32,0.002433,40.0,0.8935939312047154,6.0
Tubby Todd Bath Co.,Willow Pumps,,,1693,1,40.0,23.63,0.000591,40.0,0.872785113151539,7.0
Tubby Todd Bath Co.,Nanit,,,8226,41,1450.0,176.27,0.004984,35.37,0.8477885710029898,8.0
Tubby Todd Bath Co.,Blueland,33.0,0.0,1002,2,66.0,65.87,0.001996,33.0,0.829948185425954,9.0
Tubby Todd Bath Co.,Kate Quinn,,,3161,4,120.0,37.96,0.001265,30.0,0.8089201927885177,10.0
Tubby Todd Bath Co.,Kopari,,,307,1,30.0,97.72,0.003257,30.0,0.7869495366479055,11.0
Tubby Todd Bath Co.,Posh Peanut,35.0,0.0,6194,9,255.0,41.17,0.001453,28.33,0.7663449978188939,12.0
Tubby Todd Bath Co.,Storq,,,632,5,140.0,221.52,0.007911,28.0,0.7415016650884678,13.0
Tubby Todd Bath Co.,Vegamour,50.0,0.0,3888,8,220.0,56.58,0.002058,27.5,0.723829384289651,14.0
Tubby Todd Bath Co.,Caden Lane,,,113651,606,14412.0,126.81,0.005332,23.78,0.6987094234431689,15.0
Tubby Todd Bath Co.,Dagne Dover,,,6860,11,260.0,37.9,0.001603,23.64,0.6813158986689933,16.0
Tubby Todd Bath Co.,Morphe,,,1533,1,25.0,16.31,0.000652,25.0,0.6606326272223345,17.0
Tubby Todd Bath Co.,Gathre,,,2397,7,140.0,58.41,0.00292,20.0,0.6383108661651895,18.0
Tubby Todd Bath Co.,For Days,30.0,15.0,539,8,150.0,278.29,0.014842,18.75,0.6080413665428933,19.0
Tubby Todd Bath Co.,Bodily,,,8520,56,1017.0,119.37,0.006573,18.16,0.5926991456447032,20.0
Tubby Todd Bath Co.,Lalo,,,3407,17,300.0,88.05,0.00499,17.65,0.5734288054985158,21.0
Tubby Todd Bath Co.,HATCH,40.0,10.0,2504,16,280.0,111.82,0.00639,17.5,0.5511730096075073,22.0
Tubby Todd Bath Co.,Sol de Janeiro,20.0,10.0,513,3,50.0,97.47,0.005848,16.67,0.5315090063730863,23.0
Tubby Todd Bath Co.,Coterie,,,1143,9,148.5,129.92,0.007874,16.5,0.5080466863143559,24.0
Tubby Todd Bath Co.,Snuggle Me Organic,,,53685,31,510.0,9.5,0.000577,16.45,0.49174903446147955,25.0
Tubby Todd Bath Co.,Tushbaby,,,7249,8,131.0,18.07,0.001104,16.38,0.47037419272468056,26.0
Tubby Todd Bath Co.,Monica & Andy Inc.,,,3803,26,400.0,105.18,0.006837,15.38,0.4449031269616658,27.0
Tubby Todd Bath Co.,Wolf & Shepherd,,,156,1,15.0,96.15,0.00641,15.0,0.42639670599751034,28.0
Tubby Todd Bath Co.,Solly Baby,,,6760,21,306.0,45.27,0.003107,14.57,0.40566874847056567,29.0
Tubby Todd Bath Co.,Little Words Project,,,2149,9,105.0,48.86,0.004188,11.67,0.3836385108895722,30.0
Tubby Todd Bath Co.,Dropps,25.0,0.0,778,3,35.0,44.99,0.003856,11.67,0.36330421645086136,31.0
Tubby Todd Bath Co.,Saranoni Luxury Blankets,,,2163,14,155.0,71.66,0.006472,11.07,0.33949930310993837,32.0
Tubby Todd Bath Co.,Liquid I.V.,,,20660,1,35.0,1.69,4.8e-05,35.0,0.32183978976263183,33.0
Tubby Todd Bath Co.,ByHeart,30.0,20.0,726,6,60.0,82.64,0.008264,10.0,0.29678366617370117,34.0
Tubby Todd Bath Co.,Coco Moon,,,249,3,30.0,120.48,0.012048,10.0,0.27258721765312965,35.0
Tubby Todd Bath Co.,"Dermaclara, LLC",,,461,3,30.0,65.08,0.006508,10.0,0.2581323346349041,36.0
Tubby Todd Bath Co.,SolaWave,,,322,2,20.0,62.11,0.006211,10.0,0.23671706263498926,37.0
Tubby Todd Bath Co.,Carve Designs,,,110,1,10.0,90.91,0.009091,10.0,0.21442509229803483,38.0
Tubby Todd Bath Co.,Volcom,15.0,8.0,296,1,8.0,27.03,0.003378,8.0,0.1942184723744268,39.0
Tubby Todd Bath Co.,woolino,,,1626,5,39.0,23.99,0.003075,7.8,0.1731628169253849,40.0
Tubby Todd Bath Co.,Lalabu,,,1244,2,11.0,8.84,0.001608,5.5,0.15167945185074852,41.0
Tubby Todd Bath Co.,Kortni Jeane,5.0,2.0,136,2,10.0,73.53,0.014706,5.0,0.12192916192320377,42.0
Tubby Todd Bath Co.,jane iredale,20.0,5.0,149,2,10.0,67.11,0.013423,5.0,0.10589749864345828,43.0
Tubby Todd Bath Co.,True Botanicals,,,169,2,10.0,59.17,0.011834,5.0,0.08904233474129952,44.0
Tubby Todd Bath Co.,Dollar Shave Club,30.0,0.0,104,1,5.0,48.08,0.009615,5.0,0.06667588760386854,45.0
Tubby Todd Bath Co.,Bad Birdie,,,267,1,5.0,18.73,0.003745,5.0,0.04833969932651694,46.0
Tubby Todd Bath Co.,Buffbunny Collection,,,532,6,24.0,45.11,0.011278,4.0,0.021855749077019655,47.0
Tubby Todd Bath Co.,Newton Baby,,,40538,20,60.0,1.48,0.000493,3.0,0.003594037600144698,48.0
Tubby Todd Bath Co.,Laura Geller,,,386,0,0.0,0.0,0.0,14.97,0.0,49.0
Tubby Todd Bath Co.,Hedley & Bennett,,,188,0,0.0,0.0,0.0,29.72,0.0,50.0
Tubby Todd Bath Co.,NOMAD Grills,,,2863,0,0.0,0.0,0.0,150.0,0.0,51.0
Tubby Todd Bath Co.,Dr. Squatch,25.0,0.0,285,0,0.0,0.0,0.0,8.93,0.0,52.0
Tubby Todd Bath Co.,Motherhood,40.0,7.0,531,0,0.0,0.0,0.0,29.0,0.0,53.0
Tubby Todd Bath Co.,True Classic,45.0,0.0,1664,0,0.0,0.0,0.0,44.79,0.0,54.0
Tubby Todd Bath Co.,Otteroo,,,774,0,0.0,0.0,0.0,3.75,0.0,55.0
Tubby Todd Bath Co.,Muslin Comfort,,,161,0,0.0,0.0,0.0,47.0,0.0,56.0
Tubby Todd Bath Co.,Serenity Kids,,,943,0,0.0,0.0,0.0,30.0,0.0,57.0
Tubby Todd Bath Co.,SeaVees,10.0,10.0,103,0,0.0,0.0,0.0,10.0,0.0,58.0
Tubby Todd Bath Co.,Character Home,150.0,50.0,640,0,0.0,0.0,0.0,126.67,0.0,59.0
Tubby Todd Bath Co.,Canopy,,,150,0,0.0,0.0,0.0,15.0,0.0,60.0
Tubby Todd Bath Co.,ezpz,,,664,0,0.0,0.0,0.0,10.0,0.0,61.0
Tubby Todd Bath Co.,BlendJet,,,2543,0,0.0,0.0,0.0,7.25,0.0,62.0
Tubby Todd Bath Co.,Yana Sleep,,,13280,0,0.0,0.0,0.0,22.841173952230736,0.0,63.0
Tubby Todd Bath Co.,Tini Lux,,,1210,0,0.0,0.0,0.0,10.0,0.0,64.0
Tubby Todd Bath Co.,ARMRA Colostrum™,,,301,0,0.0,0.0,0.0,50.0,0.0,65.0
Tubby Todd Bath Co.,Petunia Pickle Bottom,,,641,0,0.0,0.0,0.0,16.67,0.0,66.0
Tubby Todd Bath Co.,Explorer Cold Brew,,,6548,0,0.0,0.0,0.0,22.841173952230736,0.0,67.0
Tubby Todd Bath Co.,Baby Tula,,,705,0,0.0,0.0,0.0,6.67,0.0,68.0
Tubby Todd Bath Co.,Glamnetic,,,372,0,0.0,0.0,0.0,15.52,0.0,69.0
Tubby Todd Bath Co.,M.M.LaFleur,,,2340,0,0.0,0.0,0.0,75.96,0.0,70.0
Tubby Todd Bath Co.,MANSCAPED,,,332,0,0.0,0.0,0.0,0.01,0.0,71.0
Tubby Todd Bath Co.,Moonglow,,,12574,0,0.0,0.0,0.0,22.841173952230736,0.0,72.0
Tubby Todd Bath Co.,Gibsonlook,,,155,0,0.0,0.0,0.0,21.33,0.0,73.0
Tubby Todd Bath Co.,Licorice,,,163,0,0.0,0.0,0.0,27.78,0.0,74.0
Sol de Janeiro,Lunya,150.0,75.0,17262,0,0.0,0.0,0.0,99.56,1.0,1.0
Sol de Janeiro,Caraway,,,710,0,0.0,0.0,0.0,52.72,0.9342348572705317,2.0
Sol de Janeiro,Willow Pumps,,,725,0,0.0,0.0,0.0,40.0,0.872785113151539,3.0
Sol de Janeiro,Blueland,33.0,0.0,142,0,0.0,0.0,0.0,33.0,0.829948185425954,4.0
Sol de Janeiro,Posh Peanut,35.0,0.0,595,0,0.0,0.0,0.0,27.5,0.7663449978188939,5.0
Sol de Janeiro,Storq,,,118,0,0.0,0.0,0.0,25.26,0.7415016650884678,6.0
Sol de Janeiro,Caden Lane,,,13683,7,176.0,12.86,0.000512,25.14,0.6987094234431689,7.0
Sol de Janeiro,Dagne Dover,,,4187,7,170.0,40.6,0.001672,24.29,0.6813158986689933,8.0
Sol de Janeiro,For Days,30.0,15.0,620,1,15.0,24.19,0.001613,15.0,0.6080413665428933,9.0
Sol de Janeiro,Bodily,,,105,0,0.0,0.0,0.0,21.63,0.5926991456447032,10.0
Sol de Janeiro,HATCH,40.0,10.0,241,0,0.0,0.0,0.0,18.46,0.5511730096075073,11.0
Sol de Janeiro,Snuggle Me Organic,,,286,0,0.0,0.0,0.0,17.11,0.49174903446147955,12.0
Sol de Janeiro,Monica & Andy Inc.,,,250,0,0.0,0.0,0.0,21.45,0.4449031269616658,13.0
Sol de Janeiro,Wolf & Shepherd,,,906,2,30.0,33.11,0.002208,15.0,0.42639670599751034,14.0
Sol de Janeiro,Little Words Project,,,7208,13,135.0,18.73,0.001804,10.38,0.3836385108895722,15.0
Sol de Janeiro,Liquid I.V.,,,38462,15,805.0,20.93,0.00039,53.67,0.32183978976263183,16.0
Sol de Janeiro,"Dermaclara, LLC",,,1357,0,0.0,0.0,0.0,12.37,0.2581323346349041,17.0
Sol de Janeiro,SolaWave,,,2200,6,180.0,81.82,0.002727,30.0,0.23671706263498926,18.0
Sol de Janeiro,Carve Designs,,,1919,0,0.0,0.0,0.0,26.36,0.21442509229803483,19.0
Sol de Janeiro,Volcom,15.0,8.0,1459,2,23.0,15.76,0.001371,11.5,0.1942184723744268,20.0
Sol de Janeiro,jane iredale,20.0,5.0,749,13,80.0,106.81,0.017356,6.15,0.10589749864345828,21.0
Sol de Janeiro,Dollar Shave Club,30.0,0.0,7301,6,55.0,7.53,0.000822,9.17,0.06667588760386854,22.0
Sol de Janeiro,Bad Birdie,,,1266,1,50.0,39.49,0.00079,50.0,0.04833969932651694,23.0
Sol de Janeiro,Buffbunny Collection,,,2100,15,60.0,28.57,0.007143,4.0,0.021855749077019655,24.0
Sol de Janeiro,Newton Baby,,,112,0,0.0,0.0,0.0,3.0,0.003594037600144698,25.0
Sol de Janeiro,Dr. Squatch,25.0,0.0,1851,0,0.0,0.0,0.0,8.93,0.0,26.0
Sol de Janeiro,ARMRA Colostrum™,,,2605,2,100.0,38.39,0.000768,50.0,0.0,27.0
Sol de Janeiro,Tini Lux,,,292,4,20.0,68.49,0.013699,5.0,0.0,28.0
Sol de Janeiro,M.M.LaFleur,,,11044,0,0.0,0.0,0.0,75.96,0.0,29.0
Sol de Janeiro,NOMAD Grills,,,4496,0,0.0,0.0,0.0,150.0,0.0,30.0
Sol de Janeiro,SeaVees,10.0,10.0,1484,0,0.0,0.0,0.0,10.0,0.0,31.0
Sol de Janeiro,Gibsonlook,,,1337,0,0.0,0.0,0.0,21.33,0.0,32.0
Sol de Janeiro,Laura Geller,,,88526,76,1140.0,12.88,0.000859,15.0,0.0,33.0
Sol de Janeiro,BlendJet,,,2204,2,15.0,6.81,0.000907,7.5,0.0,34.0
