brand,brand_name,pre_daily_impr,post_daily_impr,pre_daily_conv,post_daily_conv,pre_daily_rev,post_daily_rev
Blueland,Airsign,3.8,102.3,0.0,0.0,0.0,0.0
Blueland,Beekman 1802,233.1,3191.2,1.7,2.1,19.4,30.7
Blueland,California Arts,1.0,136.9,0.0,0.0,0.0,0.0
Blueland,Canopy,83.0,784.6,0.0,0.1,0.0,0.7
Blueland,Caraway,173.7,2072.8,0.3,0.3,16.7,15.0
Blueland,Character Home,32.4,130.7,0.0,0.0,0.0,0.0
Blueland,Finn + Emma,23.3,124.5,0.0,0.0,0.0,0.0
Blueland,For Days,41.3,2144.0,0.0,0.3,0.0,8.7
Blueland,Gibsonlook,58.6,2121.4,0.1,0.3,2.0,6.4
Blueland,Hedley & Bennett,73.2,870.0,0.0,0.0,0.0,0.0
Blueland,INTO THE AM,52.8,263.2,0.0,0.2,0.0,2.2
Blueland,Kate Quinn,210.6,480.2,0.3,0.4,6.7,1.6
Blueland,Love Your Melon,65.3,122.2,0.0,0.1,0.0,1.7
Blueland,MantraBand,29.1,2051.8,0.1,0.3,3.9,5.7
Blueland,Oradina,11.8,2049.3,0.1,0.1,2.2,2.6
Blueland,Posh Peanut,286.9,506.40000000000003,1.3,0.5,15.6,6.1000000000000005
Blueland,Pretzels.com,287.8,825.5,0.0,0.2,0.0,3.3
Blueland,QALO,85.0,133.0,0.2,0.0,1.3,0.2
Blueland,StackedSkincare,118.7,533.9,0.0,0.1,0.0,2.6
Blueland,Tushbaby,230.3,580.3,0.9,0.9,13.1,16.4
Blueland,UNTUCKit,728.6,1677.1,0.6,0.0,20.0,0.9
Blueland,Ursa Major,119.9,199.1,0.7,0.4,6.7,5.6
Blueland,Willow Pumps,91.4,430.3,0.1,0.1,5.0,3.8
Blueland,Wolf & Shepherd,82.1,125.2,0.0,0.1,0.0,3.5
Dreamland Baby,Beachwaver,312.1,545.7,0.4,0.2,6.4,3.5
Dreamland Baby,Beyond Polish,80.1,121.7,0.0,0.1,0.0,0.6
Dreamland Baby,Bodily,370.0,671.9000000000001,1.5,1.9,29.799999999999997,41.2
Dreamland Baby,Caden Lane,4083.0,7201.900000000001,2.8,3.1999999999999997,41.3,47.3
Dreamland Baby,Cadence,60.0,262.5,1.0,0.7,25.0,19.0
Dreamland Baby,Caraway,975.9,1675.0,0.1,0.1,4.7,10.0
Dreamland Baby,D.S. & Durga,7.7,371.7,0.0,0.0,0.0,0.0
Dreamland Baby,Dr. Squatch,28.2,115.1,0.0,0.3,0.0,4.0
Dreamland Baby,Elevated Faith,11.4,130.8,0.0,0.1,0.0,1.3
Dreamland Baby,Glamnetic,528.9,1091.2,0.4,0.4,7.1,8.0
Dreamland Baby,ILIA,278.9,454.7,0.5,0.6000000000000001,9.5,12.0
Dreamland Baby,INH Hair,40.6,100.3,0.0,0.1,0.0,3.3
Dreamland Baby,Kate Quinn,123.8,810.5,0.3,0.5,5.3,0.0
Dreamland Baby,Kindra,60.4,158.8,0.1,0.1,1.8,0.7
Dreamland Baby,Kosas Cosmetics,256.2,399.1,0.0,0.1,0.0,0.0
Dreamland Baby,Lalo,68.8,135.1,0.3,0.5,3.5,8.0
Dreamland Baby,Little Words Project,219.2,501.2,0.4,0.2,4.1,2.7
Dreamland Baby,Love Your Melon,125.6,515.1,0.0,0.0,0.0,0.0
Dreamland Baby,MANSCAPED,566.6,1755.4,0.0,0.0,0.0,0.0
Dreamland Baby,Monica & Andy Inc.,83.9,135.7,0.3,0.5,7.1,4.5
Dreamland Baby,Newton Baby,103.9,220.9,0.0,0.0,0.0,0.0
Dreamland Baby,OrnamentallyYou,255.9,823.2,0.0,0.1,0.0,2.0
Dreamland Baby,Otteroo,100.60000000000001,420.5,0.1,0.30000000000000004,0.4,0.9
Dreamland Baby,Posh Peanut,173.2,417.7,0.8,0.5,10.6,5.3
Dreamland Baby,QALO,447.2,1307.4,0.1,0.3,0.4,2.4
Dreamland Baby,StackedSkincare,24.4,392.0,0.0,0.1,0.0,2.0
Dreamland Baby,Sunday Citizen,937.3,2214.7,0.0,0.0,0.0,0.0
Dreamland Baby,Tushbaby,438.2,1263.0,1.4,2.4000000000000004,22.299999999999997,40.3
Dreamland Baby,Vegamour,752.9,1177.6,0.30000000000000004,0.5,8.8,10.0
Dreamland Baby,Viori Beauty,564.7,861.1,0.3,0.9,2.8,8.3
