brand,pair_brand_1,pair_brand_2,emergent_brand,session_count
Blueland,Dropps,Viori Beauty,For Days,260
Blueland,Dropps,Viori Beauty,Laura Geller,77
Blueland,Dropps,Viori Beauty,Hismile,75
Blueland,Dropps,Viori Beauty,ILIA,73
Blueland,Dropps,Viori Beauty,Liquid I.V.,62
Blueland,Love in Faith,Viori Beauty,Beachwaver,1794
Blueland,Love in Faith,Viori Beauty,BlendJet,309
Blueland,Love in Faith,Viori Beauty,Glamnetic,259
Blueland,Love in Faith,Viori Beauty,Hismile,130
Blueland,Love in Faith,Viori Beauty,Dropps,101
Blueland,Dropps,Tula Skincare,Beachwaver,55
Blueland,Dropps,Tula Skincare,Caden Lane,36
Blueland,Dropps,Tula Skincare,For Days,31
Blueland,Dropps,Tula Skincare,ILIA,17
Blueland,Dropps,Tula Skincare,Liquid I.V.,15
HATCH,Dagne Dover,Newton Baby,Nanit,6
HATCH,Dagne Dover,Newton Baby,Kate Quinn,5
HATCH,Dagne Dover,Newton Baby,Lalo,5
HATCH,Dagne Dover,Newton Baby,Caden Lane,4
HATCH,Dagne Dover,Newton Baby,Hismile,4
HATCH,Dagne Dover,Posh Peanut,Hismile,152
HATCH,Dagne Dover,Posh Peanut,Caden Lane,62
HATCH,Dagne Dover,Posh Peanut,Nanit,57
HATCH,Dagne Dover,Posh Peanut,Lalo,47
HATCH,Dagne Dover,Posh Peanut,ILIA,33
HATCH,Newton Baby,Posh Peanut,Nanit,8
HATCH,Newton Baby,Posh Peanut,Caden Lane,5
HATCH,Newton Baby,Posh Peanut,Dagne Dover,5
HATCH,Newton Baby,Posh Peanut,Hismile,5
HATCH,Newton Baby,Posh Peanut,Tushbaby,2
HATCH,Newton Baby,Willow Pumps,Caden Lane,23
HATCH,Newton Baby,Willow Pumps,Nanit,17
HATCH,Newton Baby,Willow Pumps,Lalo,9
HATCH,Newton Baby,Willow Pumps,Dagne Dover,7
HATCH,Newton Baby,Willow Pumps,Primally Pure,5
Kopari,Caraway,For Days,Oradina,2872
Kopari,Caraway,For Days,Gibsonlook,2833
Kopari,Caraway,For Days,Beekman 1802,2748
Kopari,Caraway,For Days,MantraBand,2741
Kopari,Caraway,For Days,Liquid I.V.,220
Kopari,Caraway,Gibsonlook,For Days,2833
Kopari,Caraway,Gibsonlook,MantraBand,2826
Kopari,Caraway,Gibsonlook,Oradina,2826
Kopari,Caraway,Gibsonlook,Beekman 1802,2771
Kopari,Caraway,Gibsonlook,Beachwaver,57
Kopari,For Days,Gibsonlook,Beekman 1802,3883
Kopari,For Days,Gibsonlook,Oradina,3866
Kopari,For Days,Gibsonlook,MantraBand,3849
Kopari,For Days,Gibsonlook,Caraway,2833
Kopari,For Days,Gibsonlook,Carve Designs,13
LIVELY,Vegamour,Viori Beauty,Hismile,862
LIVELY,Vegamour,Viori Beauty,Manduka,92
LIVELY,Vegamour,Viori Beauty,ILIA,39
LIVELY,Vegamour,Viori Beauty,For Days,31
LIVELY,Vegamour,Viori Beauty,Glamnetic,28
