brand,period,widget_loads,conv_count,ad_spend,cvr,cpa,rpl
Blueland,Post-Max,678599,1715,23701.010000000002,0.0025,13.82,0.035
Blueland,Pre-Max,348762,876,12503.9,0.0025,14.27,0.036
Dreamland Baby,Post-Max,410454,2152,25915.65,0.0052,12.04,0.063
Dreamland Baby,Pre-Max,504106,3981,43680.39,0.0079,10.97,0.087
HATCH,Post-Max,14863,77,1219.0,0.0052,15.83,0.082
HATCH,Pre-Max,369757,1858,31316.51,0.005,16.85,0.085
Kopari,Post-Max,643511,2808,31860.670000000002,0.0044,11.35,0.05
Kopari,Pre-Max,711238,3891,41749.74,0.0055,10.73,0.059
LIVELY,Post-Max,90386,115,2166.69,0.0013,18.84,0.024
LIVELY,Pre-Max,1336726,6478,69736.23000000001,0.0048,10.77,0.052
Lunya,Post-Max,99600,289,5571.38,0.0029,19.28,0.056
Lunya,Pre-Max,224952,688,13161.67,0.0031,19.13,0.059
Snuggle Me Organic,Post-Max,173218,937,14932.96,0.0054,15.94,0.086
Snuggle Me Organic,Pre-Max,218164,1179,20049.3,0.0054,17.01,0.092
Sol de Janeiro,Post-Max,942532,3976,42926.08,0.0042,10.8,0.046
Sol de Janeiro,Pre-Max,485683,2521,26281.73,0.0052,10.43,0.054
Surely Wines,Post-Max,3550,16,261.0,0.0045,16.31,0.074
Surely Wines,Pre-Max,231975,1179,19043.98,0.0051,16.15,0.082
True Botanicals,Post-Max,589489,1127,13355.77,0.0019,11.85,0.023
True Botanicals,Pre-Max,63960,128,1556.42,0.002,12.16,0.024
Tubby Todd Bath Co.,Post-Max,156149,753,12784.26,0.0048,16.98,0.082
Tubby Todd Bath Co.,Pre-Max,188092,1094,17016.879999999997,0.0058,15.55,0.09
vitruvi,Post-Max,3655,20,190.5,0.0055,9.52,0.052
vitruvi,Pre-Max,30196,127,1859.1,0.0042,14.64,0.062
