brand,pair_brand_1,pair_brand_2,event_count
Blueland,Sol de Janeiro,Viori Beauty,430
Blueland,Dropps,Viori Beauty,340
Blueland,Beachwaver,Sol de Janeiro,300
Blueland,Love in Faith,Viori Beauty,270
Blueland,Dropps,Tula Skincare,270
HATCH,Dagne Dover,Newton Baby,560
HATCH,Dagne Dover,Posh Peanut,220
HATCH,Newton Baby,Posh Peanut,210
HATCH,Dagne Dover,LIVELY,170
HATCH,Newton Baby,Willow Pumps,140
Kopari,Beachwaver,Sol de Janeiro,15030
Kopari,Caraway,For Days,2490
Kopari,Caraway,Gibsonlook,2120
Kopari,For Days,Gibsonlook,1860
Kopari,Sol de Janeiro,Tula Skincare,1820
LIVELY,Beachwaver,Sol de Janeiro,55630
LIVELY,Vegamour,Viori Beauty,22250
LIVELY,SolaWave,Vegamour,14740
LIVELY,Sol de Janeiro,SolaWave,14360
LIVELY,Dagne Dover,Sol de Janeiro,14350
Lunya,LIVELY,M.M.LaFleur,80
Lunya,Beachwaver,Vegamour,60
Lunya,LIVELY,Vegamour,60
Lunya,LIVELY,UNTUCKit,50
Lunya,Crown Affair,True Botanicals,50
Snuggle Me Organic,Love in Faith,Newton Baby,20
Snuggle Me Organic,Newton Baby,Tubby Todd Bath Co.,20
Snuggle Me Organic,Posh Peanut,Tubby Todd Bath Co.,20
Snuggle Me Organic,Love in Faith,Sol de Janeiro,10
Snuggle Me Organic,Newton Baby,Solly Baby,10
Sol de Janeiro,Beachwaver,Love in Faith,530660
Sol de Janeiro,Beyond Polish,Corpus Naturals,80440
Sol de Janeiro,Beachwaver,Tula Skincare,50990
Sol de Janeiro,Beyond Polish,Newton Baby,39340
Sol de Janeiro,Beachwaver,LIVELY,36390
Tubby Todd Bath Co.,Newton Baby,Snuggle Me Organic,20
Tubby Todd Bath Co.,Posh Peanut,Snuggle Me Organic,20
Tubby Todd Bath Co.,Love Your Melon,Posh Peanut,10
Tubby Todd Bath Co.,Love in Faith,Sol de Janeiro,10
Tubby Todd Bath Co.,Love in Faith,Tula Skincare,10
vitruvi,Beekman 1802,Sol de Janeiro,3
vitruvi,Dagne Dover,Sol de Janeiro,3
vitruvi,Beekman 1802,Vegamour,3
vitruvi,Blueland,Sol de Janeiro,2
vitruvi,Dagne Dover,UNTUCKit,2
