BRAND_NAME,"VERTICAL_DISPLAY_POSITION",BRAND_DISPLAYS,CONV,AD_SPEND
"Ursa Major",1,38108,71,1299.26
"Caden Lane",8,8179,10,170.00
"Laura Geller",6,4863,2,30.00
ezpz,8,1396,1,10.00
Vacation®,20,139,1,14.00
Manduka,6,1596,1,32.00
"August Uncommon Tea",40,35,1,20.00
"Alpyn Beauty",2,140,1,20.00
"Girlfriend Collective",8,1805,1,25.00
"jane iredale",37,175,1,5.00
Nodpod,0,101153,13,130.00
"Bokksu Market",1,526,3,45.00
"Posh Peanut",22,645,1,0.00
Lollipetals,14,23,1,22.00
"TUSOL Wellness",1,57,1,24.00
"Tini Lux",13,24,1,30.00
doublesoul,103,10,1,50.00
Bodily,0,94517,642,12212.00
NEIWAI,0,12080,72,1780.00
Divi,1,13136,36,1350.00
"Little Words Project",8,6645,7,95.00
woolino,18,104,1,5.00
"NOTO Botanics",0,693,7,70.00
"Faherty Brand",2,5502,15,85.00
12|12,0,222,9,90.00
LIVELY,9,2268,2,70.00
"Crown Affair",4,1827,3,49.30
"Dollar Shave Club",11,4016,2,35.00
Create,8,472,1,35.00
Beachwaver,8,3156,2,40.00
"Beyond Polish",41,71,1,8.00
Otteroo,3,3475,3,11.25
"Tubby Todd Bath Co.",23,258,1,15.00
BlendJet,23,160,1,5.00
Shinesty,14,1256,1,20.00
"Hedley & Bennett",0,36011,57,1693.83
"Ursa Major",2,34688,36,819.80
"My Girl Wellness",1,300,4,8.00
"Dr. Squatch",4,29408,18,136.00
Dame,5,1032,2,70.00
Bala,26,797,1,10.00
Vacation®,41,38,1,14.00
"SACHEU Beauty",0,1095,2,14.00
Licorice,17,377,2,25.00
"Bokksu Market",4,153,1,15.00
"Willow Pumps",4,11056,7,240.00
"Hello Cake",2,657,1,25.00
"Caden Lane",13,909,2,40.00
Licorice,21,526,1,25.00
Snowyskin,44,33,1,40.00
"Moby Wrap",1,467,1,8.00
Coterie,11,785,4,33.00
DEUX,2,2224,3,45.00
"Aura Bora",1,1663,4,80.00
"Beyond Polish",5,11265,2,8.00
"Luca Faloni",21,88,1,25.00
Moonglow,1,79949,165,3050.00
UNTUCKit,3,7198,4,120.00
"Ami Colé",0,1493,18,165.00
"D.S. & Durga",3,3140,3,120.00
"Sunday Citizen",1,23831,11,670.00
"Consciously Baby",0,817,13,160.00
"Snuggle Me Organic",14,305,1,20.00
"Hedley & Bennett",18,269,1,40.00
"Boie USA",1,2458,4,29.00
Ashlen,0,2498,3,30.00
"Corpus Naturals",1,19181,5,95.00
Bandier,7,108,1,25.00
"True Botanicals",61,10,2,30.00
Bodily,14,421,1,12.00
"Boie USA",19,208,1,5.00
Rains,45,23,1,28.00
Bala,12,421,13,105.00
Bala,2,8803,14,130.00
SortJoy,54,18,1,70.00
Create,26,91,1,15.00
"INH Hair",126,4,1,40.00
Vegamour,15,1575,1,0.00
