"DATE","CONSUMER_HASH","COOKIE_HASH","DEVICE_IDENTIFIER_HASH","DIRECT_EMAIL_MATCH","ORDER_MAPPING_HASH"
"2024-02-01",0.585014,0.360231,0.279539,0.783862,0.567723
"2024-02-02",0.589286,0.294643,0.247024,0.830357,0.547619
"2024-02-03",0.619318,0.338068,0.221591,0.832386,0.588068
"2024-02-04",0.652819,0.37092,0.267062,0.813056,0.62908
"2024-02-05",0.636364,0.335227,0.255682,0.832386,0.579545
"2024-02-06",0.613924,0.329114,0.246835,0.829114,0.56962
"2024-02-07",0.641026,0.352564,0.272436,0.810897,0.583333
"2024-02-08",0.600592,0.357988,0.260355,0.795858,0.60355
"2024-02-09",0.688347,0.368564,0.254743,0.845528,0.642276
"2024-02-10",0.674286,0.348571,0.311429,0.811429,0.602857
"2024-02-11",0.733173,0.384615,0.247596,0.858173,0.663462
"2024-02-12",0.671388,0.351275,0.212465,0.875354,0.589235
"2024-02-13",0.65252,0.323607,0.302387,0.811671,0.538462
"2024-02-14",0.661905,0.357143,0.257143,0.790476,0.580952
"2024-02-15",0.704327,0.350962,0.240385,0.84375,0.605769
"2024-02-16",0.719836,0.341513,0.196319,0.871166,0.611452
"2024-02-17",0.663774,0.32538,0.284165,0.815618,0.566161
"2024-02-18",0.672764,0.337398,0.254065,0.839431,0.591463
"2024-02-19",0.665414,0.332707,0.274436,0.843985,0.565789
"2024-02-20",0.653101,0.343023,0.290698,0.819767,0.554264
"2024-02-21",0.7,0.346512,0.209302,0.865116,0.586047
"2024-02-22",0.678733,0.361991,0.223982,0.821267,0.595023
"2024-02-23",0.663391,0.390663,0.206388,0.862408,0.567568
"2024-02-24",0.677419,0.330645,0.266129,0.860887,0.574597
"2024-02-25",0.709957,0.361472,0.218615,0.844156,0.625541
"2024-02-26",0.648915,0.313609,0.236686,0.857988,0.518738
"2024-02-27",0.684211,0.355789,0.242105,0.831579,0.570526
"2024-02-28",0.651769,0.344507,0.232775,0.808194,0.553073
"2024-02-29",0.678275,0.343284,0.230514,0.822554,0.567164
"2024-03-01",0.659574,0.368085,0.234043,0.808511,0.538298
"2024-03-02",0.641577,0.360215,0.200717,0.759857,0.634409
"2024-03-03",0.722611,0.370629,0.230769,0.846154,0.589744
"2024-03-04",0.703704,0.377315,0.175926,0.840278,0.608796
"2024-03-05",0.675439,0.337719,0.212719,0.826754,0.548246
"2024-03-06",0.688372,0.37907,0.202326,0.846512,0.54186
"2024-03-07",0.636971,0.363029,0.244989,0.7951,0.55902
"2024-03-08",0.629555,0.313765,0.224696,0.775304,0.548583
"2024-03-09",0.672646,0.32287,0.233184,0.807175,0.578475
"2024-03-10",0.679335,0.342043,0.230404,0.807601,0.56057
"2024-03-11",0.648961,0.351039,0.193995,0.842956,0.591224
"2024-03-12",0.65099,0.351485,0.252475,0.79703,0.571782
"2024-03-13",0.685504,0.341523,0.250614,0.820639,0.579853
"2024-03-14",0.645161,0.281106,0.260369,0.790323,0.534562
"2024-03-15",0.645872,0.324771,0.209174,0.811009,0.570642
"2024-03-16",0.662309,0.335512,0.213508,0.812636,0.559913
"2024-03-17",0.713974,0.364629,0.209607,0.847162,0.558952
"2024-03-18",0.686907,0.335863,0.227704,0.804554,0.612903
"2024-03-19",0.668981,0.282407,0.138889,0.863426,0.546296
"2024-03-20",0.684086,0.344418,0.163895,0.857482,0.555819
"2024-03-21",0.707317,0.353659,0.143902,0.873171,0.578049
"2024-03-22",0.681818,0.303828,0.157895,0.84689,0.538278
"2024-03-23",0.689498,0.317352,0.189498,0.840183,0.582192
"2024-03-24",0.735084,0.374702,0.188544,0.887828,0.618138
"2024-03-25",0.71393,0.373134,0.154229,0.910448,0.604478
"2024-03-26",0.720222,0.32687,0.168975,0.880886,0.567867
"2024-03-27",0.748705,0.367876,0.160622,0.888601,0.569948
"2024-03-28",0.7,0.356818,0.193182,0.872727,0.556818
"2024-03-29",0.67602,0.367347,0.145408,0.895408,0.55102
"2024-03-30",0.710106,0.340426,0.170213,0.87766,0.539894
"2024-03-31",0.714706,0.326471,0.182353,0.9,0.597059
"2024-04-01",0.688279,0.339152,0.219451,0.860349,0.351621
"2024-04-02",0.695853,0.345622,0.193548,0.870968,0.389401
"2024-04-03",0.695906,0.330409,0.190058,0.877193,0.365497
"2024-04-04",0.682065,0.339674,0.206522,0.88587,0.410326
"2024-04-05",0.67867,0.301939,0.174515,0.861496,0.421053
"2024-04-06",0.682415,0.346457,0.209974,0.860892,0.498688
"2024-04-07",0.757143,0.34,0.137143,0.92,0.494286
"2024-04-08",0.710526,0.361244,0.179426,0.885167,0.490431
"2024-04-09",0.680217,0.341463,0.197832,0.864499,0.490515
"2024-04-10",0.775309,0.382716,0.185185,0.898765,0.540741
"2024-04-11",0.778571,0.328571,0.147619,0.916667,0.52619
"2024-04-12",0.765116,0.372093,0.109302,0.944186,0.553488
"2024-04-13",0.761021,0.345708,0.12529,0.955916,0.512761
"2024-04-14",0.70801,0.30491,0.129199,0.925065,0.51938
"2024-04-15",0.685139,0.324937,0.095718,0.942065,0.541562
"2024-04-16",0.745238,0.316667,0.130952,0.928571,0.52381
"2024-04-17",0.731051,0.332518,0.132029,0.929095,0.572127
"2024-04-18",0.612111,0.289689,0.111293,0.927987,0.456628
"2024-04-19",0.733032,0.339367,0.113122,0.927602,0.588235
"2024-04-20",0.74382,0.301124,0.137079,0.923596,0.575281
"2024-04-21",0.754678,0.326403,0.130977,0.923077,0.582121
"2024-04-22",0.699634,0.307692,0.119048,0.92674,0.514652
"2024-04-23",0.551532,0.247911,0.097493,0.94429,0.423398
