DATE,EVENT_CLASSIFICATION,CUSTOMER_TYPE,WIDGET_TYPE,ATTRIBUTION_METHOD,CONV_COUNT
2024-01-01,display,returning,,consumer_hash,105
2024-01-01,click,new,,order_mapping_hash,30
2024-01-01,display,new,,order_mapping_hash,169
2024-01-01,click,new,,cookie_hash,18
2024-01-01,display,lapsed,,consumer_hash,12
2024-01-01,display,lapsed,,cookie_hash,5
2024-01-01,display,new,,device_identifier_hash,25
2024-01-01,click,returning,,consumer_hash,7
2024-01-01,display,returning,,direct_email_match,128
2024-01-01,display,returning,,cookie_hash,55
2024-01-01,display,new,,consumer_hash,87
2024-01-01,click,returning,,order_mapping_hash,8
2024-01-01,display,returning,,order_mapping_hash,156
2024-01-01,display,new,,cookie_hash,47
2024-01-01,click,new,,consumer_hash,30
2024-01-01,click,returning,,direct_email_match,10
2024-01-01,display,new,,direct_email_match,111
2024-01-01,click,new,,device_identifier_hash,28
2024-01-01,click,lapsed,,direct_email_match,1
2024-01-01,display,returning,,device_identifier_hash,16
2024-01-01,display,lapsed,,device_identifier_hash,2
2024-01-01,click,new,,direct_email_match,31
2024-01-01,click,returning,,cookie_hash,6
2024-01-01,display,lapsed,,direct_email_match,14
2024-01-01,click,returning,,device_identifier_hash,5
2024-01-01,display,lapsed,,order_mapping_hash,14
2024-01-02,click,new,,cookie_hash,11
2024-01-02,display,returning,,order_mapping_hash,141
2024-01-02,display,lapsed,,consumer_hash,15
2024-01-02,display,new,,cookie_hash,67
2024-01-02,display,lapsed,,direct_email_match,21
2024-01-02,display,lapsed,,order_mapping_hash,16
2024-01-02,display,returning,,cookie_hash,54
2024-01-02,click,returning,,cookie_hash,6
2024-01-02,display,new,,direct_email_match,129
2024-01-02,click,returning,,consumer_hash,6
2024-01-02,click,returning,,direct_email_match,6
2024-01-02,display,new,,consumer_hash,118
2024-01-02,click,returning,,order_mapping_hash,8
2024-01-02,display,lapsed,,cookie_hash,8
2024-01-02,click,new,,direct_email_match,30
2024-01-02,click,new,,consumer_hash,27
2024-01-02,display,returning,,device_identifier_hash,19
2024-01-02,click,lapsed,,consumer_hash,1
2024-01-02,click,new,,order_mapping_hash,24
2024-01-02,click,lapsed,,device_identifier_hash,2
2024-01-02,display,returning,,direct_email_match,132
2024-01-02,click,lapsed,,order_mapping_hash,2
2024-01-02,display,new,,device_identifier_hash,35
2024-01-02,click,new,,device_identifier_hash,27
2024-01-02,display,lapsed,,device_identifier_hash,3
2024-01-02,display,new,,order_mapping_hash,182
2024-01-02,display,returning,,consumer_hash,102
2024-01-02,click,lapsed,,direct_email_match,2
2024-01-02,click,returning,,device_identifier_hash,6
2024-01-03,click,returning,,order_mapping_hash,10
2024-01-03,display,new,,order_mapping_hash,133
2024-01-03,click,returning,,device_identifier_hash,5
2024-01-03,click,lapsed,,consumer_hash,5
2024-01-03,click,new,,consumer_hash,29
2024-01-03,click,new,,order_mapping_hash,29
2024-01-03,display,returning,,device_identifier_hash,26
2024-01-03,click,returning,,direct_email_match,10
2024-01-03,display,lapsed,,device_identifier_hash,1
2024-01-03,display,new,,consumer_hash,74
2024-01-03,display,new,,direct_email_match,96
2024-01-03,display,lapsed,,order_mapping_hash,16
2024-01-03,display,returning,,order_mapping_hash,180
2024-01-03,display,lapsed,,consumer_hash,11
2024-01-03,click,lapsed,,order_mapping_hash,5
2024-01-03,click,new,,cookie_hash,18
2024-01-03,click,new,,device_identifier_hash,31
2024-01-03,click,returning,,consumer_hash,10
2024-01-03,click,lapsed,,direct_email_match,5
2024-01-03,display,new,,cookie_hash,39
2024-01-03,click,lapsed,,cookie_hash,3
2024-01-03,display,returning,,cookie_hash,65
2024-01-03,display,returning,,consumer_hash,125
2024-01-03,click,lapsed,,device_identifier_hash,4
2024-01-03,display,new,,device_identifier_hash,29
2024-01-03,display,lapsed,,cookie_hash,8
2024-01-03,click,new,,direct_email_match,34
2024-01-03,display,returning,,direct_email_match,159
2024-01-03,display,lapsed,,direct_email_match,14
2024-01-03,click,returning,,cookie_hash,4
2024-01-04,click,returning,,device_identifier_hash,4
2024-01-04,click,lapsed,,order_mapping_hash,2
2024-01-04,display,lapsed,,direct_email_match,8
2024-01-04,click,new,,cookie_hash,14
2024-01-04,display,lapsed,,cookie_hash,1
2024-01-04,click,new,,direct_email_match,31
2024-01-04,display,returning,,device_identifier_hash,34
2024-01-04,click,returning,,order_mapping_hash,6
2024-01-04,display,lapsed,,consumer_hash,4
2024-01-04,click,returning,,consumer_hash,6
2024-01-04,click,lapsed,,direct_email_match,2
2024-01-04,click,lapsed,,cookie_hash,2
2024-01-04,display,returning,,direct_email_match,138
2024-01-04,display,new,,consumer_hash,77
2024-01-04,display,returning,,cookie_hash,53
2024-01-04,display,returning,,order_mapping_hash,155
2024-01-04,click,new,,consumer_hash,28
2024-01-04,display,new,,cookie_hash,43
2024-01-04,click,lapsed,,device_identifier_hash,1
2024-01-04,click,returning,,cookie_hash,3
2024-01-04,click,returning,,direct_email_match,8
2024-01-04,display,lapsed,,device_identifier_hash,1
2024-01-04,display,new,,direct_email_match,91
2024-01-04,click,new,,device_identifier_hash,23
2024-01-04,display,new,,device_identifier_hash,41
2024-01-04,display,new,,order_mapping_hash,156
2024-01-04,click,new,,order_mapping_hash,28
2024-01-04,click,lapsed,,consumer_hash,2
