EVENT_DATE,"IDENTITY_SERVICE_NOT_FIRED_RATE","IDENTITY_SERVICE_NOT_FIRED_AVG"
2024-01-01,0.0019,0.001935000
2024-01-02,0.0015,0.001717500
2024-01-03,0.0019,0.001773000
2024-01-04,0.0037,0.002249250
2024-01-05,0.0016,0.002126000
2024-01-06,0.0016,0.002032000
2024-01-07,0.0018,0.001997857
2024-01-08,0.0017,0.001967857
2024-01-09,0.0018,0.002011000
2024-01-10,0.0017,0.001984428
2024-01-11,0.0018,0.001719285
2024-01-12,0.0018,0.001740000
2024-01-13,0.0018,0.001772000
2024-01-14,0.0017,0.001757714
2024-01-15,0.0016,0.001736000
2024-01-16,0.0017,0.001725714
2024-01-17,0.0021,0.001777142
2024-01-18,0.0019,0.001787142
2024-01-19,0.0019,0.001811428
2024-01-20,0.0018,0.001820142
2024-01-21,0.0019,0.001852000
2024-01-22,0.0016,0.001855285
2024-01-23,0.0017,0.001851285
2024-01-24,0.0065,0.002490285
2024-01-25,0.0033,0.002689714
2024-01-26,0.0018,0.002674428
2024-01-27,0.0017,0.002647000
2024-01-28,0.0018,0.002629142
2024-01-29,0.0018,0.002656714
2024-01-30,0.0057,0.003221714
2024-01-31,0.0014,0.002492142
2024-02-01,0.0048,0.002703714
2024-02-02,0.0074,0.003503571
2024-02-03,0.0092,0.004575428
2024-02-04,0.0041,0.004898571
2024-02-05,0.0021,0.004940428
2024-02-06,0.0018,0.004389000
2024-02-07,0.0018,0.004445142
2024-02-08,0.0023,0.004090571
2024-02-09,0.0097,0.004415571
2024-02-10,0.0071,0.004119857
2024-02-11,0.0054,0.004312714
2024-02-12,0.0056,0.004817142
2024-02-13,0.0039,0.005112571
2024-02-14,0.0017,0.005101000
2024-02-15,0.0017,0.005019571
2024-02-16,0.0018,0.003893857
2024-02-17,0.0020,0.003173000
2024-02-18,0.0019,0.002666428
2024-02-19,0.0017,0.002104285
2024-02-20,0.0017,0.001791571
2024-02-21,0.0015,0.001754714
2024-02-22,0.0014,0.001704285
2024-02-23,0.0014,0.001644428
2024-02-24,0.0016,0.001577142
2024-02-25,0.0016,0.001538428
2024-02-26,0.0015,0.001508285
2024-02-27,0.0019,0.001536285
2024-02-28,0.0015,0.001537000
2024-02-29,0.0017,0.001589857
2024-03-01,0.0018,0.001650857
2024-03-02,0.0019,0.001700000
2024-03-03,0.0016,0.001700571
2024-03-04,0.0016,0.001725000
2024-03-05,0.0016,0.001692571
2024-03-06,0.0018,0.001732714
2024-03-07,0.0021,0.001791571
2024-03-08,0.0020,0.001821000
2024-03-09,0.0019,0.001822571
2024-03-10,0.0020,0.001877142
2024-03-11,0.0018,0.001904714
2024-03-12,0.0018,0.001932857
2024-03-13,0.0021,0.001977000
2024-03-14,0.0024,0.002016571
2024-03-15,0.0021,0.002024571
2024-03-16,0.0018,0.002001857
2024-03-17,0.0020,0.001999285
2024-03-18,0.0017,0.001980285
2024-03-19,0.0017,0.001965000
2024-03-20,0.0016,0.001892142
2024-03-21,0.0016,0.001777000
2024-03-22,0.0019,0.001750142
2024-03-23,0.0022,0.001816857
2024-03-24,0.0022,0.001855714
2024-03-25,0.0017,0.001861285
2024-03-26,0.0021,0.001907714
2024-03-27,0.0024,0.002028142
2024-03-28,0.0029,0.002211428
2024-03-29,0.0029,0.002349714
2024-03-30,0.0028,0.002426000
2024-03-31,0.0024,0.002453714
2024-04-01,0.0021,0.002510000
2024-04-02,0.0019,0.002484857
2024-04-03,0.0020,0.002430571
2024-04-04,0.0020,0.002299857
2024-04-05,0.0024,0.002236000
2024-04-06,0.0018,0.002095428
2024-04-07,0.0019,0.002021714
2024-04-08,0.0029,0.002128142
2024-04-09,0.0018,0.002110285
2024-04-10,0.0019,0.002089000
2024-04-11,0.0017,0.002044000
2024-04-12,0.0018,0.001957857
2024-04-13,0.0019,0.001981428
2024-04-14,0.0018,0.001960714
2024-04-15,0.0020,0.001830857
2024-04-16,0.0017,0.001824285
2024-04-17,0.0019,0.001827857
2024-04-18,0.0023,0.001916142
2024-04-19,0.0019,0.001930285
2024-04-20,0.0020,0.001938857
2024-04-21,0.0022,0.002007000
2024-04-22,0.0024,0.002071428
2024-04-23,0.0536,0.009481571
2024-04-24,0.0063,0.010106857
2024-04-25,0.0021,0.010079000
2024-04-26,0.0024,0.010147571
2024-04-27,0.0022,0.010171285
2024-04-28,0.0019,0.010126857
2024-04-29,0.0020,0.010071142
2024-04-30,0.0021,0.002714571
2024-05-01,0.0022,0.002132714
