"DATE","LOADS","ZERODAY_CONV","ZERODAY_AD_SPEND","ALL_CONV","ALL_AD_SPEND","ZERODAY_RPL","ALL_RPL"
"2024-01-01","107682","102",2520.31,"787",16782.15,0.023,0.156
"2024-01-02","141546","141",3482.71,"1071",20818.38,0.025,0.147
"2024-01-03","149924","130",3134.31,"1196",19540.06,0.021,0.13
"2024-01-04","156062","150",2740.71,"1275",19769.72,0.018,0.127
"2024-01-05","148388","165",3302.72,"1157",18567.45,0.022,0.125
"2024-01-06","137815","159",2847.18,"969",15282.47,0.021,0.111
"2024-01-07","122351","157",2768.76,"937",13948.74,0.023,0.114
"2024-01-08","138726","129",2283.26,"1036",16044.25,0.016,0.116
"2024-01-09","141175","126",2229.66,"986",14620.31,0.016,0.104
"2024-01-10","123897","100",2337.58,"986",14883.66,0.019,0.12
"2024-01-11","129819","108",1801,"870",12891.44,0.014,0.099
"2024-01-12","123973","128",2673.59,"975",14123.67,0.022,0.114
"2024-01-13","109368","113",2170.67,"832",11535.74,0.02,0.105
"2024-01-14","99376","113",1755.76,"734",9462.74,0.018,0.095
"2024-01-15","117171","115",1445.01,"950",12255.25,0.012,0.105
"2024-01-16","138393","153",1910.51,"1171",16878.26,0.014,0.122
"2024-01-17","128967","114",1874.5,"1135",14552.42,0.015,0.113
"2024-01-18","123837","133",2050,"1141",16293.27,0.017,0.132
"2024-01-19","121876","162",3080.98,"1126",19817.2,0.025,0.163
"2024-01-20","112840","144",2512.03,"1063",20430.31,0.022,0.181
"2024-01-21","105098","144",2424.02,"1106",17949.37,0.023,0.171
"2024-01-22","133064","180",3249.51,"1303",23586.72,0.024,0.177
"2024-01-23","121257","131",2533.76,"1094",21507.89,0.021,0.177
"2024-01-24","106736","119",2438,"874",17725.43,0.023,0.166
"2024-01-25","110000","102",1966.93,"783",14545.1,0.018,0.132
"2024-01-26","115876","118",2142.96,"850",14954.87,0.018,0.129
"2024-01-27","101736","99",2254.77,"919",17363.42,0.022,0.171
"2024-01-28","92869","132",3052.01,"802",16794.94,0.033,0.181
"2024-01-29","114820","116",2269.76,"952",18810.53,0.02,0.164
"2024-01-30","115287","107",2433.01,"914",18679.34,0.021,0.162
"2024-01-31","116053","141",2939.71,"995",20477.19,0.025,0.176
"2024-02-01","110589","138",2938.85,"1029",19952.4,0.027,0.18
"2024-02-02","100318","121",2811.26,"1060",19261.8,0.028,0.192
"2024-02-03","94554","123",2957.25,"997",20199.9,0.031,0.214
"2024-02-04","88052","124",2671.82,"883",16709.87,0.03,0.19
"2024-02-05","111660","132",2924.96,"1022",18203.07,0.026,0.163
"2024-02-06","114912","108",2353,"1086",19812.01,0.02,0.172
"2024-02-07","108114","139",2976.32,"1128",20697.42,0.028,0.191
"2024-02-08","119699","132",2685.96,"1031",17770.85,0.022,0.148
"2024-02-09","113252","152",3134.71,"1070",18169.37,0.028,0.16
"2024-02-10","107551","182",4190.58,"1167",19323.09,0.039,0.18
"2024-02-11","98679","146",3197.49,"970",15594.81,0.032,0.158
"2024-02-12","119423","134",2287.49,"1139",16548.96,0.019,0.139
"2024-02-13","128060","159",2749,"1346",19967.8,0.021,0.156
"2024-02-14","124635","169",2678.8,"1244",17563.55,0.021,0.141
"2024-02-15","121316","149",2459.86,"1156",16689.92,0.02,0.138
"2024-02-16","134348","194",2745.99,"1280",16873.97,0.02,0.126
"2024-02-17","127617","222",3580.55,"1294",18374.35,0.028,0.144
"2024-02-18","116626","200",3435.07,"1166",17110.59,0.029,0.147
"2024-02-19","142157","225",3698.85,"1428",19180.44,0.026,0.135
"2024-02-20","150085","218",3425.79,"1354",18937.73,0.023,0.126
"2024-02-21","143664","159",2286.02,"1219",16989.55,0.016,0.118
"2024-02-22","151378","153",1895.97,"1114",14672.25,0.013,0.097
"2024-02-23","167867","131",1642.44,"1147",15031.23,0.01,0.09
"2024-02-24","150665","177",2786.73,"1088",14667.99,0.018,0.097
"2024-02-25","131577","148",1873.95,"939",11603.74,0.014,0.088
"2024-02-26","161364","164",2232.83,"1274",15911.58,0.014,0.099
"2024-02-27","166131","162",1894,"1149",14778.28,0.011,0.089
"2024-02-28","168966","176",1691.72,"1272",16051.13,0.01,0.095
"2024-02-29","169520","215",2519.7,"1323",18278.82,0.015,0.108
"2024-03-01","154017","157",2596.84,"1181",16876.41,0.017,0.11
"2024-03-02","153487","168",2663.12,"1158",18430.19,0.017,0.12
"2024-03-03","125065","138",2247.62,"943",14020.37,0.018,0.112
"2024-03-04","154322","123",2069.29,"1134",16614.12,0.013,0.108
"2024-03-05","154808","135",1991.99,"1448",19341.03,0.013,0.125
"2024-03-06","151295","139",1896.18,"1590",19301.87,0.013,0.128
"2024-03-07","152841","182",2576.7,"1605",19929.2,0.017,0.13
"2024-03-08","148748","186",2618.75,"1487",17756.36,0.018,0.119
"2024-03-09","142117","158",2346.01,"1346",17443.67,0.017,0.123
"2024-03-10","120085","157",2336.81,"961",11799.11,0.019,0.098
"2024-03-11","144577","151",1855.12,"1220",15174.1,0.013,0.105
"2024-03-12","142119","153",1939.61,"1209",14594.87,0.014,0.103
"2024-03-13","147552","171",2600.38,"1474",18124.33,0.018,0.123
"2024-03-14","152778","185",2303.04,"1536",17066.72,0.015,0.112
"2024-03-15","150652","188",2426.29,"1437",17337.16,0.016,0.115
"2024-03-16","132383","171",2526.2,"1369",14958.96,0.019,0.113
"2024-03-17","122765","176",2382.01,"1323",14892.83,0.019,0.121
"2024-03-18","149947","186",2380.1,"1795",15956.81,0.016,0.106
"2024-03-19","143923","117",1710.98,"1084",15270.62,0.012,0.106
"2024-03-20","143773","116",2050.12,"1020",14847.08,0.014,0.103
"2024-03-21","136480","107",1531.11,"969",13731.73,0.011,0.101
"2024-03-22","131852","121",2137.01,"888",14022.87,0.016,0.106
