"DATE","LOADS","ZERODAY_CONV","ZERODAY_ADSPEND","ZERODAY_NEW_CONV","ZERODAY_NEW_ADSPEND","ALL_CONV","ALL_AD_SPEND","ZERODAY_NEW_CONV_PERCENT","ZERODAY_RPL","ZERODAY_NEW_RPL","ALL_RPL"
"2024-01-01","107682","102",2520.31,"67",2042.3,"787",16782.15,0.66,0.023,0.019,0.156
"2024-01-02","141546","141",3482.71,"86",2767.42,"1071",20818.38,0.61,0.025,0.02,0.147
"2024-01-03","149924","130",3134.31,"74",2479.59,"1196",19540.06,0.57,0.021,0.017,0.13
"2024-01-04","156062","150",2740.71,"78",1894.74,"1275",19769.72,0.52,0.018,0.012,0.127
"2024-01-05","148388","165",3302.72,"93",2479.75,"1157",18567.45,0.56,0.022,0.017,0.125
"2024-01-06","137815","159",2847.18,"81",1977.18,"969",15282.47,0.51,0.021,0.014,0.111
"2024-01-07","122351","157",2768.76,"80",2064.79,"937",13948.74,0.51,0.023,0.017,0.114
"2024-01-08","138726","129",2283.26,"68",1888.29,"1036",16044.25,0.53,0.016,0.014,0.116
"2024-01-09","141175","126",2229.66,"72",1731.66,"986",14620.31,0.57,0.016,0.012,0.104
"2024-01-10","123897","100",2337.58,"58",1970.58,"986",14883.66,0.58,0.019,0.016,0.12
"2024-01-11","129819","108",1801,"56",1339,"870",12891.44,0.52,0.014,0.01,0.099
"2024-01-12","123973","128",2673.59,"82",2186.59,"975",14123.67,0.64,0.022,0.018,0.114
"2024-01-13","109368","113",2170.67,"76",1714.67,"832",11535.74,0.67,0.02,0.016,0.105
"2024-01-14","99376","113",1755.76,"60",1307.76,"734",9462.74,0.53,0.018,0.013,0.095
"2024-01-15","117171","115",1445.01,"53",962.01,"950",12255.25,0.46,0.012,0.008,0.105
"2024-01-16","138393","153",1910.51,"82",1504.5,"1171",16878.26,0.54,0.014,0.011,0.122
"2024-01-17","128967","114",1874.5,"66",1612.5,"1135",14552.42,0.58,0.015,0.013,0.113
"2024-01-18","123837","133",2050,"70",1511,"1141",16293.27,0.53,0.017,0.012,0.132
"2024-01-19","121876","162",3080.98,"98",2637.01,"1126",19817.2,0.6,0.025,0.022,0.163
"2024-01-20","112840","144",2512.03,"82",1997.01,"1063",20430.31,0.57,0.022,0.018,0.181
"2024-01-21","105098","144",2424.02,"81",2141.01,"1106",17949.37,0.56,0.023,0.02,0.171
"2024-01-22","133064","180",3249.51,"99",2496.76,"1303",23586.72,0.55,0.024,0.019,0.177
"2024-01-23","121257","131",2533.76,"72",1741.76,"1094",21507.89,0.55,0.021,0.014,0.177
"2024-01-24","106736","119",2438,"62",1755,"874",17725.43,0.52,0.023,0.016,0.166
"2024-01-25","110000","102",1966.93,"58",1454,"783",14545.1,0.57,0.018,0.013,0.132
"2024-01-26","115876","118",2142.96,"64",1548,"850",14954.87,0.54,0.018,0.013,0.129
"2024-01-27","101736","99",2254.77,"61",1824.77,"919",17363.42,0.62,0.022,0.018,0.171
"2024-01-28","92869","132",3052.01,"80",2461,"802",16794.94,0.61,0.033,0.026,0.181
"2024-01-29","114820","116",2269.76,"66",1813.76,"952",18810.53,0.57,0.02,0.016,0.164
"2024-01-30","115287","107",2433.01,"70",2127.01,"914",18679.34,0.65,0.021,0.018,0.162
"2024-01-31","116053","141",2939.71,"79",2199.7,"995",20477.19,0.56,0.025,0.019,0.176
"2024-02-01","110589","138",2938.85,"75",2211.87,"1029",19952.4,0.54,0.027,0.02,0.18
"2024-02-02","100318","121",2811.26,"76",2323.25,"1060",19261.8,0.63,0.028,0.023,0.192
"2024-02-03","94554","123",2957.25,"81",2375.25,"997",20199.9,0.66,0.031,0.025,0.214
"2024-02-04","88052","124",2671.82,"63",1875,"883",16709.87,0.51,0.03,0.021,0.19
"2024-02-05","111660","132",2924.96,"75",2201,"1022",18203.07,0.57,0.026,0.02,0.163
"2024-02-06","114912","108",2353,"63",1908,"1086",19812.01,0.58,0.02,0.017,0.172
"2024-02-07","108114","139",2976.32,"77",2227.89,"1128",20697.42,0.55,0.028,0.021,0.191
"2024-02-08","119699","132",2685.96,"62",2005.26,"1031",17770.85,0.47,0.022,0.017,0.148
