event_date,rpl_actual_pct_change,rpl_lr_pred_model_pct_change,rpl_rf_pred_model_pct_change,rpl_xg_pred_model_pct_change,ad_spend_actual_pct_change,ad_spend_lr_pred_model_pct_change,ad_spend_rf_pred_model_pct_change
2024-03-02,0.0,0.193,0.012,0.014000000432133675,-0.008,0.129,0.01
2024-03-03,,,,,0.046,-0.132,-0.015
2024-03-04,,,,,-0.088,0.059,
2024-03-05,0.067,-0.011,,,,,
2024-03-07,-0.048,0.061,0.015,,-0.068,0.019,0.003
2024-03-08,,,,,-0.021,0.015,
2024-03-10,0.0,-0.007,0.02,0.03200000151991844,,,
2024-03-12,0.0,0.108,0.009,0.03500000014901161,,,
2024-03-13,0.182,-0.067,-0.005,,0.223,-0.021,
2024-03-15,0.0,0.037,0.008,0.04600000008940697,-0.032,0.023,0.02
2024-03-17,-0.04,0.049,0.014,0.02500000037252903,,,
2024-03-19,,,,,0.035,,-0.016
2024-03-20,0.0,0.03,0.004,0.003000000026077032,-0.052,0.007,0.003
2024-03-21,,,,,0.11,-0.094,-0.003
2024-03-26,0.043,-0.015,,,0.071,-0.007,-0.006
2024-03-27,-0.042,0.031,0.004,0.014000000432133675,,,
2024-03-30,0.0,-0.013,0.033,0.006000000052154064,,,
2024-03-31,,,,,-0.007,0.019,
2024-04-02,,,,,-0.017,,0.001
2024-04-03,,,,,-0.016,0.025,
2024-04-07,0.0,-0.044,-0.02,-0.026000000536441803,,,
2024-04-08,,,,,-0.013,,0.023
2024-04-10,0.036,,-0.028,,,,
2024-04-12,,,,,0.027,,-0.01
2024-04-16,-0.095,,0.009,0.03700000047683716,-0.026,0.006,0.002
2024-04-17,0.421,,-0.006,,,,
2024-04-18,,,,,-0.189,0.052,
2024-04-20,,,,,0.004,-0.046,-0.027
2024-04-21,,,,,0.022,-0.014,-0.026
2024-04-23,-0.167,,0.024,0.04800000041723251,,,
2024-04-24,0.28,,-0.04,-0.08799999952316284,,,
2024-04-25,0.0,0.123,0.041,0.023000000044703484,-0.023,0.107,0.012
2024-04-26,0.0,-0.062,-0.034,0.02500000037252903,,,
2024-04-27,0.0,-0.095,0.034,0.07100000232458115,,,
