source_date,month,brand,event_classification,customer_type,conv_count,ad_spend,rank
2024-02-01,2,Tower 28 Beauty,display,returning,2,10,79
2024-02-01,2,Sol de Janeiro,display,new,9,180,6
2024-02-01,2,Tushbaby,click,new,1,18,41
2024-02-01,2,SolaWave,display,returning,2,20,40
2024-02-01,2,Lunya,display,new,1,100,33
2024-02-01,2,Little Words Project,display,new,1,15,26
2024-02-01,2,Caraway,display,new,1,70,2
2024-02-01,2,Coterie,display,returning,1,0,29
2024-02-01,2,Dagne Dover,display,lapsed,1,30,8
2024-02-01,2,Liquid I.V.,display,new,9,315,9
2024-02-01,2,For Days,display,returning,3,45,14
2024-02-01,2,Wolf & Shepherd,click,lapsed,1,50,21
2024-02-01,2,My Medic,display,returning,1,10,122
2024-02-01,2,Curie,display,returning,1,5,97
2024-02-01,2,Liquid I.V.,click,new,3,105,9
2024-02-01,2,Beginning Boutique,click,returning,1,10,93
2024-02-01,2,Coterie,display,new,8,132,29
2024-02-01,2,Gathre,display,returning,1,20,44
2024-02-01,2,jane iredale,display,lapsed,1,20,49
2024-02-01,2,MantraBand,click,returning,1,10,114
2024-02-01,2,Glamnetic,display,new,3,90,15
2024-02-01,2,Siblings,click,returning,1,10,120
2024-02-01,2,Evereden,display,returning,2,30,74
2024-02-01,2,Otteroo,display,returning,1,2,178
2024-02-01,2,True Classic,click,returning,1,0,3
2024-02-01,2,Ursa Major,click,returning,1,9.98,27
2024-02-01,2,Glamnetic,click,new,1,30,15
2024-02-01,2,Nanit,display,new,3,150,7
2024-02-01,2,Saranoni Luxury Blankets,display,returning,1,10,75
2024-02-01,2,Caden Lane,display,lapsed,2,64,1
2024-02-01,2,Dreamland Baby,display,returning,1,0,22
2024-02-01,2,Ursa Major,display,returning,2,19.96,27
2024-02-01,2,Liquid I.V.,display,returning,7,0,9
2024-02-01,2,Homesick Candles,display,new,1,23.87,106
2024-02-01,2,QALO,display,lapsed,1,7.1,132
2024-02-01,2,SPONGELLE,display,returning,2,30,52
2024-02-01,2,Solly Baby,display,new,1,18,47
2024-02-01,2,Tushbaby,display,new,4,72,41
2024-02-01,2,Wolf & Shepherd,display,returning,2,30,21
2024-02-01,2,Sol de Janeiro,click,returning,1,10,6
2024-02-01,2,Oars + Alps,display,returning,1,43,48
2024-02-01,2,Kosas Cosmetics,display,returning,2,30,99
2024-02-01,2,Carve Designs,display,returning,2,20,16
2024-02-01,2,Little Words Project,display,returning,7,70,26
2024-02-01,2,Coco Moon,display,new,1,25,101
2024-02-01,2,Bodily,display,returning,3,36,5
2024-02-01,2,Buffbunny Collection,display,returning,6,24,56
2024-02-01,2,Crown Affair,display,new,2,36.58,91
2024-02-01,2,LIVELY,display,returning,2,40,20
2024-02-01,2,Caden Lane,click,new,1,32,1
2024-02-01,2,D.S. & Durga,display,new,1,40,38
2024-02-01,2,Dr. Squatch,display,returning,5,5,11
2024-02-01,2,Evereden,display,lapsed,1,35,74
2024-02-01,2,FullWell,click,returning,1,15,100
2024-02-01,2,Primally Pure,display,lapsed,1,10,81
2024-02-01,2,Carve Designs,display,lapsed,1,60,16
2024-02-01,2,Shinesty,display,returning,2,20,72
2024-02-01,2,Dollar Shave Club,click,returning,2,10,42
2024-02-01,2,Dagne Dover,display,new,5,150,8
2024-02-01,2,Saranoni Luxury Blankets,display,new,1,15,75
2024-02-01,2,Waterboy,click,returning,1,10,234
2024-02-01,2,Caden Lane,display,returning,14,280,1
2024-02-01,2,Ursa Major,display,lapsed,1,30,27
2024-02-01,2,cbdMD,display,returning,1,5,121
2024-02-01,2,True Classic,display,lapsed,1,45,3
2024-02-01,2,Caraway,display,returning,6,240,2
2024-02-01,2,Siblings,display,returning,2,20,120
2024-02-01,2,Caden Lane,display,new,15,480,1
2024-02-01,2,Nanit,display,returning,2,50,7
2024-02-01,2,Snuggle Me Organic,display,returning,1,10,23
2024-02-01,2,Kopari,display,new,1,35,25
2024-02-01,2,"Dermaclara, LLC",display,returning,1,10,84
2024-02-01,2,Monica & Andy Inc.,display,returning,3,30,37
2024-02-01,2,Kosas Cosmetics,display,new,2,50,99
2024-02-01,2,Sol de Janeiro,display,lapsed,1,20,6
2024-02-01,2,Electric Picks Jewelry,display,returning,1,15,46
2024-02-01,2,Caraway,display,lapsed,1,70,2
2024-02-01,2,Lalo,click,new,1,20,24
