"SOURCE_DATE","WIDGET_TYPE","ML_MODEL","EVENT_CLASSIFICATION","CUSTOMER_TYPE","CONV_COUNT","AD_SPEND"
"2024-01-01",,,"display","lapsed","20",713
"2024-01-01",,,"click","returning","7",57
"2024-01-01",,,"click","lapsed","1",0.01
"2024-01-01",,,"display","returning","183",2060.45
"2024-01-01",,,"click","new","35",1081.51
"2024-01-01",,,"display","new","133",4157.52
"2024-01-02",,,"click","new","41",1240.02
"2024-01-02",,,"display","new","249",6970.99
"2024-01-02",,,"click","lapsed","3",90
"2024-01-02",,,"display","returning","289",3360.45
"2024-01-02",,,"display","lapsed","23",846.29
"2024-01-02",,,"click","returning","10",98
"2024-01-03",,,"display","returning","327",3496.32
"2024-01-03",,,"click","new","46",1633.01
"2024-01-03",,,"display","new","235",5969.83
"2024-01-03",,,"display","lapsed","19",513
"2024-01-03",,,"click","returning","22",269.72
"2024-01-03",,,"click","lapsed","5",135
"2024-01-04",,,"click","lapsed","4",87
"2024-01-04",,,"display","returning","326",3295.96
"2024-01-04",,,"display","new","249",6066.24
"2024-01-04",,,"click","returning","6",53
"2024-01-04",,,"click","new","43",1267.5
"2024-01-04",,,"display","lapsed","23",665.02
"2024-01-05",,,"click","returning","11",80
"2024-01-05",,,"click","new","44",1447.01
"2024-01-05",,,"display","new","206",4999.66
"2024-01-05",,,"display","lapsed","36",953.5
"2024-01-05",,,"display","returning","300",3193.7
"2024-01-06",,,"click","returning","13",206
"2024-01-06",,,"display","lapsed","15",380
"2024-01-06",,,"display","returning","273",2839.52
"2024-01-06",,,"click","new","53",1415.02
"2024-01-06",,,"display","new","150",3363.35
"2024-01-06",,,"click","lapsed","8",241
"2024-01-07",,,"click","new","47",1479.5
"2024-01-07",,,"display","returning","244",2406.98
"2024-01-07",,,"click","returning","26",136
"2024-01-07",,,"display","lapsed","25",712.01
"2024-01-07",,,"display","new","174",4682.8
"2024-01-07",,,"click","lapsed","4",128
"2024-01-08",,,"display","lapsed","28",634
"2024-01-08",,,"click","lapsed","6",155
"2024-01-08",,,"display","new","216",5170.25
"2024-01-08",,,"click","new","32",1017
"2024-01-08",,,"click","returning","14",128
"2024-01-08",,,"display","returning","250",2691.97
"2024-01-09",,,"display","lapsed","20",629
"2024-01-09",,,"display","new","217",4675.69
"2024-01-09",,,"display","returning","282",2903.37
"2024-01-09",,,"click","new","36",1305
"2024-01-09",,,"click","returning","20",152
"2024-01-09",,,"click","lapsed","2",50
"2024-01-10",,,"click","new","30",1105
"2024-01-10",,,"click","lapsed","3",77
"2024-01-10",,,"display","returning","250",1997.94
