"SOURCE_DATE","ORDER_BRAND_NAME","EVENT_CLASSIFICATION","CUSTOMER_TYPE","CONV_COUNT","AD_SPEND"
"2024-02-01","Tower 28 Beauty","display","returning","2",10
"2024-02-01","Sol de Janeiro","display","new","9",180
"2024-02-01","Tushbaby","click","new","1",18
"2024-02-01","SolaWave","display","returning","2",20
"2024-02-01","Lunya","display","new","1",100
"2024-02-01","Little Words Project","display","new","1",15
"2024-02-01","Caraway","display","new","1",70
"2024-02-01","Coterie","display","returning","1",0
"2024-02-01","Dagne Dover","display","lapsed","1",30
"2024-02-01","Liquid I.V.","display","new","9",315
"2024-02-01","For Days","display","returning","3",45
"2024-02-01","Wolf & Shepherd","click","lapsed","1",50
"2024-02-01","My Medic","display","returning","1",10
"2024-02-01","Curie","display","returning","1",5
"2024-02-01","Liquid I.V.","click","new","3",105
"2024-02-01","Beginning Boutique","click","returning","1",10
"2024-02-01","Coterie","display","new","8",132
"2024-02-01","Gathre","display","returning","1",20
"2024-02-01","jane iredale","display","lapsed","1",20
"2024-02-01","MantraBand","click","returning","1",10
"2024-02-01","Glamnetic","display","new","3",90
"2024-02-01","Siblings","click","returning","1",10
"2024-02-01","Evereden","display","returning","2",30
"2024-02-01","Otteroo","display","returning","1",2
"2024-02-01","True Classic","click","returning","1",0
"2024-02-01","Ursa Major","click","returning","1",9.98
"2024-02-01","Glamnetic","click","new","1",30
"2024-02-01","Nanit","display","new","3",150
"2024-02-01","Saranoni Luxury Blankets","display","returning","1",10
"2024-02-01","Caden Lane","display","lapsed","2",64
"2024-02-01","Dreamland Baby","display","returning","1",0
"2024-02-01","Ursa Major","display","returning","2",19.96
"2024-02-01","Liquid I.V.","display","returning","7",0
"2024-02-01","Homesick Candles","display","new","1",23.87
"2024-02-01","QALO","display","lapsed","1",7.1
"2024-02-01","SPONGELLE","display","returning","2",30
"2024-02-01","Solly Baby","display","new","1",18
"2024-02-01","Tushbaby","display","new","4",72
"2024-02-01","Wolf & Shepherd","display","returning","2",30
"2024-02-01","Sol de Janeiro","click","returning","1",10
"2024-02-01","Oars + Alps","display","returning","1",43
"2024-02-01","Kosas Cosmetics","display","returning","2",30
"2024-02-01","Carve Designs","display","returning","2",20
"2024-02-01","Little Words Project","display","returning","7",70
"2024-02-01","Coco Moon","display","new","1",25
"2024-02-01","Bodily","display","returning","3",36
"2024-02-01","Buffbunny Collection","display","returning","6",24
"2024-02-01","Crown Affair","display","new","2",36.58
"2024-02-01","LIVELY","display","returning","2",40
"2024-02-01","Caden Lane","click","new","1",32
"2024-02-01","D.S. & Durga","display","new","1",40
