date,Orders,Events,Conversions,Widget Loads,Page Loads,Sessions
2023-10-12,"94,443","2,088,228",458,"101,196","124,807","195,850"
2023-10-13,"102,170","2,092,090",549,"101,541","123,549","185,681"
2023-10-14,"91,308","1,761,389",372,"84,004","102,350","133,430"
2023-10-15,"96,568","1,628,673",305,"76,820","94,258","118,302"
2023-10-16,"102,550","2,103,457",403,"100,207","120,099","156,950"
2023-10-17,"106,365","2,326,953",386,"114,506","139,633","174,076"
2023-10-18,"95,001","2,118,038",341,"105,287","129,035","163,051"
2023-10-19,"110,679","2,272,555",353,"114,219","139,344","204,463"
2023-10-20,"100,209","2,025,423",378,"101,950","127,111","179,284"
2023-10-21,"87,080","1,768,292",351,"88,591","112,144","140,125"
2023-10-22,"88,253","1,662,579",382,"83,154","105,433","127,204"
2023-10-23,"99,751","2,009,629",491,"100,755","125,454","172,249"
2023-10-24,"99,889","2,122,712",409,"106,211","131,512","177,844"
2023-10-25,"96,931","2,000,338",466,"100,582","124,687","162,354"
2023-10-26,"100,795","1,827,453",360,"96,597","127,526","158,867"
2023-10-27,"104,397","1,971,158",391,"102,670","127,818","161,062"
2023-10-28,"99,822","1,770,850",459,"90,486","113,556","140,517"
2023-10-29,"96,339","1,719,794",381,"89,408","111,162","133,972"
2023-10-30,"105,669","2,069,920",597,"106,230","129,050","168,508"
2023-10-31,"94,707","2,070,442",471,"106,443","127,668","168,646"
2023-11-01,"113,172","2,105,334",570,"109,473","132,533","169,233"
2023-11-02,"128,355","2,525,411",610,"130,379","159,194","236,299"
2023-11-03,"128,281","2,421,183",579,"124,290","158,360","223,715"
2023-11-04,"114,647","2,124,955",516,"107,965","141,528","179,369"
2023-11-05,"120,561","2,062,900",502,"105,077","138,779","170,685"
2023-11-06,"128,806","2,494,682",665,"127,807","165,350","220,086"
2023-11-07,"123,056","2,581,926",724,"132,703","166,363","218,958"
2023-11-08,"118,479","2,461,068",617,"126,630","159,266","209,143"
2023-11-09,"123,258","2,515,911",710,"130,209","161,685","248,883"
2023-11-10,"137,684","2,736,678",933,"140,761","172,740","249,854"
2023-11-11,"128,172","2,447,706",920,"125,773","158,119","203,927"
2023-11-12,"122,698","2,261,524",930,"115,899","146,171","185,471"
2023-11-13,"127,469","2,687,460","1,153","138,010","171,636","227,253"
2023-11-14,"124,499","2,816,534","1,202","146,683","181,557","243,693"
2023-11-15,"151,966","2,813,028","1,076","146,618","180,140","234,381"
2023-11-16,"154,172","3,000,196","1,217","155,764","190,619","275,511"
2023-11-17,"169,915","3,133,478","1,398","159,035","197,908","271,666"
2023-11-18,"159,593","2,900,436","1,210","146,299","185,394","234,417"
2023-11-19,"176,402","2,952,653","1,334","149,556","190,441","237,199"
2023-11-20,"214,356","3,871,626","1,417","197,812","244,807","324,035"
2023-11-21,"221,520","4,250,915","3,861","215,212","262,715","344,326"
2023-11-22,"215,715","4,178,815","1,517","215,335","268,799","352,356"
2023-11-23,"227,592","3,917,109","1,339","202,445","257,898","347,943"
2023-11-24,"498,696","8,206,090","2,736","428,216","544,031","654,300"
2023-11-25,"404,878","7,460,291","2,076","380,353","487,984","598,111"
2023-11-26,"285,138","5,576,081","1,354","282,124","364,258","464,953"
2023-11-27,"394,857","7,665,408","2,234","394,655","498,384","604,334"
2023-11-28,"347,075","7,525,410","1,278","386,516","485,546","603,288"
2023-11-29,"175,360","5,014,685","2,557","262,791","316,040","424,241"
2023-11-30,"184,309","4,686,162",691,"246,645","295,985","429,714"
2023-12-01,"179,993","4,653,996",915,"240,296","288,704","404,396"
2023-12-02,"152,856","4,140,572",804,"213,126","259,781","334,679"
2023-12-03,"156,488","3,639,689",742,"186,363","231,876","290,887"
2023-12-04,"162,185","4,405,982",757,"226,819","276,711","365,288"
2023-12-05,"154,901","4,360,920",647,"224,723","271,315","357,529"
2023-12-06,"153,126","3,954,242",613,"204,322","250,591","335,498"
2023-12-07,"155,053","3,789,214","1,784","194,889","240,013","347,380"
2023-12-08,"165,051","3,729,939",589,"193,932","239,073","331,189"
2023-12-09,"158,171","3,368,623",564,"174,800","218,006","282,119"
2023-12-10,"166,555","3,239,677",484,"167,488","211,495","265,740"
2023-12-11,"170,831","3,873,615",630,"199,046","245,617","317,147"
2023-12-12,"174,660","3,979,155",598,"203,901","250,828","329,484"
2023-12-13,"161,522","3,624,558",531,"188,988","233,148","296,180"
2023-12-14,"163,038","3,567,795",575,"185,160","228,816","314,858"
2023-12-15,"173,967","3,495,253",669,"183,339","227,673","301,072"
2023-12-16,"155,482","3,162,104",414,"164,997","207,328","251,408"
2023-12-17,"150,172","2,924,616",381,"152,502","192,938","225,930"
2023-12-18,"152,272","3,536,421",452,"184,193","227,104","280,891"
2023-12-19,"134,938","3,424,338",387,"179,327","218,280","273,917"
2023-12-20,"121,861","2,970,863",325,"156,616","192,866","231,398"
2023-12-21,"116,759","2,804,171",334,"147,981","181,464","244,937"
2023-12-22,"115,580","2,616,327",298,"139,331","169,970","221,165"
2023-12-23,"100,667","2,192,818",281,"116,179","145,861","174,262"
2023-12-24,"91,678","1,707,401",252,"90,353","113,771","133,945"
2023-12-25,"94,787","1,614,679",184,"84,368","107,467","126,442"
