"BRAND","CONVERSIONS","AD_SPEND"
"Caden Lane","4150",87842
"True Classic","1178",38745
"BlendJet","4483",37065
"Bodily","1186",25709
"Liquid I.V.","1270",25655
"Dagne Dover","994",25540
"Nanit","651",23650
"Caraway","581",21140
"ILIA","980",19600
"M.M.LaFleur","221",15650
"Dr. Squatch","1550",15029
"Glamnetic","783",11900
"Snuggle Me Organic","663",10740
"For Days","801",10733
"Beachwaver","553",9920
"Tubby Todd Bath Co.","2348",9362
"Carve Designs","376",9270
"Laura Geller","669",8970
"Tula Skincare","315",8850
"Wolf & Shepherd","295",8485
"Tushbaby","532",8445
"Vegamour","861",8315
"Love in Faith","1810",8293
"Kopari","439",8200
"Little Words Project","707",8020
