BRAND,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04
12|12,"55,945.41","20,320.65","27,779.60","29,672.48","46,429.76","43,773.12","28,427.88","31,312.09","55,925.46","43,701.53","96,518.10","28,353.85","42,738.18","24,385.67","36,930.36","56,159.92","60,902.40","42,671.39","32,394.81","71,064.58","62,978.49","73,225.92","87,816.53","37,687.48","59,414.48","60,084.27","51,920.71","50,974.73"
120/Life,"79,467.56","81,197.42","85,922.30","88,127.64","88,366.17","88,587.53","85,789.95","86,075.93","93,757.04","87,634.85","82,099.07","94,397.88","94,575.80","98,170.65","120,701.54","113,799.31","120,902.19","108,045.08","108,169.04","109,855.55","112,886.57","143,490.46","162,579.11","185,741.11","165,703.97","194,944.81","189,909.60","103,477.99"
21Seeds Tequila,"12,414.23","10,907.36","11,684.72","23,754.74","22,265.79","12,821.00","14,228.14","11,488.92","12,978.00","11,573.57","16,833.14","12,046.56","6,140.99","9,300.57","2,239.18","2,638.23","3,073.72","1,525.04","4,098.34","4,292.76","2,702.65","3,200.56","7,331.32","2,465.28",999.72,,,
8Greens,"390,555.87","331,590.98","303,797.04","330,471.64","325,921.02","314,085.17","294,024.42","268,941.04","290,001.03","272,818.81","409,422.88","317,265.61","334,905.90","300,893.02","328,296.54","302,041.47","322,446.29","278,909.36","298,348.98","278,917.50","273,071.15","241,567.50","253,802.20","218,155.72","203,260.24","192,108.93","215,235.24","103,646.03"
A Kids Co.,"95,742.23","150,452.35","118,193.08","81,658.94","106,740.67","126,619.79","78,399.37","49,343.50","49,989.95",,"3,928.40",,"88,523.81","81,241.74","263,541.77","80,952.08","79,597.81","72,091.45","66,095.43","51,215.63","57,878.98","130,580.62","108,828.33","40,421.75","32,762.73","40,663.94","49,433.56","11,766.59"
AAVRANI,"22,596.51","29,863.37","47,689.63","51,840.94","54,931.13","48,633.27","42,909.19","49,218.08","91,368.86","63,878.52","140,960.62","59,543.42","44,834.75","57,714.46","70,977.36","62,071.91","77,322.39","31,205.43","30,328.44","30,135.40","33,720.95","19,544.46","41,859.06","19,636.25","33,668.19","14,596.52","2,884.41",
Admire My Skin,"53,317.33","45,719.88","30,451.26","22,824.95","21,092.00","19,004.78","17,383.61","14,448.67","11,129.27","12,264.98","22,831.66","24,990.69","24,661.89","31,383.01","32,114.20","20,671.36","16,835.05","14,733.48","13,380.78","10,496.15","11,557.39","11,541.55","11,146.30","6,380.65","9,982.89","9,376.07","5,996.99","3,113.38"
Afloral,"1,036,044.15","1,069,473.40","1,425,123.82","1,133,530.76","1,101,153.50","1,049,304.11","1,185,829.47","1,353,447.02","1,599,209.94","3,002,749.94","1,530,454.26","635,194.81","1,106,397.83","997,922.65","1,438,465.83","1,150,152.07","1,150,850.43","955,300.53","1,053,526.07","1,405,067.92","1,796,844.22","2,018,891.28","3,677,305.69","640,692.72","978,652.23","916,196.68","988,270.78","484,771.55"
Airo Collective,"37,398.61","24,746.04","22,821.59","22,470.28","22,968.01","39,445.70","27,491.84","30,113.53","22,391.53","35,360.31","61,964.26","48,525.44","26,710.48","23,446.17","25,036.22","21,069.42","20,391.69","26,648.93","17,215.23","23,539.69","21,868.07","16,652.18","25,436.95","26,558.00","16,465.02","14,449.17","14,901.57","6,852.55"
Airsign,,321.19,"48,385.61","41,773.11","37,005.50","30,145.05","27,290.34","20,199.83","32,307.35","12,101.67","18,563.94","10,377.31","10,354.35","6,162.58","8,302.31","5,817.05","5,526.34","6,253.85","5,611.33","7,911.97","7,125.74","3,142.12","5,697.35","4,940.34","2,565.74",601.22,,
