BRAND,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04
12|12,474,181,221,229,317,350,221,241,386,313,671,206,315,191,277,449,447,314,232,515,501,562,631,333,504,499,422,328
120/Life,"1,040","1,042","1,083","1,070","1,052","1,067","1,107","1,047","1,154","1,034",932,"1,124","1,080","1,112","1,406","1,273","1,343","1,162","1,162","1,185","1,304","1,723","1,999","2,368","2,080","2,478","2,498","1,373"
21Seeds Tequila,111,98,106,218,210,114,113,101,120,102,150,117,58,81,21,25,29,15,43,42,21,32,35,26,9,,,
8Greens,"8,311","6,765","6,045","6,473","6,334","6,238","5,870","5,351","5,441","5,197","7,083","5,956","6,547","5,949","6,308","5,809","5,869","5,359","5,590","5,399","5,320","4,512","4,339","3,847","3,712","3,496","3,953","1,884"
A Kids Co.,"2,383","1,956","4,428","2,846","3,019","3,770","2,105","1,219","1,038",,108,,"1,386","1,745","5,439","1,953","1,610","1,255","1,016",892,777,802,"2,167",739,606,563,484,236
AAVRANI,412,569,972,858,978,760,605,749,"1,319",854,"1,934",755,618,728,"1,369","1,268",979,419,386,463,445,303,602,327,764,249,58,
Admire My Skin,"1,120",914,662,502,476,446,408,301,242,232,533,605,623,696,725,453,334,332,311,228,264,255,254,144,232,225,146,77
Afloral,"8,727","9,087","10,798","8,495","7,506","7,023","8,799","10,020","11,002","16,257","10,193","4,288","7,311","6,527","10,456","7,397","7,027","5,806","6,296","8,542","10,146","9,709","17,345","3,974","5,720","5,024","5,925","2,645"
Airo Collective,571,448,392,373,385,529,382,432,327,488,874,728,441,380,394,339,331,415,277,355,332,252,374,419,244,201,218,94
Airsign,,1,172,158,145,153,149,99,167,67,92,125,122,80,123,74,71,88,93,83,103,59,67,85,55,15,,
Alchemy Fine Home,233,232,339,393,172,138,173,157,232,63,393,327,250,186,146,138,246,167,183,102,100,173,233,184,122,118,92,47
ALKAGLAM,3,2,1,1,1,1,1,19,80,19,13,8,4,10,5,2,5,7,6,1,,,3,2,,1,,
Alkavida,3,,4,2,2,1,2,3,5,3,2,3,,1,5,4,3,2,1,2,3,1,5,3,2,2,4,1
allyoos,30,14,19,23,8,23,34,27,16,11,20,8,14,20,24,25,39,76,160,167,138,151,326,129,131,94,109,51
Alpha-H,,1,,4,4,,,2,4,13,3,,,1,3,1,1,3,1,2,1,210,625,360,406,114,,
Alpyn Beauty,629,470,807,617,656,702,557,397,860,"1,831","2,055","1,280",965,923,"1,187","1,069",984,"1,411","1,133",690,"1,217","1,431","2,711","1,402","1,206","1,004","1,692",646
Altitude Functional Beverages,27,23,17,15,12,15,18,24,20,41,41,25,44,26,38,37,45,35,38,65,47,28,35,39,31,23,31,17
AMASS,731,395,364,398,335,253,219,214,236,244,349,353,214,183,182,139,131,124,150,171,133,144,152,214,208,163,131,23
Amazi Foods,57,55,61,45,45,35,28,40,26,22,52,31,28,26,35,52,19,28,11,16,9,10,23,21,19,34,30,18
Amberjack,929,"1,051","1,455","1,538","1,655","1,826","1,581","2,416","2,711","2,717","3,493","3,926","3,718","3,360","4,178","3,926","4,474","4,302","4,253","5,531","7,254","6,147","7,621","7,258","7,472","7,678","9,060","4,269"
Ami Colé,"1,995","1,502","1,365","1,122","1,397",702,"1,593",905,"1,040","1,369","2,555","1,354",927,"1,068",890,803,"1,084",893,659,643,517,824,"1,996","1,350","1,524","1,337",649,262
Ancient Nutrition,"73,341","65,440","69,769","61,467","68,805","65,810","61,793","62,746","60,768","58,303","70,769","56,589","61,790","56,763","63,409","57,427","52,743","53,000","53,722","54,445","55,350","52,812","65,245","50,758","59,598","55,623","58,575","28,145"
Andie,"13,117","11,393","20,656","14,734","26,221","32,060","26,137","15,069","8,724","3,441","6,457","6,005","12,714","13,655","16,983","15,974","29,428","36,472","30,205","13,895","6,793","3,886","6,762","6,362","11,357","14,589","14,572","5,634"
Ansea,59,28,21,7,16,14,6,8,3,5,26,16,8,2,5,6,3,1,1,2,3,2,5,2,1,2,,1
Anyday,"1,535","1,064","2,631","1,984","1,594","1,893","1,892","2,098","2,616","2,604","8,861","6,381","3,229","3,451","3,528","2,002","2,782","2,080","2,434","3,318","2,804","2,359","6,015","5,588","2,692","2,621","3,102",815
Arber,145,393,736,"1,053",917,"1,177",942,488,475,392,448,445,484,439,424,347,323,379,461,314,238,193,282,129,286,338,758,571
Aria Beauty,76,65,56,42,54,96,72,55,50,62,101,98,122,134,287,195,155,255,60,56,53,49,117,118,61,63,46,19
ARMRA Colostrum™,"2,154","2,573","3,526","4,253","5,416","5,659","6,873","8,586","12,467","17,886","23,353","26,368","32,883","32,766","36,581","50,210","61,470","67,479","77,624","82,901","94,425","112,769","135,717","109,089","41,630",,,
Artifox,402,263,235,306,278,239,245,257,166,172,172,213,212,194,145,142,153,146,141,129,110,160,173,130,127,149,115,58
Ashlen,"7,095","8,046","7,018","7,497","10,351","9,444","7,796","5,808","8,278","7,815","12,905","11,945","5,830","5,662","10,467","16,644","20,856","25,575","22,703","19,991","20,069","16,447","20,671","25,633","20,982","7,744","5,588","2,758"
Astor & Orion,27,25,11,9,16,13,24,10,7,10,24,57,11,5,7,8,8,14,9,10,15,12,28,84,13,17,4,4
August Uncommon Tea,"3,755","2,643","3,204","2,148","2,026","1,687","2,462","2,422","3,552","2,855","4,327","3,020","2,824","2,620","2,487","2,176","2,675","1,696","1,743","2,263","3,295","3,028","3,992","4,986","4,684","4,213","5,903","2,831"
Aura Bora,"1,641","1,806","2,074","4,955","5,720","5,707","5,127","7,592","5,037","4,694","5,100","2,159","2,611","1,629","2,402","2,541","1,801","2,463","2,094","2,173","2,750","2,093","1,900","1,845","1,662","1,767","1,829","1,354"
Aurate,"2,718","2,459","2,245","2,609","3,229","3,281","2,505","3,173","2,091","3,550","5,966","3,219","2,755","3,006","2,976","3,666","4,521","3,627","4,318","3,162","3,027","3,965","7,444","4,268","3,205","3,772","3,369","1,506"
AVEC,574,729,415,425,559,621,483,390,277,289,566,506,469,442,570,486,570,602,523,511,407,245,427,379,421,380,345,119
Avocado Green Mattress,"18,104","19,108","16,399","16,439","20,800","15,620","16,532","15,172","14,566","12,862","19,963","14,068","14,149","12,958","12,790","11,578","14,758","10,905","12,331","14,354","13,519","10,385","15,344","12,945","12,013","12,991","10,966","4,972"
Baby Delight,,,,,,"17,550",,,228,614,897,397,454,504,725,711,759,886,938,874,992,949,736,563,670,558,763,415
Baby K'tan,945,568,517,573,815,816,880,"1,043",909,808,949,785,848,700,669,651,676,447,439,426,430,177,304,301,252,386,333,148
Baby Tula,"1,997","2,796","3,483","2,712","4,100","2,607","2,357","2,359","1,925","1,572","3,303","1,896","2,577","2,840","3,739","2,954","3,871","2,760","2,614","2,732","3,001","2,920","5,447","2,267","2,810","2,487","3,732","1,198"
Bad Birdie,"4,102","4,971","7,419","8,368","10,224","12,631","10,991","13,777","6,411","5,582","21,744","12,317","6,184","5,660","8,560","8,138","10,997","11,809","9,352","8,930","5,772","5,674","20,596","14,350","4,960","6,738","8,425","4,214"
Bala,"5,228","4,638","3,716","3,758","3,805","3,405","3,671","3,438","3,136","1,656","5,238","5,781","3,569","2,665","3,035","2,023","2,810","2,559","3,016","3,062","1,757","1,587","7,941","5,080","2,651","2,529","3,190","1,378"
Bandier,"12,217","8,411","11,239","9,116","12,534","4,586","6,293","6,395","8,640","11,116","9,573","11,774","6,221","6,079","12,038","6,186","5,318","4,762","3,854","3,758","3,445","2,795","3,164","3,493","1,793","1,525","2,446",529
Bang Cookies,"7,022","10,000","10,562","12,872","12,756","11,440","9,893","10,198","10,104","14,462","13,362","15,605","14,157","14,893","15,146","15,863","15,807","15,057","11,311","11,299","9,756","10,463","12,305","16,193","11,184","5,908",,
Banza,592,"1,260",524,344,266,223,274,361,223,259,157,179,240,189,211,152,122,128,229,142,429,348,220,196,127,,,
Bare Bones,"1,853","1,200",757,750,444,354,428,438,461,593,684,398,425,399,438,421,407,255,291,322,297,289,564,355,463,510,679,216
BASIK CANDLE CO,133,63,68,179,84,69,67,82,66,86,454,94,58,51,69,353,52,47,52,46,52,62,72,62,60,61,47,16
Bask Suncare,239,708,710,241,"1,333","2,079","2,104","1,381",569,326,263,88,146,296,364,786,"1,283","1,596","1,847","1,396",441,241,419,180,343,"1,048",873,364
BattlBox,"14,416","15,431","15,842","13,097","13,253","11,148","10,323","10,196","10,232","11,814","15,214","13,457","11,775","11,921","15,101","13,128","13,488","13,420","13,904","13,647","12,190","11,328","13,764","12,702","12,995","12,552","15,916","10,906"
BAZZAAL INC,152,"1,872","1,333",974,593,"1,078",216,159,222,77,664,423,501,591,294,1,,,,121,"1,002","1,238",832,862,671,237,233,31
Beachwaver,"34,825","11,206","24,421","31,045","38,825","45,668","47,206","31,933","28,821","46,175","256,644","133,189","52,049","31,856","60,591","36,919","33,027","32,362","39,316","132,018","178,745","112,371","349,379","122,802","79,951","36,088","22,993","7,442"
beam,"13,317","11,509","12,917","13,449","13,299","13,213","12,542","14,316","14,801","15,383","22,524","19,149","17,651","14,276","15,352","14,502","14,651","12,608","12,773","14,302","15,633","17,195","29,237","27,669","30,722","25,820","1,231",
Bean Products,537,470,394,280,240,279,288,431,416,374,917,742,694,573,687,687,714,528,627,673,692,610,674,920,676,681,623,244
Bear Balanced,619,594,797,804,"1,139","1,281","1,536","1,624","1,166",442,351,45,,1,,129,893,856,351,381,535,,2,425,106,,,
Bear Mattress,"1,771","1,961","1,859","1,734","2,722","1,872","2,305","2,101","2,096","1,860","3,733","2,183","2,207","2,510","1,990","2,066","3,032","2,108","2,786","2,607","2,430","1,728","3,611","2,097","2,194","2,304","1,835",908
Beekman 1802,"15,270","12,655","13,640","14,556","15,485","10,534","14,590","15,459","18,981","19,194","36,815","32,762","14,540","13,635","14,909","16,219","25,464","13,991","18,603","16,282","20,916","20,429","50,009","35,706","15,339","15,612","14,960","22,348"
Beginning Boutique,"5,834","8,747","12,841","11,367","8,123","5,026","4,422","4,747","5,821","3,419","3,405","2,776","4,148","5,492","9,037","9,412","7,692","5,232","5,799","7,142","9,408","6,355","7,134","6,545","12,028","13,352","18,879","11,470"
Beginningboutique,,1,4,,,,,,,,,31,46,11,31,,,,,1,,3,,1,,3,23,5
BEHAVE,508,477,400,454,347,230,172,144,97,116,133,82,99,72,81,79,91,65,49,72,312,271,153,99,147,179,149,42
BelliWelli,"3,177","3,516","3,564","3,822","4,204","4,378","4,094","3,900","2,401","2,009","2,314","1,621","2,262","1,809","1,816","1,559","2,917","1,864","1,199","1,408","1,279",879,896,654,908,707,"1,606",701
Bellway,790,670,909,683,697,508,560,432,403,297,475,292,477,295,368,463,394,338,315,283,243,234,339,205,176,,,
Ben Sherman,"1,599","1,270","1,621","1,484","1,262","1,170","1,139","1,632","1,283","1,305","2,272","1,661","1,032",935,"1,502","1,529","1,497","1,239",996,"1,099","1,462","1,324","2,877","1,753","1,341","1,225","1,566",338
Better & Better,,,,29,256,330,334,321,372,505,655,633,841,714,433,442,566,613,538,450,429,423,458,377,394,380,378,183
Better Basics,88,75,138,84,85,61,130,72,54,90,185,168,61,64,79,79,80,63,95,50,43,71,74,63,65,21,37,11
BEVVO Blender,9,8,4,3,5,5,9,7,6,,5,7,3,2,1,,4,8,5,1,1,,1,,2,1,,2
Beyond Polish,"12,466","12,160","14,133","13,371","15,343","13,997","14,019","15,645","15,796","15,460","15,362","14,460","15,586","12,584","14,482","14,460","14,994","14,369","15,892","15,196","16,148","14,473","16,721","14,517","15,120","13,284","14,813","6,341"
Billion Dollar Beauty,367,365,349,201,398,302,366,363,245,251,925,379,300,453,567,471,509,603,"1,213",589,596,577,686,639,608,773,587,409
Billy Reid,"7,036","3,095","3,048","3,360","3,787","3,655","4,765","5,656","3,704","3,742","5,839","7,295","6,887","6,813","3,785","2,732","3,678","3,575","4,913","7,009","4,218","4,079","6,408","9,337","6,529","6,188","3,059","1,473"
biom,509,292,293,675,"1,309",814,"1,143","1,307","1,397","1,251","1,715","1,278","1,323","1,316","1,582","1,912","1,770","1,016","1,624","2,327","2,030","2,451","2,881","2,899","3,021","2,997","3,491","1,303"
Birthdate Co.,"14,820","12,424","9,704","9,317","7,146","4,972","5,843","5,702","6,785","8,709","19,440","19,158","7,486","6,419","4,872","5,099","6,000","3,755","3,624","4,138","4,072","3,406","7,923","8,429","3,969","3,292","3,618","1,417"
BiSaddle,156,220,224,240,278,215,209,178,153,156,250,109,52,124,158,82,229,148,263,157,176,123,208,192,300,474,652,475
Black Wolf Nation,"3,969","4,554","4,206","5,320","7,626","12,542","12,800","14,250","14,142","12,851","13,656","18,904","16,309","15,245","23,551","17,196","16,421","13,898","14,728","12,431","9,940","13,411","15,017","6,909","2,318","4,098","4,137","1,659"
BlendJet,"81,301","59,559","61,924","60,264","66,202","64,106","71,981","73,257","57,313","52,986","127,357","222,395","99,603","74,074","69,805","65,174","72,192","56,249","52,403","51,965","39,382","35,094","70,206","115,471","48,647","36,098","39,819","27,117"
Blessed Be Magick,554,304,298,247,445,365,505,398,477,449,"1,029",666,620,629,925,653,834,823,564,705,685,443,693,407,387,420,414,220
Block Set Project,,2,,2,2,,1,,2,,1,1,6,9,27,23,13,10,37,13,20,31,17,9,8,6,4,5
Blossom,,,,15,81,384,269,188,326,350,435,493,129,174,124,371,603,584,808,657,815,576,529,763,229,337,225,170
BLQK Coffee,50,52,41,48,43,56,50,51,55,80,107,85,79,41,40,38,32,24,28,25,22,31,26,26,25,22,17,12
Blueland,"75,317","63,552","55,374","60,375","53,779","50,381","54,847","54,466","58,343","50,658","63,000","47,441","50,377","45,782","46,257","56,487","47,415","46,884","60,064","58,048","50,632","49,605","70,469","53,221","61,524","60,929","58,001","31,762"
Bluesmiths,93,87,165,174,181,290,236,124,89,118,54,70,12,39,167,227,352,343,318,225,146,122,189,160,205,243,347,160
Bobbie,"41,168","46,988","49,150","48,275","47,538","40,999","34,361","32,122","31,303","35,402","39,737","37,201","42,159","42,081","48,325","49,619","60,685","59,619","43,815","48,745","63,149","62,474","63,471","51,703","54,276","25,151",,
Bodily,"6,798","6,056","6,894","6,075","7,198","7,016","8,624","8,587","7,981","7,845","9,399","7,284","9,288","8,434","8,797","8,812","9,884","7,918","8,653","9,352","8,438","7,429","9,231","7,814","8,890","8,055","9,181","4,099"
Body Meal,,,,3,48,5,5,8,7,3,6,5,6,6,7,5,5,3,2,60,6,6,8,4,15,32,1,
Boie USA,"5,860","6,691","4,510","3,429","3,822","3,018","3,895","2,740","3,047","2,850","4,907","6,872","4,673","4,954","3,547","2,760","3,501","2,506","2,927","2,638","1,758","1,136","2,344","3,251","1,804","1,489","1,522",892
Bokksu Market,"2,604","2,102","3,867","3,578","3,420","3,617","1,931","1,965","1,143","2,047","1,718","1,368",910,548,"1,597","1,630","2,776","5,556","5,470","6,228","5,644","5,941","8,270","8,961","6,027","6,971","5,266","2,152"
Bombas Staging,6,9,87,16,20,11,1,16,3,15,17,9,6,12,25,16,26,25,1,2,7,11,7,28,18,19,4,
bonbuz,122,54,81,34,41,55,364,188,106,227,198,169,213,165,165,90,135,89,454,229,103,77,124,225,182,84,112,48
Bondi Sands,"2,107","2,550","3,278","4,586","4,342","3,155","2,010","1,338","1,449","1,168","2,961","1,708","1,900","2,290","4,028","6,214","5,337","4,481","2,440","2,045","1,238","1,180","1,537",970,"1,029","1,599","2,419","1,420"
Bonks,,,8,15,11,7,5,36,11,18,23,21,22,16,18,14,3,8,5,4,11,6,10,9,10,6,18,3
Botanical Bones,69,109,101,92,75,94,86,137,129,139,190,175,165,176,157,200,132,121,88,72,32,139,110,95,92,69,67,37
Bowlcut,6,4,28,75,148,81,72,83,42,40,49,48,143,50,62,99,300,71,24,34,31,26,27,42,27,26,20,23
Branch,"9,784","8,059","8,569","7,181","8,305","7,796","9,854","12,017","10,852","8,480","14,493","9,571","9,289","8,920","9,078","7,068","8,478","7,503","7,324","8,530","7,991","6,040","13,044","8,051","7,248","8,288","6,680","3,082"
Bridge & Burn,938,852,"1,047","1,038","1,421","1,055",864,990,"1,408","1,168","1,898","1,332","1,230",545,960,719,"1,521",757,"1,084","1,022",895,761,"1,701",685,714,571,"1,051",474
Brightech,"2,495","1,868","1,208",914,"1,174",942,968,"1,008","1,080",813,"1,321",606,656,578,536,370,452,324,355,435,363,351,546,360,326,208,243,110
Brutal Buddha,57,22,45,22,40,57,54,28,273,38,77,23,32,20,13,20,28,43,62,41,44,22,85,175,44,21,18,8
BuddyLove,"2,347","1,802","3,763","4,228","4,263","2,837","3,057","2,519","3,109","3,568","4,923","2,292","2,279","2,133","4,411","4,688","4,075","4,201","3,086","3,296","2,821","3,081","5,748","3,565","2,980","3,054","4,008","1,499"
Buffbunny Collection,"20,934","17,294","13,390","20,614","26,131","20,953","13,071","16,907","9,297","16,763","37,371","11,058","21,447","16,414","25,757","15,608","27,126","17,018","12,896","14,167","13,117","15,126","30,902","10,177","15,640","10,529","21,662","10,693"
Bulletprufe,614,739,604,464,381,404,453,384,452,352,764,692,682,417,529,279,284,264,248,199,349,563,703,367,429,523,445,132
Bushwick Kitchen,357,321,268,254,222,550,229,192,193,161,330,327,88,110,133,115,163,138,193,135,158,154,305,300,89,91,83,35
ByHeart,16,21,"1,157","5,242","18,091","6,869","7,401","7,545","6,718","6,244","6,644","2,171",2,6,,35,64,34,32,25,448,"5,064","5,363","7,949","10,655","11,915","13,620","6,560"
Caddis Eye Appliances,"10,429","5,967",,,,1,1,6,"8,538","8,976","12,234","8,392","10,387","10,236","11,498","8,512","13,126","8,941","9,022","8,994","8,638","9,382","15,783","11,268","1,206",,,
Caden Lane,"45,597","46,057","51,502","37,335",,,,,,,"70,838","68,127","68,350","62,000","76,291","61,472","72,399","60,694","72,952","73,752","69,101","75,112","124,707","61,845","65,689","62,573","65,901","27,287"
Cadence,"8,154","7,456","7,364","8,815","10,251","8,022","9,672","12,196","10,841","10,580","19,077","14,832","10,922","8,025","10,865","10,251","10,779","11,440","9,745","7,975","7,725","10,985","18,036","14,795","9,239","7,897","9,036","4,359"
Cali's Books,431,755,952,592,573,520,590,580,608,"1,141","1,833","1,181",482,590,729,618,937,886,829,919,"1,520","1,539","3,615","2,960","1,230","1,187","1,301",834
California Arts,3,157,220,208,207,63,27,71,314,406,473,259,433,446,535,727,534,381,468,525,920,"1,162","1,326","1,187",831,758,"1,051",564
Calin,1,4,,,2,2,3,3,3,3,13,3,,,,,,,2,,,,,,,,1,
Calypso St. Barth,67,50,30,13,12,10,14,9,2,,5,10,6,13,3,12,17,28,14,11,6,8,35,28,19,25,19,25
CampNYC,"5,764","8,556","5,663","7,974","12,737","28,376","32,648","37,457","23,056","32,206","41,050","66,320","31,908","32,878","53,523","30,051","22,351","30,720","31,327","27,494","32,594","33,657","43,311","72,248","52,992","40,262","45,277","17,478"
Canary,,,,,,,,,,,,2,68,47,50,62,60,43,81,83,79,78,120,137,166,,,
CanDo,561,547,704,609,553,595,656,835,726,500,753,554,553,585,560,649,693,"1,046",692,841,770,587,473,650,826,583,441,247
Canopy,"19,694","18,187","20,635","21,609","21,028","18,698","20,927","17,967","25,855","14,199","32,580","36,864","37,653","30,109","36,296","34,036","27,369","27,387","24,780","25,346","21,913","26,043","35,420","33,241","34,974","33,259","35,017","15,017"
Captain Blankenship,217,295,117,145,179,242,88,158,162,224,395,171,555,139,305,383,204,358,233,232,432,149,558,296,159,191,229,70
Caraway,"20,880","16,254","15,395","16,691","17,595","13,460","18,448","16,216","20,392","20,232","67,163","48,400","21,925","17,289","20,785","18,583","19,620","14,543","14,530","16,286","17,288","16,089","72,593","69,043","28,674","21,214","23,862","12,017"
Carbon38,"10,182","4,461","6,206","6,798","6,010","6,012","6,693","5,282","5,654","8,094","13,106","10,351","8,006","6,491","8,581","7,742","10,300","7,974","8,888","6,495","10,479","8,363","13,220","11,061","8,076","6,348","8,153","3,184"
Cardon,"2,195","2,174","2,833","2,770","2,659","2,172","1,799","1,620","1,924","1,809","1,847","1,391","1,398","1,181","1,157","1,144","1,149","1,024","1,066","1,210","1,213","1,015","1,384","1,381","1,261","1,183","1,466",691
Cariuma Staging,,,,,,,,15,,1,,145,14,50,51,46,4,3,11,27,6,5,,1,9,,,
Carve Designs,"4,724","8,002","17,448","12,874","12,604","16,944","12,905","10,764","6,521","4,368","3,704","3,834","9,194","9,181","13,720","12,864","12,678","15,888","12,227","9,533","7,137","4,217","5,045","3,935","9,387","9,157","16,777","7,403"
Chamberlain Coffee,"8,732","9,705","8,231","9,966","9,013","8,662","8,699","10,181","10,250","12,526","32,674","19,943","12,187","11,620","12,359","9,756","10,856","9,184","9,398","9,961","9,199","8,176","29,757","13,885","9,685","9,095","8,054","3,706"
Character Home,3,36,165,34,79,123,170,215,160,125,275,204,84,50,89,117,203,225,167,140,170,214,379,457,97,59,63,34
Chlorophyll Water®,83,87,111,107,103,99,85,98,80,70,67,67,69,84,69,82,94,71,58,56,52,50,56,45,57,32,38,21
Citi Collective,172,165,166,147,113,105,112,98,76,65,74,63,84,67,77,68,68,85,102,90,79,118,89,121,114,122,130,55
Clean Age,1,20,55,16,15,35,18,28,26,9,11,15,10,17,9,9,29,12,14,21,21,18,4,2,1,,,
Cleanlogic,350,258,271,203,249,144,161,171,185,170,186,233,202,224,206,228,201,146,204,204,184,174,194,249,212,170,141,68
Clevr Blends,"13,664","11,663","13,666","9,865","8,273","8,536","10,381","9,817","8,054","9,093","16,205","13,296","18,486","13,820","12,583","9,998","11,811","11,864","10,167","12,288","11,404","13,026","14,622","10,462","11,818","8,928","9,042","4,186"
Clover by CLOVE + HALLOW,28,16,17,26,21,33,21,43,19,23,62,114,101,204,224,156,163,342,125,242,299,437,379,348,497,623,426,283
Club EarlyBird,"6,673","6,625","9,012","8,724","12,021","10,816","8,958","10,539","10,435","10,141","11,222","9,308","10,501","11,745","19,184","20,729","22,071","20,389","20,393","20,958","15,593","13,810","13,311","12,698","16,959","18,286","18,818","7,858"
Clutch Nails,925,686,811,598,661,546,"1,052",511,480,345,793,588,387,270,277,188,193,154,182,141,156,159,163,165,108,48,39,17
Coast Smokes,,,,,20,27,30,39,16,17,22,40,12,12,28,48,63,110,152,134,139,112,101,107,102,96,127,64
Coco Moon,"1,518","1,888","1,743","1,872","1,798","1,588","1,732","1,927","1,887","1,146","5,231","1,579","1,378","1,486","2,047","1,793","1,413","1,669","2,118","2,029","1,508","1,938","5,110","1,688","1,736","2,430","1,833","1,211"
Coffee Bros.,,,,39,115,128,108,154,276,359,592,709,705,394,571,667,853,560,594,855,923,"1,055","1,542","1,356","1,330","1,531","1,200",669
Comeback Vinyl,,,,,,,,,,4,10,6,22,,"9,223","1,961","1,760","1,898","1,863","1,267","1,081","1,326","1,650","2,754","1,395","1,262","1,284",636
Common Era Jewelry,124,204,121,218,177,136,174,91,162,124,407,204,116,206,135,220,223,116,186,111,123,136,420,255,240,343,169,116
Common Heir,138,253,149,152,123,148,148,122,131,141,234,99,111,185,184,205,197,179,218,251,214,196,296,201,250,193,227,167
Compass Coffee,"1,655","1,729","1,828","1,713","1,336","1,193","1,110","1,234","1,297","1,268","2,852","1,267","1,167","1,250","1,580","1,437","1,548","1,471","1,527","1,418","1,567","1,482","4,358","1,380","1,357","1,415","1,651",749
Conscia,33,39,37,135,208,129,145,79,67,91,256,159,40,60,50,118,50,36,121,63,85,88,238,141,58,56,45,22
Consciously Baby,377,524,666,841,631,448,464,613,835,"1,322","1,045",346,342,329,953,803,507,307,310,360,532,674,504,398,382,304,319,167
Core Foods,940,761,986,696,"1,532",947,850,780,"1,134",781,"1,122",519,801,660,"1,098",456,934,534,602,678,757,652,626,253,370,185,184,
Coromega,173,248,218,196,179,158,178,217,194,193,149,199,230,146,240,376,301,298,369,335,346,344,464,361,340,286,325,179
Corpus Naturals,"1,404","1,922","1,788","1,862","1,950","2,090","1,806","1,486","1,321","1,290","2,377","1,183","1,252","1,164","1,296","1,214","1,221","1,303","1,324","1,220","1,235","1,009","2,121",831,993,"1,022",209,
Coterie,,,,,,"11,181","43,918","50,556","49,382","52,815","52,038","55,634","57,541","57,180","67,188","67,797","74,707","76,708","78,836","82,546","81,125","89,723","91,561","92,877","103,280","98,488","104,449","53,947"
Coterie Staging,262,,,,,,,,,,,,,,,,322,422,402,345,319,315,306,252,255,41,2,
CoverFX,916,828,"1,135","1,875","2,845","2,438","2,463","1,464","1,950","1,162","2,044",974,912,809,"1,057",749,856,450,418,"1,233","1,703","1,897","4,601","2,243","4,652","12,928","13,294","3,433"
Covey Skincare,372,385,499,401,376,463,602,669,563,675,691,515,617,573,"1,380","1,803","1,680","1,460","1,217","1,475","1,333","1,011","1,201",780,969,19,,
Cozy Earth,"35,849","28,037","25,103","34,052","37,564","21,580","24,225","27,116","26,634","26,808","80,392","68,711","40,811","20,128",,,,,,,,,,,,,,"12,961"
Cradlewise,,,44,32,38,85,157,219,291,361,949,227,397,541,900,578,654,548,722,567,541,488,964,535,663,707,935,344
Create,,,,,,,,,,,8,605,"1,208","2,319","2,929","4,044","3,840","5,681","7,159","7,061","6,323","7,432","7,670","7,904","9,641","8,570","9,119","4,225"
Creature Coffee Co,117,103,98,93,81,90,96,82,77,99,99,107,115,106,110,116,112,129,119,123,123,99,123,123,121,142,114,61
Crown Affair,"2,035","2,140","2,311","2,010","1,504","1,308","1,768","2,250","2,127","2,180","4,752","2,949","2,535","2,255","2,715","2,288","3,166","2,728","2,839","3,008","3,123","2,889","9,389","6,220","4,231","4,202","5,144","1,670"
Cure,"1,984","1,620",,,,,"1,932","3,266","2,894","2,658","2,892","2,334","2,698","3,016","3,355","3,623","4,062","3,651","4,840","4,211","4,585","3,526","4,802","4,080","4,489","1,592",,
