Brand,percent_change,prev_month,current_month,prev_month_gmv,current_month_gmv,other_year_change,avg_monthly_gmv
12|12,0.79,2022/08,2022/09,31312.09,55925.46,-0.11,48464.0
12|12,1.19,2023/07,2023/08,32394.81,71064.58,0.1,48464.0
21Seeds Tequila,1.03,2022/03,2022/04,11684.72,23754.74,0.18,8920.0
21Seeds Tequila,0.51,2023/01,2023/02,6140.99,9300.57,-0.12,8920.0
21Seeds Tequila,-0.76,2023/02,2023/03,9300.57,2239.18,0.07,8920.0
21Seeds Tequila,1.69,2023/06,2023/07,1525.04,4098.34,0.11,8920.0
21Seeds Tequila,-0.59,2023/12,2024/01,2465.28,999.72,1.49,8920.0
21Seeds Tequila,,2024/01,2024/02,999.72,,,8920.0
A Kids Co.,0.57,2022/01,2022/02,95742.23,150452.35,-0.08,84196.0
A Kids Co.,,2022/09,2022/10,49989.95,,,84196.0
A Kids Co.,2.24,2023/02,2023/03,81241.74,263541.77,-0.21,84196.0
A Kids Co.,1.26,2023/09,2023/10,57878.98,130580.62,,84196.0
AAVRANI,0.86,2022/08,2022/09,49218.08,91368.86,0.12,47183.0
AAVRANI,0.71,2023/12,2024/01,19636.25,33668.19,1.28,47183.0
AAVRANI,-0.57,2024/01,2024/02,33668.19,14596.52,0.29,47183.0
AAVRANI,-0.8,2024/02,2024/03,14596.52,2884.41,0.23,47183.0
Admire My Skin,0.56,2023/12,2024/01,6380.65,9982.89,2.87,19471.0
Afloral,0.88,2022/09,2022/10,1599209.94,3002749.94,0.12,1348002.0
Airo Collective,0.58,2022/09,2022/10,22391.53,35360.31,-0.24,26522.0
Airsign,149.64,2022/02,2022/03,321.19,48385.61,0.35,14339.0
Airsign,0.6,2022/08,2022/09,20199.83,32307.35,-0.1,14339.0
Airsign,,2024/02,2024/03,601.22,,,14339.0
Alchemy Fine Home,-0.67,2022/09,2022/10,304784.8,99897.0,0.49,241160.0
Alchemy Fine Home,0.66,2023/04,2023/05,199607.93,330755.22,-0.5,241160.0
ALKAGLAM,7.82,2022/07,2022/08,220.0,1939.4,-0.78,2169.0
ALKAGLAM,17.78,2022/08,2022/09,1939.4,36422.28,,2169.0
ALKAGLAM,-0.95,2022/09,2022/10,36422.28,1778.03,,2169.0
ALKAGLAM,1.42,2023/01,2023/02,347.34,838.92,-0.34,2169.0
ALKAGLAM,-0.78,2023/07,2023/08,535.02,116.24,7.82,2169.0
ALKAGLAM,,2023/08,2023/09,116.24,,,2169.0
ALKAGLAM,,2023/12,2024/01,375.61,,,2169.0
ALKAGLAM,,2024/02,2024/03,236.7,,,2169.0
Alkavida,,2022/01,2022/02,8183.41,,,2148.0
Alkavida,-0.62,2022/04,2022/05,538.14,205.95,4.5,2148.0
Alkavida,22.38,2022/06,2022/07,140.0,3272.65,-0.93,2148.0
Alkavida,1.45,2022/08,2022/09,4565.0,11169.69,0.34,2148.0
Alkavida,,2022/12,2023/01,336.37,,,2148.0
Alkavida,4.5,2023/04,2023/05,603.85,3323.45,-0.62,2148.0
Alkavida,-0.93,2023/06,2023/07,3553.35,250.0,22.38,2148.0
Alkavida,-0.61,2023/12,2024/01,884.05,344.53,,2148.0
allyoos,1.06,2022/12,2023/01,395.51,815.54,2.25,2684.0
allyoos,0.67,2023/01,2023/02,815.54,1360.24,-0.34,2684.0
allyoos,1.08,2023/05,2023/06,1517.0,3158.78,0.32,2684.0
Alpha-H,,2022/02,2022/03,88.37,,,7141.0
Alpha-H,,2022/05,2022/06,0.0,,,7141.0
Alpha-H,-0.74,2024/01,2024/02,32107.76,8412.81,,7141.0
Alpha-H,,2024/02,2024/03,8412.81,,,7141.0
Alpyn Beauty,1.24,2022/09,2022/10,53547.0,120050.4,0.24,92621.0
Altitude Functional Beverages,1.16,2022/09,2022/10,1137.6,2459.56,-0.44,2005.0
Altitude Functional Beverages,1.06,2022/12,2023/01,1378.89,2841.31,-0.38,2005.0
Amazi Foods,1.09,2023/02,2023/03,1107.19,2316.32,0.06,1138.0
Amazi Foods,-0.7,2023/06,2023/07,865.45,262.47,-0.06,1138.0
Amazi Foods,0.92,2023/07,2023/08,262.47,504.61,0.15,1138.0
Ami Colé,0.61,2022/06,2022/07,43531.4,69999.82,-0.21,66026.0
Ansea,0.95,2022/02,2022/03,3641.44,7095.55,1.83,5170.0
Ansea,-0.78,2022/03,2022/04,7095.55,1547.75,0.34,5170.0
Ansea,2.11,2022/04,2022/05,1547.75,4813.51,-0.67,5170.0
Ansea,-0.68,2022/08,2022/09,1258.31,408.75,0.56,5170.0
Ansea,1.25,2022/09,2022/10,408.75,920.56,0.5,5170.0
Ansea,17.81,2022/12,2023/01,3903.3,73405.0,0.98,5170.0
Ansea,1.83,2023/02,2023/03,380.0,1075.0,0.95,5170.0
Ansea,-0.67,2023/04,2023/05,1444.97,476.9,2.11,5170.0
Ansea,-0.73,2023/05,2023/06,476.9,130.0,0.19,5170.0
Ansea,0.56,2023/08,2023/09,220.0,342.96,-0.68,5170.0
Ansea,0.5,2023/09,2023/10,342.96,516.0,1.25,5170.0
Ansea,1.0,2024/01,2024/02,222.5,445.5,-0.99,5170.0
Ansea,,2024/02,2024/03,445.5,,,5170.0
