Brand,percent_change,prev_month,current_month,prev_month_order,current_month_order,other_year_change,avg_monthly_orders
12|12,0.6,2022/08,2022/09,241.0,386.0,-0.03,370.0
12|12,0.53,2022/12,2023/01,206.0,315.0,1.3,370.0
12|12,0.62,2023/03,2023/04,277.0,449.0,0.04,370.0
12|12,1.22,2023/07,2023/08,232.0,515.0,0.09,370.0
12|12,0.51,2023/12,2024/01,333.0,504.0,-0.05,370.0
21Seeds Tequila,1.06,2022/03,2022/04,106.0,218.0,0.19,80.0
21Seeds Tequila,-0.74,2023/02,2023/03,81.0,21.0,0.08,80.0
21Seeds Tequila,1.87,2023/06,2023/07,15.0,43.0,-0.01,80.0
21Seeds Tequila,0.52,2023/09,2023/10,21.0,32.0,-0.15,80.0
21Seeds Tequila,,2024/01,2024/02,9.0,,,80.0
A Kids Co.,1.26,2022/02,2022/03,1956.0,4428.0,2.12,1772.0
A Kids Co.,,2022/09,2022/10,1038.0,,,1772.0
A Kids Co.,2.12,2023/02,2023/03,1745.0,5439.0,1.26,1772.0
AAVRANI,0.76,2022/08,2022/09,749.0,1319.0,-0.04,731.0
AAVRANI,-0.67,2024/01,2024/02,764.0,249.0,0.18,731.0
AAVRANI,-0.77,2024/02,2024/03,249.0,58.0,0.88,731.0
Admire My Skin,0.61,2023/12,2024/01,144.0,232.0,3.33,432.0
Airsign,,2024/02,2024/03,15.0,,,98.0
Alchemy Fine Home,-0.56,2022/04,2022/05,393.0,172.0,0.78,196.0
Alchemy Fine Home,-0.73,2022/09,2022/10,232.0,63.0,0.73,196.0
Alchemy Fine Home,0.78,2023/04,2023/05,138.0,246.0,-0.56,196.0
Alchemy Fine Home,0.73,2023/09,2023/10,100.0,173.0,-0.73,196.0
ALKAGLAM,3.21,2022/08,2022/09,19.0,80.0,,8.0
ALKAGLAM,-0.76,2022/09,2022/10,80.0,19.0,,8.0
ALKAGLAM,,2023/08,2023/09,1.0,,,8.0
ALKAGLAM,,2023/12,2024/01,2.0,,,8.0
ALKAGLAM,,2024/02,2024/03,1.0,,,8.0
Alkavida,,2022/01,2022/02,3.0,,,3.0
Alkavida,,2022/12,2023/01,3.0,,,3.0
allyoos,-0.53,2022/01,2022/02,30.0,14.0,0.43,68.0
allyoos,1.11,2023/06,2023/07,76.0,160.0,0.48,68.0
Alpha-H,,2022/02,2022/03,1.0,,,88.0
Alpha-H,,2022/05,2022/06,4.0,,,88.0
Alpha-H,-0.72,2024/01,2024/02,406.0,114.0,,88.0
Alpha-H,,2024/02,2024/03,114.0,,,88.0
Alpyn Beauty,1.13,2022/09,2022/10,860.0,1831.0,0.18,1107.0
Altitude Functional Beverages,1.05,2022/09,2022/10,20.0,41.0,-0.4,31.0
Altitude Functional Beverages,0.76,2022/12,2023/01,25.0,44.0,0.08,31.0
Amazi Foods,-0.63,2023/04,2023/05,52.0,19.0,0.0,32.0
Amazi Foods,0.79,2024/01,2024/02,19.0,34.0,-0.07,32.0
Ami Colé,1.27,2022/06,2022/07,702.0,1593.0,-0.26,1188.0
Andie,0.81,2022/02,2022/03,11393.0,20656.0,0.24,15469.0
Ansea,,2024/02,2024/03,2.0,,,10.0
Anyday,1.47,2022/02,2022/03,1064.0,2631.0,0.02,3080.0
Arber,1.71,2022/01,2022/02,145.0,393.0,-0.09,482.0
Arber,0.87,2022/02,2022/03,393.0,736.0,-0.03,482.0
Arber,1.22,2023/12,2024/01,129.0,286.0,2.75,482.0
Arber,1.24,2024/02,2024/03,338.0,758.0,-0.03,482.0
Aria Beauty,1.14,2023/02,2023/03,134.0,287.0,-0.14,96.0
Aria Beauty,-0.76,2023/06,2023/07,255.0,60.0,-0.25,96.0
ARMRA Colostrum™,,2024/01,2024/02,41630.0,,,42186.0
Ashlen,0.85,2023/02,2023/03,5662.0,10467.0,-0.13,12921.0
Ashlen,0.59,2023/03,2023/04,10467.0,16644.0,0.07,12921.0
Ashlen,-0.63,2024/01,2024/02,20982.0,7744.0,-0.03,12921.0
Aura Bora,1.39,2022/03,2022/04,2074.0,4955.0,0.06,3080.0
Baby Delight,,2022/06,2022/07,17550.0,,,1538.0
Baby Delight,1.69,2022/09,2022/10,228.0,614.0,-0.04,1538.0
Baby K'tan,0.53,2024/01,2024/02,252.0,386.0,-0.17,617.0
Bandier,-0.63,2022/05,2022/06,12534.0,4586.0,-0.1,6621.0
Bandier,0.98,2023/02,2023/03,6079.0,12038.0,0.34,6621.0
Bang Cookies,,2024/02,2024/03,5908.0,,,12216.0
Banza,1.13,2022/01,2022/02,592.0,1260.0,-0.21,296.0
Banza,-0.58,2022/02,2022/03,1260.0,524.0,0.12,296.0
Banza,0.79,2023/06,2023/07,128.0,229.0,0.23,296.0
Banza,2.02,2023/08,2023/09,142.0,429.0,-0.38,296.0
Banza,,2024/01,2024/02,127.0,,,296.0
BASIK CANDLE CO,1.63,2022/03,2022/04,68.0,179.0,4.12,96.0
BASIK CANDLE CO,4.12,2023/03,2023/04,69.0,353.0,1.63,96.0
Bask Suncare,1.96,2022/01,2022/02,239.0,708.0,1.03,789.0
Bask Suncare,-0.66,2022/03,2022/04,710.0,241.0,1.16,789.0
Bask Suncare,4.53,2022/04,2022/05,241.0,1333.0,0.63,789.0
Bask Suncare,0.66,2022/12,2023/01,88.0,146.0,1.72,789.0
Bask Suncare,1.03,2023/01,2023/02,146.0,296.0,1.96,789.0
Bask Suncare,1.16,2023/03,2023/04,364.0,786.0,-0.66,789.0
Bask Suncare,0.63,2023/04,2023/05,786.0,1283.0,4.53,789.0
Bask Suncare,0.91,2023/12,2024/01,180.0,343.0,-0.19,789.0
Bask Suncare,2.06,2024/01,2024/02,343.0,1048.0,1.03,789.0
BAZZAAL INC,11.32,2022/01,2022/02,152.0,1872.0,0.18,598.0
BAZZAAL INC,0.82,2022/05,2022/06,593.0,1078.0,,598.0
BAZZAAL INC,-0.8,2022/06,2022/07,1078.0,216.0,,598.0
BAZZAAL INC,-0.65,2022/09,2022/10,222.0,77.0,0.24,598.0
BAZZAAL INC,,2023/04,2023/05,1.0,,,598.0
BAZZAAL INC,7.28,2023/08,2023/09,121.0,1002.0,0.4,598.0
BAZZAAL INC,-0.65,2024/01,2024/02,671.0,237.0,0.18,598.0
Beachwaver,0.6,2022/09,2022/10,28821.0,46175.0,-0.37,75942.0
Beachwaver,2.36,2023/07,2023/08,39316.0,132018.0,-0.32,75942.0
beam,-0.95,2024/02,2024/03,25820.0,1231.0,0.08,16298.0
Bear Balanced,-0.62,2022/09,2022/10,1166.0,442.0,,640.0
Bear Balanced,,2022/12,2023/01,45.0,,,640.0
Bear Balanced,,2023/02,2023/03,1.0,,,640.0
Bear Balanced,5.92,2023/04,2023/05,129.0,893.0,0.42,640.0
Bear Balanced,-0.59,2023/06,2023/07,856.0,351.0,0.2,640.0
Bear Balanced,,2023/09,2023/10,535.0,,,640.0
Bear Balanced,-0.75,2023/12,2024/01,425.0,106.0,,640.0
Bear Balanced,,2024/01,2024/02,106.0,,,640.0
Beekman 1802,0.57,2023/04,2023/05,16219.0,25464.0,0.06,19502.0
Beginning Boutique,0.84,2023/12,2024/01,6545.0,12028.0,-0.37,7562.0
Beginningboutique,,2022/03,2022/04,4.0,,,14.0
Beginningboutique,-0.76,2023/01,2023/02,46.0,11.0,,14.0
Beginningboutique,,2023/03,2023/04,31.0,,,14.0
Beginningboutique,,2023/08,2023/09,1.0,,,14.0
Beginningboutique,,2023/12,2024/01,1.0,,,14.0
BEHAVE,3.33,2023/08,2023/09,72.0,312.0,-0.33,188.0
BelliWelli,0.87,2023/04,2023/05,1559.0,2917.0,0.1,2250.0
BelliWelli,1.27,2024/02,2024/03,707.0,1606.0,0.0,2250.0
Bellway,0.63,2022/12,2023/01,292.0,477.0,1.71,434.0
Bellway,,2024/01,2024/02,176.0,,,434.0
Better & Better,7.83,2022/04,2022/05,29.0,256.0,0.28,453.0
Better Basics,0.84,2022/02,2022/03,75.0,138.0,0.23,81.0
Better Basics,1.13,2022/06,2022/07,61.0,130.0,0.51,81.0
Better Basics,0.51,2023/06,2023/07,63.0,95.0,1.13,81.0
Better Basics,-0.68,2024/01,2024/02,65.0,21.0,0.05,81.0
Better Basics,0.76,2024/02,2024/03,21.0,37.0,0.23,81.0
BEVVO Blender,,2022/09,2022/10,6.0,,,4.0
BEVVO Blender,,2023/03,2023/04,1.0,,,4.0
BEVVO Blender,,2023/09,2023/10,1.0,,,4.0
BEVVO Blender,,2024/02,2024/03,1.0,,,4.0
Billion Dollar Beauty,0.98,2022/04,2022/05,201.0,398.0,0.08,507.0
Billion Dollar Beauty,0.51,2023/01,2023/02,300.0,453.0,-0.01,507.0
Billion Dollar Beauty,1.01,2023/06,2023/07,603.0,1213.0,0.21,507.0
Billion Dollar Beauty,-0.51,2023/07,2023/08,1213.0,589.0,-0.01,507.0
Billy Reid,-0.56,2022/01,2022/02,7036.0,3095.0,-0.01,4970.0
biom,1.3,2022/03,2022/04,293.0,675.0,0.21,1653.0
biom,0.94,2022/04,2022/05,675.0,1309.0,-0.07,1653.0
BiSaddle,-0.52,2022/12,2023/01,109.0,52.0,0.43,212.0
BiSaddle,1.38,2023/01,2023/02,52.0,124.0,0.41,212.0
BiSaddle,1.79,2023/04,2023/05,82.0,229.0,0.16,212.0
BiSaddle,0.78,2023/06,2023/07,148.0,263.0,-0.03,212.0
BiSaddle,0.56,2023/12,2024/01,192.0,300.0,-0.73,212.0
BiSaddle,0.58,2024/01,2024/02,300.0,474.0,1.38,212.0
Black Wolf Nation,0.64,2022/05,2022/06,7626.0,12542.0,-0.15,11497.0
Black Wolf Nation,0.54,2023/02,2023/03,15245.0,23551.0,-0.08,11497.0
Black Wolf Nation,-0.66,2023/12,2024/01,6909.0,2318.0,1.36,11497.0
Black Wolf Nation,0.77,2024/01,2024/02,2318.0,4098.0,-0.07,11497.0
Blessed Be Magick,0.8,2022/04,2022/05,247.0,445.0,0.28,553.0
Block Set Project,,2022/02,2022/03,2.0,,,11.0
Block Set Project,,2022/05,2022/06,2.0,,,11.0
Block Set Project,,2022/07,2022/08,1.0,,,11.0
Block Set Project,,2022/09,2022/10,2.0,,,11.0
Block Set Project,2.7,2023/06,2023/07,10.0,37.0,,11.0
Block Set Project,-0.65,2023/07,2023/08,37.0,13.0,,11.0
Block Set Project,0.54,2023/08,2023/09,13.0,20.0,,11.0
Block Set Project,0.55,2023/09,2023/10,20.0,31.0,,11.0
