"DATE","WIDGET_LOADS","CONV","AD_SPEND"
"2023-10-01","79293","314",6751.77
"2023-10-02","93020","419",8373.72
"2023-10-03","92559","439",10030
"2023-10-04","88324","468",8507.11
"2023-10-05","96917","412",7645.54
"2023-10-06","89190","463",8522.77
"2023-10-07","82878","370",7148.58
"2023-10-08","77979","348",6780.55
"2023-10-09","86713","393",7790.98
"2023-10-10","101999","412",8675.86
"2023-10-11","85976","335",6673.12
"2023-10-12","82258","458",9439.74
"2023-10-13","81588","549",9454.3
"2023-10-14","67931","372",6559.97
"2023-10-15","66538","305",6207.24
"2023-10-16","88216","403",7765.76
"2023-10-17","93361","386",7478.57
"2023-10-18","86356","341",7078.53
"2023-10-19","94281","353",6624.53
"2023-10-20","82290","378",7320.04
"2023-10-21","72215","351",6977.95
"2023-10-22","73206","382",7289.72
"2023-10-23","84954","491",9443.74
"2023-10-24","88261","409",7798.71
"2023-10-25","83617","466",9842.3
"2023-10-26","80845","360",7105
"2023-10-27","84303","391",8417.28
"2023-10-28","74578","459",8117.78
"2023-10-29","79967","381",7337.06
"2023-10-30","90867","597",12068.04
"2023-10-31","86055","471",9099.32
"2023-11-01","95652","570",11982.75
"2023-11-02","109132","610",13487.58
"2023-11-03","102958","579",10012.86
"2023-11-04","90572","516",11113.1
"2023-11-05","96802","502",10704.87
"2023-11-06","111286","665",14955.61
"2023-11-07","109976","724",16348.28
"2023-11-08","105516","617",14092.06
"2023-11-09","110001","710",15385.31
"2023-11-10","116543","933",20278.08
"2023-11-11","103347","920",20127.74
"2023-11-12","102470","930",20002.76
"2023-11-13","119205","1153",22441.04
"2023-11-14","117427","1202",24819.98
"2023-11-15","127432","1076",22659.56
"2023-11-16","124087","1217",24865.1
"2023-11-17","130417","1398",25869.84
"2023-11-18","120208","1210",22165.14
"2023-11-19","130813","1334",21218.57
"2023-11-20","174057","1417",28531.47
"2023-11-21","173595","3861",32588.07
"2023-11-22","183330","1517",34726.32
"2023-11-23","175583","1339",27981.35
"2023-11-24","414833","2736",60052.87
"2023-11-25","242758","2076",48163.67
"2023-11-26","242956","1354",29130.68
"2023-11-27","504034","2234",36526.42
"2023-11-28","229932","1278",24295.87
"2023-11-29","203329","2557",14352.14
"2023-11-30","199258","691",13040.69
"2023-12-01","180874","915",15958.92
"2023-12-02","169434","804",14086.74
"2023-12-03","160953","742",12308.77
"2023-12-04","190281","757",14699.25
"2023-12-05","176825","647",12247.55
"2023-12-06","163654","613",11594.28
"2023-12-07","156026","1784",13450.91
"2023-12-08","152456","589",10601.64
"2023-12-09","139599","564",10682.54
"2023-12-10","146466","484",9401.24
"2023-12-11","163603","630",10061.78
"2023-12-12","162274","598",9924.75
"2023-12-13","149409","531",8696.71
"2023-12-14","148249","575",8371.52
"2023-12-15","136339","669",8558.32
"2023-12-16","131540","414",7859.76
"2023-12-17","131970","381",8551.71
"2023-12-18","152846","453",9378.44
"2023-12-19","138356","388",8433.29
"2023-12-20","124335","326",6995.06
"2023-12-21","117149","336",6829.22
"2023-12-22","109672","299",6776.73
"2023-12-23","88511","283",6606.75
"2023-12-24","68947","254",5511.01
"2023-12-25","73846","188",4019.27
"2023-12-26","121227","350",8243.92
"2023-12-27","119883","387",8592.01
"2023-12-28","123630","604",10223.23
"2023-12-29","114843","460",10474.29
"2023-12-30","105069","335",7255.04
"2023-12-31","90165","355",8314.48
"2024-01-01","92786","307",6657.48
"2024-01-02","121134","445",9489
"2024-01-03","120053","442",8916.37
"2024-01-04","126374","536",9395.17
"2024-01-05","117307","411",8190.72
"2024-01-06","111762","408",7685.02
"2024-01-07","100085","386",8276.29
"2024-01-08","117280","388",8965
"2024-01-09","107686","400",8186.7
"2024-01-10","96480","321",6321.77
"2024-01-11","100139","360",7021.49
"2024-01-12","97419","362",6417.47
"2024-01-13","87191","308",5756.24
"2024-01-14","83332","308",6815.95
"2024-01-15","101763","325",6650.74
"2024-01-16","112125","364",7191.96
"2024-01-17","103934","392",7732.03
"2024-01-18","97885","388",6985.32
"2024-01-19","98664","351",7657.51
"2024-01-20","90834","350",7365.25
"2024-01-21","95143","332",7489.62
"2024-01-22","105283","429",8635.76
"2024-01-23","94854","404",8870.72
"2024-01-24","83955","321",6427.21
"2024-01-25","95372","309",6020.65
"2024-01-26","92116","371",7374.2
"2024-01-27","80153","341",6885.96
"2024-01-28","80000","371",7668.18
"2024-01-29","95651","384",8216.13
"2024-01-30","93522","388",8002.07
"2024-01-31","88131","438",9581.24
"2024-02-01","110580","436",8745
"2024-02-02","100323","497",9350.94
"2024-02-03","94553","417",8853.71
"2024-02-04","88049","438",9016.79
"2024-02-05","111664","503",10179.44
"2024-02-06","114913","502",10311.32
"2024-02-07","108111","557",11879.03
"2024-02-08","119694","517",9805.77
"2024-02-09","113252","551",10446.42
"2024-02-10","107555","570",11050.98
"2024-02-11","98678","560",10010.88
"2024-02-12","119423","591",10194.11
"2024-02-13","128062","665",11133.45
"2024-02-14","124636","632",10635.87
"2024-02-15","121314","601",10193.23
"2024-02-16","134348","718",11267.4
"2024-02-17","127622","740",11803.44
"2024-02-18","116623","683",11638.22
"2024-02-19","142160","873",13770.3
"2024-02-20","150083","832",13125.55
"2024-02-21","143664","787",12156.75
"2024-02-22","151376","678",9583.06
"2024-02-23","167868","622",8995.59
"2024-02-24","150660","613",8609.95
"2024-02-25","131584","537",7638.21
"2024-02-26","161362","655",9216.58
"2024-02-27","166132","599",8560.3
"2024-02-28","168975","577",7089.08
"2024-02-29","169510","636",9069.19
"2024-03-01","154011","575",8144.36
"2024-03-02","153489","571",9197.19
"2024-03-03","125067","511",8281.72
"2024-03-04","154326","528",8366.97
"2024-03-05","154808","740",10050.19
"2024-03-06","151288","969",13101.11
"2024-03-07","152846","874",12243.56
"2024-03-08","148742","940",12236.22
"2024-03-09","142123","742",10478.8
"2024-03-10","120084","558",7875.82
"2024-03-11","144575","651",9667.97
"2024-03-12","142119","696",10273.92
"2024-03-13","147551","818",12052.83
"2024-03-14","152782","815",10811.38
"2024-03-15","150654","797",11299.5
"2024-03-16","132374","776",10370.26
"2024-03-17","122768","721",9879.8
"2024-03-18","149949","914",10673.92
"2024-03-19","143920","652",9991.58
"2024-03-20","143778","593",9376.92
"2024-03-21","136477","566",9189.67
"2024-03-22","131842","510",9308.66
"2024-03-23","125730","480",7729.37
"2024-03-24","112659","445",7699.36
"2024-03-25","133302","508",7660
"2024-03-26","141570","655",8379.5
"2024-03-27","134598","523",7273.87
"2024-03-28","137648","566",8234.1
"2024-03-29","130341","407",6208.7
"2024-03-30","115950","360",5385.47
"2024-03-31","98671","327",5258.37
"2024-04-01","134123","360",6268.95
"2024-04-02","137886","399",6187.35
"2024-04-03","129688","366",6066.56
"2024-04-04","130365","440",6715.17
"2024-04-05","130812","342",5311.5
"2024-04-06","119780","362",6103.86
"2024-04-07","109102","315",5634.98
"2024-04-08","124491","330",4910.36
"2024-04-09","131711","344",5257
"2024-04-10","133110","369",5506.45
"2024-04-11","136281","317",4818.84
"2024-04-12","142618","297",4556.82
"2024-04-13","131213","238",3785.31
"2024-04-14","114154","228",3481.31
"2024-04-15","138122","158",2575
"2024-04-16","138694","186",2629.96
"2024-04-17","139133","138",2810.74
"2024-04-18","149127","79",917.04
"2024-04-19","25059",,
