"DATE","WIDGET_LOADS","CONV","AD_SPEND","ROLLING_AVG_WIDGET_LOADS","ROLLING_AVG_CONV","ROLLING_AVG_AD_SPEND"
"2024-01-20","112631","412",9019.25,112631,412,9019.25
"2024-01-21","104918","413",9486.62,108774.5,412.5,9252.935
"2024-01-22","132796","558",11757.76,116781.666,461,10087.87666
"2024-01-23","121026","555",12216.2,117842.75,484.5,10619.9575
"2024-01-24","106567","462",9673.17,115587.6,480,10430.6
"2024-01-25","109794","434",8694.13,114622,472.333,10141.18833
"2024-01-26","115689","566",10654.42,114774.428,485.714,10214.50714
"2024-01-27","101540","599",11970.44,113190,512.428,10636.10571
"2024-01-28","92702","608",12775.66,111444.857,540.285,11105.96857
"2024-01-29","114603","736",15252.34,108845.857,565.714,11605.19428
"2024-01-30","115077","794",16440.63,107996,599.857,12208.68428
"2024-01-31","115825","923",19154.09,109318.571,665.714,13563.10142
"2024-02-01","110315","1029",19952.4,109393,750.714,15171.42571
"2024-02-02","100132","1060",19261.8,107170.571,821.285,16401.05142
"2024-02-03","94346","998",20214.9,106142.857,878.285,17578.83142
"2024-02-04","87843","883",16709.87,105448.714,917.571,18140.86142
"2024-02-05","111439","1022",18203.07,104996.714,958.428,18562.39428
"2024-02-06","114650","1086",19812.01,104935.714,1000.142,19044.02
"2024-02-07","107902","1128",20697.42,103803.857,1029.428,19264.49571
"2024-02-08","119360","1031",17770.85,105096,1029.714,18952.84571
"2024-02-09","113023","1070",18169.37,106937.571,1031.142,18796.78428
"2024-02-10","107367","1167",19323.09,108797.714,1055.285,18669.38285
"2024-02-11","98462","970",15594.81,110314.714,1067.714,18510.08857
"2024-02-12","119183","1139",16548.96,111421,1084.428,18273.78714
"2024-02-13","127802","1346",19967.8,113299.857,1121.571,18296.04285
"2024-02-14","124413","1244",17563.55,115658.571,1138.142,17848.34714
"2024-02-15","121117","1156",16689.92,115909.571,1156,17693.92857
"2024-02-16","134041","1278",16873.97,118912.142,1185.714,17508.87142
"2024-02-17","127350","1291",18374.35,121766.857,1203.428,17373.33714
"2024-02-18","116338","1162",17110.59,124320.571,1230.857,17589.87714
"2024-02-19","141821","1424",19180.44,127554.571,1271.571,17965.80285
"2024-02-20","149798","1349",18937.73,130696.857,1272,17818.65
"2024-02-21","143438","1210",16989.55,133414.714,1267.142,17736.65
"2024-02-22","151029","1086",14672.25,137687.857,1257.142,17448.41142
"2024-02-23","167382","1069",15031.23,142450.857,1227.285,17185.16285
"2024-02-24","150184","1079",14667.99,145712.857,1197,16655.68285
"2024-02-25","131125","939",11603.74,147825.285,1165.142,15868.99
"2024-02-26","160911","1274",15911.58,150552.428,1143.714,15402.01
"2024-02-27","165594","1150",14779.28,152809,1115.285,14807.94571
"2024-02-28","168533","1272",16051.13,156394,1124.142,14673.88571
"2024-02-29","169016","1323",18278.82,158963.571,1158,15189.11
"2024-03-01","153562","1181",16876.41,156989.285,1174,15452.70714
"2024-03-02","153002","1158",18430.19,157391.857,1185.285,15990.16428
"2024-03-03","124555","943",14020.37,156453.285,1185.857,16335.39714
"2024-03-04","153870","1134",16614.12,155447.428,1165.857,16435.76
"2024-03-05","154408","1448",19341.03,153849.428,1208.428,17087.43857
"2024-03-06","150832","1590",19301.87,151320.714,1253.857,17551.83
"2024-03-07","152393","1605",19929.2,148946,1294.142,17787.59857
"2024-03-08","148336","1487",17756.36,148199.428,1337.857,17913.30571
"2024-03-09","141710","1346",17443.67,146586.285,1364.714,17772.37428
"2024-03-10","119670","961",11799.11,145888.428,1367.285,17455.05142
"2024-03-11","144158","1220",15174.1,144501,1379.571,17249.33428
"2024-03-12","141703","1209",14594.87,142686,1345.428,16571.31142
"2024-03-13","147108","1474",18124.33,142154,1328.857,16403.09142
"2024-03-14","152296","1536",17066.72,142140.142,1319,15994.16571
"2024-03-15","150116","1437",17337.16,142394.428,1311.857,15934.28
"2024-03-16","131903","1369",14958.96,140993.428,1315.142,15579.32142
"2024-03-17","122311","1323",14892.83,141370.714,1366.857,16021.28142
"2024-03-18","149568","1795",15956.81,142143.571,1449,16133.09714
"2024-03-19","143523","1084",15270.62,142403.571,1431.142,16229.63285
"2024-03-20","143340","1020",14847.08,141865.285,1366.285,15761.45428
"2024-03-21","136055","965",13731.73,139545.142,1284.714,15285.02714
"2024-03-22","131470","888",14022.87,136881.428,1206.285,14811.55714
"2024-03-23","125354","854",13467.81,135945.857,1132.714,14598.53571
"2024-03-24","112308","805",11802.16,134516.857,1058.714,14157.01142
"2024-03-25","132986","933",13512.11,132148,935.571,13807.76857
"2024-03-26","141218","1163",15757.59,131818.714,946.857,13877.33571
"2024-03-27","134242","1024",14085.3,130519,947.428,13768.51
"2024-03-28","137222","986",14369.46,130685.714,950.428,13859.61428
"2024-03-29","129959","770",12675.25,130469.857,933.571,13667.09714
"2024-03-30","115593","627",9919.32,129075.428,901.142,13160.17
"2024-03-31","98324","549",9312.16,127077.714,864.571,12804.45571
"2024-04-01","133702","601",11046.57,127180,817.142,12452.23571
"2024-04-02","137485","741",12013.79,126646.714,756.857,11917.40714
"2024-04-03","129316","665",10756.36,125943,705.571,11441.84428
"2024-04-04","129956","762",12056.29,124905,673.571,11111.39142
"2024-04-05","130413","607",9716.04,124969.857,650.285,10688.64714
"2024-04-06","119358","609",10015.68,125507.714,647.714,10702.41285
