"DATE","IMPRESSION_SEQUENCE","LOADS","ADVERTISER_COUNT","CONV","AD_SPEND"
"2024-02-01","first_day","144376","534862","1973",37240.8
"2024-02-02","first_day","79284","219504","928",16151.69
"2024-02-02","subsequent_under_half_week","126215","266169","1060",19055.82
"2024-02-03","subsequent_under_half_week","128139","280111","1095",21857.88
"2024-02-03","first_day","66761","179515","827",16558.94
"2024-02-04","subsequent_over_half_week","78961","158232","609",10828.35
"2024-02-04","subsequent_under_half_week","47099","110670","428",8494.27
"2024-02-04","first_day","62316","172311","690",12325.64
"2024-02-05","first_day","69915","189555","679",12178.73
"2024-02-05","subsequent_over_half_week","145239","320778","1094",19194.94
"2024-02-05","subsequent_under_half_week","15853","44621","142",2406
"2024-02-06","subsequent_under_half_week","15699","43259","143",2298.96
"2024-02-06","subsequent_over_half_week","150279","337009","1209",21540.01
"2024-02-06","first_day","70285","188954","775",13936.76
"2024-02-07","first_day","62830","171775","724",13469
"2024-02-07","subsequent_over_half_week","142915","323259","1279",23236.92
"2024-02-07","subsequent_under_half_week","16043","43626","165",2789.92
"2024-02-08","first_day","72741","188592","730",11936.08
"2024-02-08","subsequent_under_half_week","16124","43652","126",1999.98
"2024-02-08","subsequent_over_half_week","155173","349626","1192",20082.35
"2024-02-09","subsequent_over_half_week","148916","348933","1190",19925.85
"2024-02-09","subsequent_under_half_week","13329","35092","121",2118.97
"2024-02-09","first_day","69008","197244","706",11844.93
"2024-02-10","first_day","68682","216817","878",14274.51
"2024-02-10","subsequent_under_half_week","10524","29447","96",1581
"2024-02-10","subsequent_over_half_week","141140","352949","1289",20916.09
"2024-02-11","subsequent_under_half_week","10207","32087","70",761.97
"2024-02-11","first_day","64896","191588","734",11485.33
"2024-02-11","subsequent_over_half_week","132400","306967","1078",16962.31
"2024-02-12","subsequent_under_half_week","17194","60236","139",2113
"2024-02-12","subsequent_over_half_week","150916","397824","1308",18775.93
"2024-02-12","first_day","66820","199312","749",10196.99
"2024-02-13","subsequent_under_half_week","17460","59645","176",2603.75
"2024-02-13","subsequent_over_half_week","160102","434907","1570",22605.01
"2024-02-13","first_day","69883","204983","857",12733.1
"2024-02-14","subsequent_over_half_week","157857","419611","1435",20184.05
"2024-02-14","subsequent_under_half_week","14892","47729","143",1907
"2024-02-14","first_day","70385","200215","790",10942.16
"2024-02-15","first_day","68340","195567","723",10691.72
"2024-02-15","subsequent_over_half_week","153064","408876","1365",18790.42
"2024-02-15","subsequent_under_half_week","14230","43709","136",1910.72
"2024-02-16","subsequent_over_half_week","167184","446056","1460",18495.96
"2024-02-16","subsequent_under_half_week","14610","45377","122",1470.92
"2024-02-16","first_day","78966","220157","911",11600.06
"2024-02-17","subsequent_under_half_week","12603","37094","118",1443
"2024-02-17","first_day","79033","224096","906",12872.92
"2024-02-17","subsequent_over_half_week","162971","422279","1491",20896.8
"2024-02-18","first_day","76015","215646","864",12965.12
