"DATE","IMPRESSION_SEQUENCE","LOADS","ADVERTISER_COUNT","CONV","AD_SPEND","LOADS_7_DAY_AVG","ADVERTISER_COUNT_7_DAY_AVG","CONV_7_DAY_AVG","AD_SPEND_7_DAY_AVG"
"2024-01-18","first_day","153028","636919","2144",31132.54,153028,636919,2144,31132.54
"2024-01-19","first_day","98956","286478","1029",18491.17,125992,461698.5,1586.5,24811.855
"2024-01-20","first_day","80099","225802","831",16424.06,110694.333,383066.333,1334.666,22015.92333
"2024-01-21","first_day","72687","203121","812",13640.37,101192.5,338080,1204,19922.035
"2024-01-22","first_day","82555","226290","880",15577.47,97465,315722,1139.2,19053.122
"2024-01-23","first_day","68301","187140","669",13022.65,92604.333,294291.666,1060.833,18048.04333
"2024-01-24","first_day","53194","146883","526",10804.97,86974.285,273233.285,984.428,17013.31857
"2024-01-25","first_day","43986","116210","430",7371.89,71396.857,198846.285,739.571,13618.94
"2024-01-26","first_day","54355","146841","521",9112.43,65025.285,178898.142,667,12279.12
"2024-01-27","first_day","62528","170610","634",11487.67,62515.142,171013.571,638.857,11573.92142
"2024-01-28","first_day","61121","166588","599",12388.93,60862.857,165794.571,608.428,11395.14428
"2024-01-29","first_day","63566","171813","598",11858.13,58150.142,158012.142,568.142,10863.81
"2024-01-30","first_day","64010","172357","587",11687.98,57537.142,155900.285,556.428,10673.14285
"2024-01-31","first_day","66265","176759","649",13212.59,59404.428,160168.285,574,11017.08857
"2024-02-01","first_day","62970","165088","614",12126.2,62116.428,167150.857,600.285,11696.27571
"2024-02-02","first_day","56943","153109","652",11468.42,62486.142,168046.285,619,12032.84571
"2024-02-03","first_day","56513","151930","687",14202.44,61626.857,165377.714,626.571,12420.67
"2024-02-04","first_day","56322","155669","633",11055.91,60941.285,163817.857,631.428,12230.23857
"2024-02-05","first_day","62177","167759","622",11088.73,60742.857,163238.714,634.857,12120.32428
"2024-02-06","first_day","64550","172859","702",12518.76,60820,163310.428,651.285,12239.00714
"2024-02-07","first_day","59313","161508","678",12655,59826.857,161131.714,655.428,12159.35142
"2024-02-08","first_day","70312","181373","703",11398.08,60875.714,163458.142,668.142,12055.33428
"2024-02-09","first_day","67498","192812","688",11530.93,62383.571,169130,673.285,12064.26428
"2024-02-10","first_day","67748","213882","863",13996.51,63988.571,177980.285,698.428,12034.84571
"2024-02-11","first_day","64231","189468","702",11158.33,65118.428,182808.714,708.285,12049.47714
"2024-02-12","first_day","66023","196782","741",10113.99,65667.857,186954.857,725.285,11910.22857
"2024-02-13","first_day","69223","202807","844",12510.1,66335.428,191233.142,745.571,11908.99142
"2024-02-14","first_day","69730","198224","786",10867.16,67823.571,196478.285,761,11653.58571
"2024-02-15","first_day","67813","193858","723",10691.72,67466.571,198261.857,763.857,11552.67714
"2024-02-16","first_day","78493","218689","903",11519.06,69037.285,201958.571,794.571,11550.98142
"2024-02-17","first_day","77875","220848","897",12752.92,70484,202953.714,799.428,11373.32571
"2024-02-18","first_day","75401","213854","858",12853.12,72079.714,206437.428,821.714,11615.43857
"2024-02-19","first_day","82996","234749","1008",13729.11,74504.428,211861.285,859.857,12131.88428
"2024-02-20","first_day","77178","203549","845",12522.07,75640.857,211967.285,860,12133.59428
"2024-02-21","first_day","59488","157226","723",10154.49,74177.714,206110.428,851,12031.78428
"2024-02-22","first_day","57529","157174","635",7771.47,72708.571,200869.857,838.428,11614.60571
"2024-02-23","first_day","50838","138082","637",8500.82,68757.857,189354.571,800.428,11183.42857
"2024-02-24","first_day","48742","134320","602",8751.97,64596,176993.428,758.285,10611.86428
"2024-02-25","first_day","48018","133482","566",7500.87,60684.142,165511.714,716.571,9847.25714
"2024-02-26","first_day","51136","141831","578",7882.78,56132.714,152237.714,655.142,9012.06714
"2024-02-27","first_day","56425","151634","576",7407.4,53168,144821.285,616.714,8281.4
"2024-02-28","first_day","58420","153055","681",8440.11,53015.428,144225.428,610.714,8036.48857
"2024-02-29","first_day","61788","164523","689",9351.8,53623.857,145275.285,618.428,8262.25
"2024-03-01","first_day","61052","167323","641",9502.38,55083,149452.571,619,8405.33
