"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","SESSION_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND"
"2024-01-18","first_day","51970","66305","181649","630",10261.77
"2024-01-18","subsequent_over_half_week","9412","22815","62437","167",2626.48
"2024-01-18","subsequent_under_half_week","6426","10978","30022","147",1818
"2024-01-19","first_day","53348","66852","186342","682",12594.5
"2024-01-19","subsequent_over_half_week","10034","23831","66909","272",4557.21
"2024-01-19","subsequent_under_half_week","7195","12267","35529","156",2606
"2024-01-20","first_day","50995","63862","179361","681",14224.54
"2024-01-20","subsequent_over_half_week","9267","21594","59094","146",2888.71
"2024-01-20","subsequent_under_half_week","7550","13268","39719","95",2054.98
"2024-01-21","first_day","50508","64046","178079","643",11421.87
"2024-01-21","subsequent_over_half_week","7740","16975","46911","134",3100
"2024-01-21","subsequent_under_half_week","7347","13253","37680","95",1696
"2024-01-22","first_day","57597","72841","199266","769",14421.26
"2024-01-22","subsequent_over_half_week","7155","15882","43904","119",2588.48
"2024-01-22","subsequent_under_half_week","6567","11493","31408","104",2323
"2024-01-23","first_day","46828","59847","162664","562",11141.9
"2024-01-23","subsequent_over_half_week","6589","15507","42751","127",2391.51
"2024-01-23","subsequent_under_half_week","5496","9421","26182","88",1564
"2024-01-24","first_day","37883","47444","129601","459",9459.47
"2024-01-24","subsequent_over_half_week","5710","12509","35583","114",2357.08
"2024-01-24","subsequent_under_half_week","4708","8189","22394","70",1402.72
"2024-01-25","first_day","34369","41858","110362","393",6796.89
"2024-01-25","subsequent_over_half_week","8259","19608","53444","161",3023.5
"2024-01-25","subsequent_under_half_week","5925","10621","29868","86",1947
"2024-01-26","first_day","41541","52010","140455","487",9046.93
"2024-01-26","subsequent_over_half_week","10514","26966","71688","167",2675
"2024-01-26","subsequent_under_half_week","7092","12805","35906","108",2021.48
"2024-01-27","first_day","45869","57708","156099","578",10411.17
"2024-01-27","subsequent_over_half_week","8519","21093","58004","227",3888.35
"2024-01-27","subsequent_under_half_week","6990","12741","36159","79",1122.96
"2024-01-28","first_day","46737","59321","161487","569",12043.18
"2024-01-28","subsequent_over_half_week","7094","16242","44558","140",2458.52
"2024-01-28","subsequent_under_half_week","7206","13285","37193","103",1945.48
"2024-01-29","first_day","47176","60386","162669","560",11517.38
"2024-01-29","subsequent_over_half_week","6684","15730","43005","149",2932.48
"2024-01-29","subsequent_under_half_week","7317","13671","38341","168",3085.98
"2024-01-30","first_day","47871","61694","164567","550",11240.98
"2024-01-30","subsequent_over_half_week","6886","16021","43605","170",2911.5
"2024-01-30","subsequent_under_half_week","7010","13103","35679","123",2678.5
"2024-01-31","first_day","49810","63726","169436","603",12471.59
"2024-01-31","subsequent_over_half_week","8022","19441","53104","169",2791.01
"2024-01-31","subsequent_under_half_week","6158","10985","28666","125",2227.95
"2024-02-01","first_day","47139","60827","158347","571",11590.2
"2024-02-01","subsequent_over_half_week","7782","18630","50262","154",2456
"2024-02-01","subsequent_under_half_week","5403","9351","24717","61",1269.75
"2024-02-02","first_day","42777","54570","146819","620",11428.42
"2024-02-02","subsequent_over_half_week","7328","17172","48185","188",2828.37
"2024-02-02","subsequent_under_half_week","5539","9779","26867","96",1940.51
"2024-02-03","first_day","43813","54831","147506","681",14022.44
"2024-02-03","subsequent_over_half_week","7958","19227","52298","201",3940
"2024-02-03","subsequent_under_half_week","6390","11392","32716","122",2266.73
"2024-02-04","first_day","44573","56410","155643","587",10572.41
"2024-02-04","subsequent_over_half_week","6903","16631","46001","128",2008.46
"2024-02-04","subsequent_under_half_week","6965","13116","35675","147",2760.46
"2024-02-05","first_day","47575","61889","166181","602",10864.98
"2024-02-05","subsequent_over_half_week","7203","17494","48016","153",2430.74
"2024-02-05","subsequent_under_half_week","7816","15259","42043","124",2098.94
"2024-02-06","first_day","48555","63750","170338","684",12823.24
"2024-02-06","subsequent_over_half_week","6877","16755","47250","165",2503.94
"2024-02-06","subsequent_under_half_week","7566","14498","38891","121",1832.98
"2024-02-07","first_day","44526","57948","157989","632",12099.52
"2024-02-07","subsequent_over_half_week","6865","16913","47072","163",1900
"2024-02-07","subsequent_under_half_week","6326","11575","30705","112",1519
"2024-02-08","first_day","53069","70053","179674","688",11475.08
"2024-02-08","subsequent_over_half_week","8658","20400","55276","168",2211.5
"2024-02-08","subsequent_under_half_week","6002","10408","27281","101",1907.97
"2024-02-09","first_day","50104","67310","196194","655",11187.43
"2024-02-09","subsequent_over_half_week","10029","27921","88579","216",2578.5
"2024-02-09","subsequent_under_half_week","7314","14357","48201","109",1336.97
"2024-02-10","first_day","49039","65406","206214","825",13678.01
"2024-02-10","subsequent_over_half_week","10635","33014","112343","267",3508.99
"2024-02-10","subsequent_under_half_week","8876","17324","63143","133",2112
"2024-02-11","first_day","49379","63898","187292","672",10900.83
"2024-02-11","subsequent_over_half_week","8763","24075","76936","209",2862.48
"2024-02-11","subsequent_under_half_week","7905","14770","48709","155",2255.75
"2024-02-12","first_day","49791","66342","198241","720",10222.99
"2024-02-12","subsequent_over_half_week","8749","24613","78109","188",2259.1
"2024-02-12","subsequent_under_half_week","8090","15240","48063","137",2008.87
"2024-02-13","first_day","52065","68582","199615","819",12276.9
"2024-02-13","subsequent_over_half_week","8711","23229","72758","186",2188.98
"2024-02-13","subsequent_under_half_week","7876","14591","45660","138",1600.4
"2024-02-14","first_day","52671","68784","195302","762",10986.36
"2024-02-14","subsequent_over_half_week","9547","26572","79677","197",2581.39
"2024-02-14","subsequent_under_half_week","7529","13281","40452","106",1395.47
"2024-02-15","first_day","52087","67347","192565","690",10357.73
"2024-02-15","subsequent_over_half_week","10273","27689","80051","239",2851.96
"2024-02-15","subsequent_under_half_week","6715","11800","35407","104",1427
"2024-02-16","first_day","60738","77916","216605","857",11487.55
"2024-02-16","subsequent_over_half_week","11206","31047","91888","228",2858.76
"2024-02-16","subsequent_under_half_week","8010","14053","41175","112",1332.1
"2024-02-17","first_day","60341","75587","214007","849",12512.42
"2024-02-17","subsequent_over_half_week","10558","29062","83000","261",3077
"2024-02-17","subsequent_under_half_week","9243","16298","48618","122",1555.38
"2024-02-18","first_day","60145","75535","214480","854",12912.62
