"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","LOAD_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND","LOAD_COUNT_7_DAY_AVG","CONV_COUNT_7_DAY_AVG","AD_SPEND_7_DAY_AVG"
"2024-01-18","first_day","51970","66305","181649","321",5722.77,66305,321,5722.77
"2024-01-19","first_day","53348","66852","186342","345",5673,66578.5,333,5697.885
"2024-01-20","first_day","50995","63862","179361","353",8147.54,65673,339.666,6514.43666
"2024-01-21","first_day","50508","64046","178079","327",6268.87,65266.25,336.5,6453.045
"2024-01-22","first_day","57597","72841","199266","376",6917.29,66781.2,344.4,6545.894
"2024-01-23","first_day","46828","59847","162664","305",6224.45,65625.5,337.833,6492.32
"2024-01-24","first_day","37883","47444","129601","233",4731.49,63028.142,322.857,6240.77285
"2024-01-25","first_day","34369","41858","110362","180",3372.39,59535.714,302.714,5905.00428
"2024-01-26","first_day","41541","52010","140455","243",4543.22,57415.428,288.142,5743.60714
"2024-01-27","first_day","45869","57708","156099","275",5217.19,56536.285,277,5324.98571
"2024-01-28","first_day","46737","59321","161487","305",6540.7,55861.285,273.857,5363.81857
"2024-01-29","first_day","47176","60386","162669","283",5788.9,54082,260.571,5202.62
"2024-01-30","first_day","47871","61694","164567","272",5833.52,54345.857,255.857,5146.77285
"2024-01-31","first_day","49810","63726","169436","320",7000,56671.857,268.285,5470.84571
"2024-02-01","first_day","47139","60827","158347","285",5766.52,59381.714,283.285,5812.86428
"2024-02-02","first_day","42777","54570","146819","319",5829.47,59747.428,294.142,5996.61428
"2024-02-03","first_day","43813","54831","147506","285",5908.72,59336.428,295.571,6095.40428
"2024-02-04","first_day","44573","56410","155643","310",5820.83,58920.571,296.285,5992.56571
"2024-02-05","first_day","47575","61889","166181","328",6054.94,59135.285,302.714,6030.57142
"2024-02-06","first_day","48555","63750","170338","321",6275.32,59429,309.714,6093.68571
"2024-02-07","first_day","44526","57948","157989","332",6590.57,58603.571,311.428,6035.19571
"2024-02-08","first_day","53069","70053","179674","346",5867.81,59921.571,320.142,6049.66571
"2024-02-09","first_day","50104","67310","196194","361",6481.43,61741.571,326.142,6142.80285
"2024-02-10","first_day","49039","65406","206214","403",7101.51,63252.285,343,6313.20142
"2024-02-11","first_day","49379","63898","187292","391",6580.87,64322,354.571,6421.77857
"2024-02-12","first_day","49791","66342","198241","413",6021.16,64958.142,366.714,6416.95285
"2024-02-13","first_day","52065","68582","199615","455",6588.47,65648.428,385.857,6461.68857
"2024-02-14","first_day","52671","68784","195302","426",6386.09,67196.428,399.285,6432.47714
"2024-02-15","first_day","52087","67347","192565","399",6377.89,66809.857,406.857,6505.34571
"2024-02-16","first_day","60738","77916","216605","478",6789.18,68325,423.571,6549.31
"2024-02-17","first_day","60341","75587","214007","516",7506.97,69779.428,439.714,6607.23285
"2024-02-18","first_day","60145","75535","214480","517",7926.85,71441.857,457.714,6799.51571
"2024-02-19","first_day","65322","83194","234003","650",9356.97,73849.285,491.571,7276.06
"2024-02-20","first_day","59325","75471","199288","508",7626.49,74833.428,499.142,7424.34857
"2024-02-21","first_day","45218","58671","155597","485",7189.92,73388.714,507.571,7539.18142
"2024-02-22","first_day","44849","55545","150928","420",5292.91,71702.714,510.571,7384.18428
"2024-02-23","first_day","40879","48891","132618","386",5544.46,67556.285,497.428,7206.36714
"2024-02-24","first_day","39638","47265","130308","398",5744.87,63510.285,480.571,6954.63857
"2024-02-25","first_day","40010","47532","132098","379",5468.77,59509.857,460.857,6603.48428
"2024-02-26","first_day","42212","50301","139688","386",5608.28,54810.857,423.142,6067.95714
"2024-02-27","first_day","44769","53955","144091","368",4954.79,51737.142,403.142,5686.28571
"2024-02-28","first_day","46736","56121","146159","371",4422.61,51372.857,386.857,5290.95571
"2024-02-29","first_day","50584","60850","161565","414",5662.35,52130.714,386,5343.73285
"2024-03-01","first_day","46792","57795","158520","384",5811.09,53402.714,385.714,5381.82285
"2024-03-02","first_day","56007","67831","184056","420",6527.23,56340.714,388.857,5493.58857
"2024-03-03","first_day","46853","56646","154334","387",6313.41,57642.714,390,5614.25142
"2024-03-04","first_day","46377","56990","155609","355",5533.98,58598.285,385.571,5603.63714
"2024-03-05","first_day","45564","56307","153841","536",6990.19,58934.285,409.571,5894.40857
"2024-03-06","first_day","47569","58856","162075","759",9243.03,59325,465,6583.04
"2024-03-07","first_day","49373","60849","160552","650",8673.03,59324.857,498.714,7013.13714
"2024-03-08","first_day","46116","57205","141926","675",7771.82,59240.571,540.285,7293.24142
"2024-03-09","first_day","47553","58019","143860","527",7121.05,57838.857,555.571,7378.07285
"2024-03-10","first_day","43983","53803","133362","375",4978.85,57432.714,553.857,7187.42142
"2024-03-11","first_day","41884","51927","130611","406",5731.25,56709.428,561.142,7215.60285
"2024-03-12","first_day","40357","49724","121902","407",5769.84,55769,542.714,7041.26714
"2024-03-13","first_day","47383","57588","139367","516",7708.86,55587.857,508,6822.1
"2024-03-14","first_day","49983","61137","144167","468",6644.71,55629,482,6532.34
"2024-03-15","first_day","50695","62024","148521","442",6435.71,56317.428,448.714,6341.46714
"2024-03-16","first_day","45624","55615","136354","438",5998.78,55974,436,6181.14285
"2024-03-17","first_day","46062","56178","135132","446",6296.93,56313.285,446.142,6369.44
"2024-03-18","first_day","46509","56765","139847","434",4906.44,57004.428,450.142,6251.61
"2024-03-19","first_day","43066","52679","129754","360",5562.13,57426.571,443.428,6221.93714
"2024-03-20","first_day","43483","53534","130637","333",5337.19,56847.428,417.285,5883.12714
"2024-03-21","first_day","47985","60686","145531","331",4919.7,56783,397.714,5636.69714
"2024-03-22","first_day","48784","62378","153442","336",5299.67,56833.571,382.571,5474.40571
"2024-03-23","first_day","48870","61383","150247","322",4869.39,57657.571,366,5313.06428
"2024-03-24","first_day","45975","57548","140070","320",4871.91,57853.285,348,5109.49
"2024-03-25","first_day","45849","58342","143128","308",4486.27,58078.571,330,5049.46571
"2024-03-26","first_day","46321","58628","139900","378",5204.13,58928.428,332.571,4998.32285
"2024-03-27","first_day","43764","55907","138693","325",4537.33,59267.428,331.428,4884.05714
"2024-03-28","first_day","46859","59238","144100","332",4768.67,59060.571,331.571,4862.48142
"2024-03-29","first_day","44297","55860","137778","260",3946.23,58129.428,320.714,4669.13285
"2024-03-30","first_day","40285","49908","123021","241",3449.69,56490.142,309.142,4466.31857
"2024-03-31","first_day","37963","47239","117230","206",3301.43,55017.428,292.857,4241.96428
"2024-04-01","first_day","43532","55220","136829","244",3971.21,54571.428,283.714,4168.38428
"2024-04-02","first_day","41654","53500","133013","233",3982.81,53838.857,263,3993.91
"2024-04-03","first_day","38889","49818","123960","243",3934.14,52969,251.285,3907.74
"2024-04-04","first_day","40873","52075","127533","283",4342.17,51945.714,244.285,3846.81142
"2024-04-05","first_day","37335","47053","117010","235",3319.98,50687.571,240.714,3757.34714
"2024-04-06","first_day","40256","50090","126209","273",4382.38,50713.571,245.285,3890.58857
"2024-04-07","first_day","40311","49727","126822","256",4370.48,51069,252.428,4043.31
"2024-04-08","first_day","38387","48303","118520","209",2986.26,50080.857,247.428,3902.60285
"2024-04-09","first_day","39998","50609","124438","220",3533.18,49667.857,245.571,3838.37
"2024-01-18","subsequent_over_half_week","9412","22815","62437","55",1016.48,22815,55,1016.48
"2024-01-19","subsequent_over_half_week","10034","23831","66909","75",1251.46,23323,65,1133.97
"2024-01-20","subsequent_over_half_week","9267","21596","59096","52",1094.98,22747.333,60.666,1120.97333
"2024-01-21","subsequent_over_half_week","7741","16978","46920","61",1450,21305,60.75,1203.23
"2024-01-22","subsequent_over_half_week","7156","15884","43910","43",797.5,20220.8,57.2,1122.084
"2024-01-23","subsequent_over_half_week","6589","15508","42754","45",1028.51,19435.333,55.166,1106.48833
"2024-01-24","subsequent_over_half_week","5711","12510","35586","43",679.48,18446,53.428,1045.48714
"2024-01-25","subsequent_over_half_week","8259","19608","53444","76",1741.5,17987.857,56.428,1149.06142
"2024-01-26","subsequent_over_half_week","10514","26966","71688","61",971,18435.714,54.428,1108.99571
"2024-01-27","subsequent_over_half_week","8519","21094","58007","71",1139,18364,57.142,1115.28428
"2024-01-28","subsequent_over_half_week","7094","16243","44561","56",1096.52,18259,56.428,1064.78714
"2024-01-29","subsequent_over_half_week","6684","15730","43005","72",1515.48,18237,60.571,1167.35571
"2024-01-30","subsequent_over_half_week","6886","16021","43605","59",964.5,18310.285,62.571,1158.21142
"2024-01-31","subsequent_over_half_week","8023","19443","53110","69",1185.01,19300.714,66.285,1230.43
"2024-02-01","subsequent_over_half_week","7782","18630","50262","70",1128,19161,65.428,1142.78714
"2024-02-02","subsequent_over_half_week","7329","17173","48187","76",1161,17762,67.571,1169.93
"2024-02-03","subsequent_over_half_week","7958","19227","52298","80",1424,17495.285,68.857,1210.64428
"2024-02-04","subsequent_over_half_week","6905","16634","46013","49",800.98,17551.142,67.857,1168.42428
"2024-02-05","subsequent_over_half_week","7203","17494","48016","72",1057.74,17803.142,67.857,1103.03285
"2024-02-06","subsequent_over_half_week","6877","16755","47250","69",1192,17908,69.285,1135.53285
"2024-02-07","subsequent_over_half_week","6866","16914","47075","52",748,17546.714,66.857,1073.10285
"2024-02-08","subsequent_over_half_week","8658","20400","55276","69",866.5,17799.571,66.714,1035.74571
"2024-02-09","subsequent_over_half_week","10029","27922","88582","100",1053.5,19335.142,70.142,1020.38857
"2024-02-10","subsequent_over_half_week","10635","33015","112345","133",1623.01,21304.857,77.714,1048.81857
"2024-02-11","subsequent_over_half_week","8763","24075","76936","105",1378.48,22367.857,85.714,1131.31857
"2024-02-12","subsequent_over_half_week","8749","24614","78110","111",1501,23385,91.285,1194.64142
"2024-02-13","subsequent_over_half_week","8711","23231","72762","104",1289.5,24310.142,96.285,1208.57
"2024-02-14","subsequent_over_half_week","9549","26574","79680","105",1291.99,25690.142,103.857,1286.28285
"2024-02-15","subsequent_over_half_week","10273","27691","80055","91",926.98,26731.714,107,1294.92285
"2024-02-16","subsequent_over_half_week","11206","31048","91891","107",1422.66,27178.285,108,1347.66
"2024-02-17","subsequent_over_half_week","10559","29063","83003","120",1493,26613.714,106.142,1329.08714
"2024-02-18","subsequent_over_half_week","8941","24350","72249","93",1205.09,26653,104.428,1304.31714
"2024-02-19","subsequent_over_half_week","8350","22172","63252","85",907.5,26304.142,100.714,1219.53142
"2024-02-20","subsequent_over_half_week","7519","20180","59063","64",702,25868.285,95,1135.60285
"2024-02-21","subsequent_over_half_week","6532","17082","50951","59",555,24512.285,88.428,1030.31857
"2024-02-22","subsequent_over_half_week","7035","19034","55845","61",627.5,23275.571,84.142,987.53571
"2024-02-23","subsequent_over_half_week","6301","16949","49915","72",763,21261.428,79.142,893.29857
"2024-02-24","subsequent_over_half_week","6282","17015","48983","41",576,19540.285,67.857,762.29857
"2024-02-25","subsequent_over_half_week","6087","16062","47520","48",568.1,18356.285,61.428,671.3
"2024-02-26","subsequent_over_half_week","6155","15980","47370","51",621.01,17471.714,56.571,630.37285
"2024-02-27","subsequent_over_half_week","5812","14664","42599","58",865.5,16683.714,55.714,653.73
"2024-02-28","subsequent_over_half_week","6032","15263","44207","44",541.98,16423.857,53.571,651.87
"2024-02-29","subsequent_over_half_week","7156","18293","52117","56",644,16318,52.857,654.22714
"2024-03-01","subsequent_over_half_week","7519","20618","58906","79",1087.5,16842.142,53.857,700.58428
"2024-03-02","subsequent_over_half_week","7789","20567","58010","87",990.44,17349.571,60.428,759.79
"2024-03-03","subsequent_over_half_week","6270","16390","45212","63",932.5,17396.428,62.571,811.84714
"2024-03-04","subsequent_over_half_week","5806","14970","41331","48",729.96,17252.142,62.142,827.41142
"2024-03-05","subsequent_over_half_week","5627","14199","38645","74",775.72,17185.714,64.428,814.58571
"2024-03-06","subsequent_over_half_week","6234","15932","44839","52",609.5,17281.285,65.571,824.23142
"2024-03-07","subsequent_over_half_week","6435","17064","48075","85",776.5,17105.714,69.714,843.16
"2024-03-08","subsequent_over_half_week","7340","20593","57664","243",2198.07,17102.142,93.142,1001.81285
"2024-03-09","subsequent_over_half_week","7408","20461","56912","292",2676.5,17087,122.428,1242.67857
"2024-03-10","subsequent_over_half_week","6212","16658","45449","219",2302,17125.285,144.714,1438.32142
"2024-03-11","subsequent_over_half_week","5865","15096","42582","212",1865,17143.285,168.142,1600.47
"2024-03-12","subsequent_over_half_week","5696","14599","40633","154",1465,17200.428,179.571,1698.93857
